@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.16,0.51,0.48,0.5,0.33,0.39,0.48,2
0.67,0.55,1,0.5,0.66,0.58,0.16,6
0.62,0.78,0.48,0.5,0.47,0.49,0.54,3
0.54,0.49,0.48,0.5,0.4,0.87,0.88,2
0.78,0.44,0.48,0.5,0.45,0.73,0.68,4
0.74,0.74,0.48,0.5,0.31,0.53,0.52,3
0.51,0.49,0.48,0.5,0.53,0.14,0.26,1
0.63,0.69,0.48,0.5,0.65,0.41,0.28,5
0.21,0.51,0.48,0.5,0.5,0.32,0.41,1
0.44,0.49,0.48,0.5,0.39,0.38,0.4,1
0.61,0.52,0.48,0.5,0.54,0.67,0.52,2
0.43,0.37,0.48,0.5,0.53,0.35,0.44,1
0.26,0.26,0.48,0.5,0.34,0.25,0.35,1
0.5,0.51,0.48,0.5,0.27,0.23,0.34,1
0.06,0.61,0.48,0.5,0.49,0.92,0.37,2
0.36,0.54,0.48,0.5,0.41,0.38,0.46,1
0.24,0.35,0.48,0.5,0.31,0.19,0.31,1
0.68,0.49,1,0.5,0.62,0.55,0.28,6
0.66,0.86,0.48,0.5,0.34,0.41,0.36,3
0.4,0.5,0.48,0.5,0.65,0.82,0.84,2
0.7,0.71,0.48,0.5,0.42,0.84,0.85,3
0.68,0.82,0.48,0.5,0.38,0.65,0.56,3
0.27,0.3,0.48,0.5,0.71,0.28,0.39,1
0.74,0.9,0.48,0.5,0.57,0.53,0.29,5
0.27,0.42,0.48,0.5,0.37,0.38,0.43,1
0.49,0.43,0.48,0.5,0.49,0.3,0.4,1
0.65,0.57,0.48,0.5,0.47,0.47,0.51,3
0.39,0.31,0.48,0.5,0.38,0.34,0.43,1
0.23,0.32,0.48,0.5,0.55,0.25,0.35,1
0.47,0.47,0.48,0.5,0.22,0.16,0.26,1
0.36,0.45,0.48,0.5,0.38,0.79,0.17,2
0.37,0.44,0.48,0.5,0.42,0.39,0.47,1
0.31,0.47,0.48,0.5,0.29,0.28,0.39,1
0.7,0.39,1,0.5,0.51,0.82,0.84,7
0.66,0.74,0.48,0.5,0.31,0.38,0.43,3
0.31,0.36,0.48,0.5,0.58,0.94,0.94,2
0.63,0.54,0.48,0.5,0.65,0.79,0.81,2
0.49,0.29,0.48,0.5,0.56,0.24,0.35,1
0.52,0.81,0.48,0.5,0.72,0.38,0.38,5
0.25,0.26,0.48,0.5,0.39,0.32,0.42,1
0.52,0.36,0.48,0.5,0.41,0.28,0.38,1
0.69,0.59,0.48,0.5,0.46,0.44,0.52,3
0.4,0.35,0.48,0.5,0.45,0.33,0.42,1
0.3,0.16,0.48,0.5,0.56,0.11,0.23,1
0.1,0.49,0.48,0.5,0.41,0.67,0.21,2
0.36,0.56,0.48,0.5,0.43,0.45,0.53,1
0.6,0.5,1,0.5,0.54,0.77,0.8,2
0.62,0.83,0.48,0.5,0.46,0.36,0.4,3
