@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.58,0.55,0.48,0.5,0.57,0.7,0.74,2
0.31,0.44,0.48,0.5,0.5,0.79,0.82,2
0.66,0.49,1,0.5,0.54,0.56,0.36,6
0.73,0.84,0.48,0.5,0.86,0.58,0.29,5
0.69,0.66,0.48,0.5,0.41,0.5,0.25,3
0.35,0.37,0.48,0.5,0.3,0.34,0.43,1
0.38,0.3,0.48,0.5,0.43,0.29,0.39,1
0.65,0.51,0.48,0.5,0.66,0.54,0.33,5
0.4,0.5,0.48,0.5,0.45,0.39,0.47,1
0.38,0.26,0.48,0.5,0.54,0.16,0.28,1
0.29,0.47,0.48,0.5,0.41,0.23,0.34,1
0.59,0.61,0.48,0.5,0.42,0.42,0.37,3
0.22,0.34,0.48,0.5,0.42,0.29,0.39,1
0.6,0.76,1,0.5,0.77,0.59,0.52,5
0.72,0.42,0.48,0.5,0.65,0.77,0.79,4
0.64,0.78,0.48,0.5,0.5,0.36,0.38,3
0.34,0.46,0.48,0.5,0.52,0.35,0.44,1
0.33,0.45,0.48,0.5,0.52,0.32,0.41,1
0.32,0.42,0.48,0.5,0.35,0.28,0.38,1
0.24,0.43,0.48,0.5,0.37,0.28,0.38,1
0.4,0.46,0.48,0.5,0.42,0.35,0.44,1
0.34,0.42,0.48,0.5,0.41,0.34,0.43,1
0.3,0.45,0.48,0.5,0.36,0.21,0.32,1
0.26,0.5,0.48,0.5,0.44,0.32,0.41,1
0.49,0.42,0.48,0.5,0.53,0.79,0.81,2
0.55,0.47,0.48,0.5,0.57,0.78,0.8,2
0.52,0.57,0.48,0.5,0.42,0.47,0.54,1
0.44,0.52,0.48,0.5,0.43,0.47,0.54,2
0.29,0.52,0.48,0.5,0.42,0.29,0.39,1
0.32,0.39,0.48,0.5,0.53,0.28,0.38,3
0.38,0.46,0.48,0.5,0.48,0.22,0.29,1
0.36,0.39,0.48,0.5,0.48,0.22,0.23,1
