@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.57,0.38,0.48,0.5,0.06,0.49,0.33,4
0.36,0.54,0.48,0.5,0.41,0.38,0.46,1
0.26,0.5,0.48,0.5,0.44,0.32,0.41,1
0.43,0.39,0.48,0.5,0.47,0.31,0.41,1
0.26,0.4,0.48,0.5,0.36,0.26,0.37,1
0.75,0.37,0.48,0.5,0.64,0.7,0.74,4
0.34,0.51,0.48,0.5,0.67,0.9,0.9,2
0.74,0.82,0.48,0.5,0.49,0.49,0.41,3
0.4,0.35,0.48,0.5,0.45,0.33,0.42,1
0.22,0.43,0.48,0.5,0.48,0.16,0.28,1
0.45,0.4,0.48,0.5,0.61,0.74,0.77,2
0.67,0.84,0.48,0.5,0.74,0.54,0.37,5
0.84,0.49,0.48,0.5,0.55,0.78,0.74,4
0.17,0.52,0.48,0.5,0.49,0.37,0.46,1
0.66,0.71,0.48,0.5,0.41,0.5,0.35,3
0.63,1,0.48,0.5,0.35,0.51,0.49,3
0.68,0.63,0.48,0.5,0.73,0.4,0.3,5
0.57,0.54,0.48,0.5,0.37,0.28,0.33,1
0.48,0.41,0.48,0.5,0.51,0.9,0.88,2
0.4,0.5,0.48,0.5,0.65,0.82,0.84,2
0.29,0.52,0.48,0.5,0.42,0.29,0.39,1
0.44,0.28,0.48,0.5,0.43,0.27,0.37,1
0.53,0.42,0.48,0.5,0.16,0.29,0.39,1
0.42,0.3,0.48,0.5,0.48,0.26,0.36,1
0.52,0.57,0.48,0.5,0.42,0.47,0.54,1
0.69,0.39,0.48,0.5,0.57,0.76,0.79,2
0.71,0.52,0.48,0.5,0.64,1,0.99,2
0.37,0.52,0.48,0.5,0.42,0.42,0.36,1
0.49,0.61,1,0.5,0.56,0.71,0.74,4
0.81,0.44,0.48,0.5,0.42,0.67,0.68,4
0.44,0.51,0.48,0.5,0.47,0.26,0.36,1
0.51,0.49,0.48,0.5,0.53,0.14,0.26,1
