@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.34,0.42,0.48,0.5,0.41,0.34,0.43,1
0.6,0.76,1,0.5,0.77,0.59,0.52,5
0.67,0.61,0.48,0.5,0.51,0.37,0.38,3
0.31,0.44,0.48,0.5,0.5,0.79,0.82,2
0.69,0.43,0.48,0.5,0.59,0.74,0.77,4
0.86,0.55,0.48,0.5,0.63,0.81,0.83,4
0.23,0.33,0.48,0.5,0.43,0.33,0.43,1
0.71,0.71,0.48,0.5,0.68,0.43,0.36,5
0.48,0.42,0.48,0.5,0.45,0.25,0.35,1
0.56,0.4,0.48,0.5,0.49,0.37,0.46,1
0.62,0.83,0.48,0.5,0.46,0.36,0.4,3
0.42,0.3,0.48,0.5,0.48,0.26,0.36,1
0.32,0.33,0.48,0.5,0.6,0.06,0.2,1
0.35,0.48,0.48,0.5,0.56,0.4,0.48,1
0.47,0.59,0.48,0.5,0.52,0.76,0.79,2
0.53,0.42,0.48,0.5,0.16,0.29,0.39,1
0.25,0.48,0.48,0.5,0.44,0.17,0.29,1
0.7,0.39,1,0.5,0.51,0.82,0.84,7
0.69,0.67,0.48,0.5,0.3,0.39,0.24,3
0.29,0.47,0.48,0.5,0.71,0.65,0.69,2
0.86,0.39,0.48,0.5,0.59,0.89,0.9,4
0.64,0.58,0.48,0.5,0.48,0.78,0.73,2
0.07,0.4,0.48,0.5,0.54,0.35,0.44,1
0.63,0.49,0.48,0.5,0.79,0.45,0.28,5
0.56,0.54,0.48,0.5,0.43,0.37,0.3,3
0.43,0.32,0.48,0.5,0.33,0.45,0.52,1
0.63,0.71,0.48,0.5,0.6,0.4,0.39,3
0.47,0.28,0.48,0.5,0.56,0.2,0.25,1
0.27,0.3,0.48,0.5,0.71,0.28,0.39,1
0.12,0.67,0.48,0.5,0.74,0.58,0.63,2
0.5,0.57,0.48,0.5,0.71,0.61,0.66,2
0.61,0.47,0.48,0.5,0,0.8,0.32,2
