@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.78,0.33,0.48,0.5,0.57,0.77,0.79,4
0.51,0.4,0.48,0.5,0.57,0.62,0.67,2
0.75,0.55,1,1,0.4,0.47,0.3,7
0.78,0.68,0.48,0.5,0.83,0.4,0.29,5
0.67,0.7,0.48,0.5,0.46,0.45,0.33,3
0.38,0.44,0.48,0.5,0.43,0.2,0.31,1
0.25,0.4,0.48,0.5,0.47,0.33,0.42,1
0.59,0.49,0.48,0.5,0.52,0.45,0.36,1
0.66,0.49,1,0.5,0.54,0.56,0.36,6
0.36,0.56,0.48,0.5,0.43,0.45,0.53,1
0.4,0.35,0.48,0.5,0.45,0.33,0.42,1
0.72,0.86,0.48,0.5,0.17,0.55,0.21,3
0.52,0.44,0.48,0.5,0.37,0.36,0.42,1
0.63,0.57,0.48,0.5,0.49,0.7,0.2,3
0.59,0.56,0.48,0.5,0.55,0.8,0.82,2
0.68,0.78,0.48,0.5,0.43,0.44,0.42,3
0.25,0.37,0.48,0.5,0.43,0.26,0.36,1
0.28,0.33,0.48,0.5,0.45,0.22,0.33,1
0.6,0.46,0.48,0.5,0.45,0.81,0.83,2
0.63,0.42,0.48,0.5,0.48,0.77,0.8,4
0.45,0.4,0.48,0.5,0.61,0.74,0.77,2
0.48,0.45,0.48,0.5,0.6,0.78,0.8,2
0.66,0.48,0.48,0.5,0.54,0.7,0.74,4
0.63,0.49,0.48,0.5,0.54,0.76,0.79,8
0.24,0.34,0.48,0.5,0.38,0.3,0.4,1
0.37,0.5,0.48,0.5,0.42,0.36,0.45,1
0.44,0.49,0.48,0.5,0.39,0.38,0.4,1
0.35,0.37,0.48,0.5,0.3,0.34,0.43,1
0.34,0.33,0.48,0.5,0.38,0.35,0.44,1
0.34,0.46,0.48,0.5,0.52,0.35,0.44,1
0.34,0.51,0.48,0.5,0.44,0.37,0.46,1
0.24,0.43,0.48,0.5,0.37,0.28,0.38,1
0.34,0.45,0.48,0.5,0.38,0.24,0.35,1
0.3,0.37,0.48,0.5,0.43,0.18,0.3,1
0.26,0.26,0.48,0.5,0.34,0.25,0.35,1
0.3,0.45,0.48,0.5,0.36,0.21,0.32,1
0.41,0.43,0.48,0.5,0.45,0.31,0.41,1
0.58,0.55,0.48,0.5,0.57,0.7,0.74,2
0.29,0.28,0.48,0.5,0.44,0.23,0.34,1
0.36,0.54,0.48,0.5,0.41,0.38,0.46,1
