@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.87,0.49,0.48,0.5,0.61,0.76,0.79,4
0.38,0.44,0.48,0.5,0.43,0.2,0.31,1
0.51,0.49,0.48,0.5,0.53,0.14,0.26,1
0.34,0.51,0.48,0.5,0.67,0.9,0.9,2
0.66,0.53,0.48,0.5,0.59,0.66,0.66,2
0.61,0.52,0.48,0.5,0.54,0.67,0.52,2
0.34,0.45,0.48,0.5,0.38,0.24,0.35,1
0.73,0.36,0.48,0.5,0.53,0.91,0.92,2
0.42,0.38,0.48,0.5,0.54,0.34,0.43,1
0.77,0.57,0.48,0.5,0.88,0.53,0.2,5
0.36,0.41,0.48,0.5,0.48,0.47,0.54,1
0.85,0.53,0.48,0.5,0.53,0.52,0.35,8
0.52,0.44,0.48,0.5,0.37,0.36,0.42,1
0.35,0.48,0.48,0.5,0.56,0.4,0.48,1
0.32,0.33,0.48,0.5,0.6,0.06,0.2,1
0.38,0.3,0.48,0.5,0.43,0.29,0.39,1
0.64,0.84,0.48,0.5,0.37,0.45,0.4,3
0.18,0.3,0.48,0.5,0.46,0.24,0.35,1
0.62,0.78,0.48,0.5,0.47,0.49,0.54,3
0.7,0.71,0.48,0.5,0.42,0.84,0.85,3
0.83,0.48,0.48,0.5,0.65,0.76,0.79,4
0.36,0.54,0.48,0.5,0.41,0.38,0.46,1
0.51,0.5,0.48,0.5,0.46,0.32,0.35,1
0.68,0.51,0.48,0.5,0.71,0.75,0.78,2
0.43,0.39,0.48,0.5,0.47,0.31,0.41,1
0.52,0.54,0.48,0.5,0.62,0.76,0.79,2
0.63,0.65,0.48,0.5,0.39,0.44,0.35,3
0.33,0.37,0.48,0.5,0.46,0.65,0.69,2
0.76,0.71,0.48,0.5,0.5,0.71,0.75,4
0.84,0.49,0.48,0.5,0.55,0.78,0.74,4
0.86,0.39,0.48,0.5,0.59,0.89,0.9,4
0.24,0.35,0.48,0.5,0.31,0.19,0.31,1
0.63,0.49,0.48,0.5,0.79,0.45,0.28,5
0.51,0.37,0.48,0.5,0.35,0.36,0.45,1
0.52,0.57,0.48,0.5,0.42,0.47,0.54,1
0.65,0.57,0.48,0.5,0.47,0.47,0.51,3
0.16,0.51,0.48,0.5,0.33,0.39,0.48,2
0.35,0.51,0.48,0.5,0.61,0.71,0.74,2
0.51,0.54,0.48,0.5,0.41,0.34,0.43,1
0.62,0.83,0.48,0.5,0.46,0.36,0.4,3
0.75,0.76,0.48,0.5,0.83,0.57,0.3,5
0.41,0.43,0.48,0.5,0.45,0.31,0.41,1
0.17,0.39,0.48,0.5,0.53,0.3,0.39,1
0.29,0.47,0.48,0.5,0.71,0.65,0.69,2
0.39,0.41,0.48,0.5,0.52,0.72,0.75,2
0.12,0.67,0.48,0.5,0.74,0.58,0.63,2
0.26,0.26,0.48,0.5,0.34,0.25,0.35,1
0.34,0.28,0.48,0.5,0.41,0.35,0.44,1
