@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.79,0.41,0.48,0.5,0.66,0.81,0.83,4
0.55,0.47,0.48,0.5,0.57,0.78,0.8,2
0.68,0.49,1,0.5,0.62,0.55,0.28,6
0.64,0.57,0.48,0.5,0.7,0.33,0.26,5
0.76,0.71,0.48,0.5,0.5,0.71,0.75,4
0.29,0.28,0.48,0.5,0.44,0.23,0.34,1
0.38,0.44,0.48,0.5,0.43,0.2,0.31,1
0.64,0.84,0.48,0.5,0.37,0.45,0.4,3
0.61,0.36,0.48,0.5,0.49,0.35,0.44,1
0.41,0.43,0.48,0.5,0.45,0.31,0.41,1
0.29,0.41,0.48,0.5,0.48,0.38,0.46,1
0.41,0.48,0.48,0.5,0.51,0.44,0.51,1
0.67,0.7,0.48,0.5,0.46,0.45,0.33,3
0.67,0.88,0.48,0.5,0.73,0.5,0.25,5
0.31,0.5,0.48,0.5,0.57,0.84,0.85,2
0.74,0.56,0.48,0.5,0.47,0.68,0.3,3
0.21,0.34,0.48,0.5,0.51,0.28,0.39,1
0.17,0.39,0.48,0.5,0.53,0.3,0.39,1
0.33,0.45,0.48,0.5,0.52,0.32,0.41,1
0.32,0.39,0.48,0.5,0.53,0.28,0.38,3
0.29,0.37,0.48,0.5,0.48,0.44,0.52,1
0.36,0.41,0.48,0.5,0.48,0.47,0.54,1
0.34,0.42,0.48,0.5,0.41,0.34,0.43,1
0.25,0.37,0.48,0.5,0.41,0.33,0.42,1
0.54,0.57,0.48,0.5,0.56,0.81,0.83,2
0.47,0.55,0.48,0.5,0.58,0.71,0.75,2
0.47,0.59,0.48,0.5,0.52,0.76,0.79,2
0.49,0.43,0.48,0.5,0.49,0.3,0.4,1
0.53,0.38,0.48,0.5,0.44,0.26,0.36,1
0.34,0.33,0.48,0.5,0.38,0.35,0.44,1
0.25,0.4,0.48,0.5,0.47,0.33,0.42,1
0.64,0.76,0.48,0.5,0.45,0.35,0.38,1
