@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.11,0.5,0.48,0.5,0.58,0.72,0.68,2
0.68,0.78,0.48,0.5,0.43,0.44,0.42,3
0.77,0.57,1,0.5,0.37,0.54,0.01,6
0.63,0.5,0.48,0.5,0.59,0.85,0.86,2
0.62,0.42,0.48,0.5,0.58,0.79,0.81,4
0.69,0.8,0.48,0.5,0.46,0.57,0.26,3
0.43,0.39,0.48,0.5,0.47,0.31,0.41,1
0.67,0.84,0.48,0.5,0.74,0.54,0.37,5
0.61,0.45,0.48,0.5,0.48,0.35,0.41,1
0.34,0.33,0.48,0.5,0.38,0.35,0.44,1
0.63,0.57,0.48,0.5,0.49,0.7,0.2,3
0.21,0.51,0.48,0.5,0.5,0.32,0.41,1
0.5,0.51,0.48,0.5,0.27,0.23,0.34,1
0.25,0.48,0.48,0.5,0.44,0.17,0.29,1
0.4,0.46,0.48,0.5,0.52,0.49,0.56,1
0.28,0.33,0.48,0.5,0.45,0.22,0.33,1
0,0.51,0.48,0.5,0.35,0.67,0.44,2
0.59,0.61,0.48,0.5,0.42,0.42,0.37,3
0.7,0.46,0.48,0.5,0.56,0.78,0.73,2
0.51,0.4,0.48,0.5,0.57,0.62,0.67,2
0.75,0.84,0.48,0.5,0.35,0.52,0.33,3
0.42,0.24,0.48,0.5,0.57,0.27,0.37,1
0.69,0.59,0.48,0.5,0.77,0.39,0.21,5
0.69,0.59,0.48,0.5,0.46,0.44,0.52,3
0.51,0.37,0.48,0.5,0.35,0.36,0.45,1
0.74,0.47,0.48,0.5,0.5,0.57,0.42,3
0.24,0.57,0.48,0.5,0.63,0.34,0.43,1
0.53,0.42,0.48,0.5,0.16,0.29,0.39,1
0.44,0.42,0.48,0.5,0.42,0.25,0.2,1
0.24,0.43,0.48,0.5,0.54,0.52,0.59,1
0.3,0.16,0.48,0.5,0.56,0.11,0.23,1
0.12,0.67,0.48,0.5,0.74,0.58,0.63,2
0.23,0.48,0.48,0.5,0.59,0.88,0.89,2
0.67,0.81,0.48,0.5,0.25,0.42,0.25,3
0.5,0.66,0.48,0.5,0.31,0.92,0.92,2
0.64,0.46,0.48,0.5,0.48,0.73,0.76,4
0.73,0.78,0.48,0.5,0.58,0.51,0.31,3
0.43,0.4,0.48,0.5,0.39,0.28,0.39,1
0.73,0.84,0.48,0.5,0.86,0.58,0.29,5
0.51,0.54,0.48,0.5,0.41,0.34,0.43,1
0.29,0.28,0.48,0.5,0.5,0.42,0.5,1
0.46,0.59,0.48,0.5,0.36,0.76,0.23,2
0.3,0.37,0.48,0.5,0.59,0.41,0.49,1
0.47,0.47,0.48,0.5,0.22,0.16,0.26,1
0.22,0.43,0.48,0.5,0.48,0.16,0.28,1
0.43,0.59,0.48,0.5,0.52,0.49,0.56,3
0.21,0.34,0.48,0.5,0.51,0.28,0.39,1
0.34,0.67,0.48,0.5,0.52,0.76,0.79,2
