@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.29,0.47,0.48,0.5,0.71,0.65,0.69,2
0.67,0.61,0.48,0.5,0.51,0.37,0.38,3
0.64,0.84,0.48,0.5,0.37,0.45,0.4,3
0.63,0.49,0.48,0.5,0.54,0.76,0.79,8
0.31,0.44,0.48,0.5,0.5,0.79,0.82,2
0.61,0.66,0.48,0.5,0.46,0.87,0.88,2
0.29,0.47,0.48,0.5,0.41,0.23,0.34,1
0.6,0.5,1,0.5,0.54,0.77,0.8,2
0.41,0.48,0.48,0.5,0.51,0.44,0.51,1
0.52,0.36,0.48,0.5,0.41,0.28,0.38,1
0.62,0.78,0.48,0.5,0.47,0.49,0.54,3
0.23,0.33,0.48,0.5,0.43,0.33,0.43,1
0.17,0.38,0.48,0.5,0.45,0.42,0.5,1
0.3,0.44,0.48,0.5,0.49,0.22,0.33,1
0.57,0.59,0.48,0.5,0.39,0.47,0.33,3
0.32,0.33,0.48,0.5,0.6,0.06,0.2,1
0.12,0.67,0.48,0.5,0.74,0.58,0.63,2
0.71,0.57,0.48,0.5,0.48,0.35,0.32,3
0.71,0.86,0.48,0.5,0.4,0.54,0.32,3
0.63,0.65,0.48,0.5,0.66,0.67,0.71,2
0.52,0.54,0.48,0.5,0.62,0.76,0.79,2
0.7,0.71,0.48,0.5,0.42,0.84,0.85,3
0.5,0.51,0.48,0.5,0.27,0.23,0.34,1
0.6,0.76,1,0.5,0.77,0.59,0.52,5
0.51,0.54,0.48,0.5,0.41,0.34,0.43,1
0.65,0.47,0.48,0.5,0.59,0.3,0.4,1
0.52,0.81,0.48,0.5,0.72,0.38,0.38,5
0.04,0.31,0.48,0.5,0.41,0.29,0.39,1
0,0.38,0.48,0.5,0.42,0.48,0.55,1
0.4,0.45,0.48,0.5,0.38,0.22,0,1
0.61,0.47,0.48,0.5,0,0.8,0.32,2
0.27,0.3,0.48,0.5,0.71,0.28,0.39,1
0.2,0.46,0.48,0.5,0.57,0.78,0.81,2
0.61,0.75,0.48,0.5,0.51,0.33,0.33,5
0.76,0.73,0.48,0.5,0.44,0.39,0.39,3
0.73,0.36,0.48,0.5,0.53,0.91,0.92,2
0.58,0.34,0.48,0.5,0.56,0.87,0.81,2
0.5,0.66,0.48,0.5,0.31,0.92,0.92,2
0.53,0.42,0.48,0.5,0.16,0.29,0.39,1
0.68,0.49,1,0.5,0.62,0.55,0.28,6
0.44,0.51,0.48,0.5,0.47,0.26,0.36,1
0.51,0.46,0.48,0.5,0.58,0.31,0.41,1
0.44,0.28,0.48,0.5,0.43,0.27,0.37,1
0.33,0.45,0.48,0.5,0.52,0.32,0.41,1
0.49,0.29,0.48,0.5,0.56,0.24,0.35,1
0.63,0.57,0.48,0.5,0.49,0.7,0.2,3
0.3,0.16,0.48,0.5,0.56,0.11,0.23,1
0.7,0.61,0.48,0.5,0.56,0.52,0.43,3
