@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.4,0.35,0.48,0.5,0.45,0.33,0.42,1
0.74,0.7,0.48,0.5,0.66,0.65,0.69,2
0.66,0.48,0.48,0.5,0.54,0.7,0.74,4
0.47,0.55,0.48,0.5,0.58,0.71,0.75,2
0.1,0.49,0.48,0.5,0.41,0.67,0.21,2
0.66,0.71,0.48,0.5,0.41,0.5,0.35,3
0.51,0.37,0.48,0.5,0.35,0.36,0.45,1
0.67,0.84,0.48,0.5,0.74,0.54,0.37,5
0.29,0.39,0.48,0.5,0.52,0.4,0.48,3
0.74,0.49,0.48,0.5,0.42,0.54,0.36,3
0.67,0.37,0.48,0.5,0.54,0.64,0.68,4
0.51,0.54,0.48,0.5,0.41,0.34,0.43,1
0.53,0.38,0.48,0.5,0.44,0.26,0.36,1
0.28,0.38,0.48,0.5,0.5,0.33,0.42,1
0.23,0.34,0.48,0.5,0.43,0.26,0.37,1
0.38,0.44,0.48,0.5,0.43,0.2,0.31,1
0.32,0.42,0.48,0.5,0.35,0.28,0.38,1
0.68,0.82,0.48,0.5,0.38,0.65,0.56,3
0.54,0.57,0.48,0.5,0.56,0.81,0.83,2
0.11,0.5,0.48,0.5,0.58,0.72,0.68,2
0.46,0.59,0.48,0.5,0.36,0.76,0.23,2
0.64,0.66,0.48,0.5,0.41,0.39,0.2,3
0.57,0.38,0.48,0.5,0.06,0.49,0.33,4
0.56,0.68,0.48,0.5,0.77,0.36,0.45,5
0.44,0.35,0.48,0.5,0.55,0.55,0.61,1
0.67,0.39,0.48,0.5,0.36,0.38,0.46,1
0.67,0.55,1,0.5,0.66,0.58,0.16,6
0.57,0.59,0.48,0.5,0.39,0.47,0.33,3
0.63,0.49,0.48,0.5,0.79,0.45,0.28,5
0.17,0.52,0.48,0.5,0.49,0.37,0.46,1
0.3,0.37,0.48,0.5,0.43,0.18,0.3,1
0.47,0.47,0.48,0.5,0.22,0.16,0.26,1
0.43,0.4,0.48,0.5,0.39,0.28,0.39,1
0.7,0.64,0.48,0.5,0.47,0.51,0.47,3
0.54,0.49,0.48,0.5,0.4,0.87,0.88,2
0.33,0.37,0.48,0.5,0.46,0.65,0.69,2
0,0.51,0.48,0.5,0.35,0.67,0.44,2
0.67,0.81,0.48,0.5,0.54,0.49,0.23,3
0.43,0.32,0.48,0.5,0.33,0.45,0.52,1
0.74,0.9,0.48,0.5,0.57,0.53,0.29,5
0,0.38,0.48,0.5,0.42,0.48,0.55,1
0.74,0.47,0.48,0.5,0.5,0.57,0.42,3
0.59,0.29,0.48,0.5,0.64,0.75,0.77,4
0.37,0.52,0.48,0.5,0.42,0.42,0.36,1
0.49,0.29,0.48,0.5,0.56,0.24,0.35,1
0.34,0.46,0.48,0.5,0.52,0.35,0.44,1
0.26,0.4,0.48,0.5,0.36,0.26,0.37,1
0.5,0.51,0.48,0.5,0.27,0.23,0.34,1
0.23,0.33,0.48,0.5,0.43,0.33,0.43,1
0.63,0.75,0.48,0.5,0.64,0.73,0.66,2
0.73,0.36,0.48,0.5,0.53,0.91,0.92,2
0.29,0.47,0.48,0.5,0.71,0.65,0.69,2
0.71,0.71,0.48,0.5,0.4,0.54,0.39,3
0.73,0.84,0.48,0.5,0.86,0.58,0.29,5
0.3,0.37,0.48,0.5,0.59,0.41,0.49,1
0.61,0.52,0.48,0.5,0.54,0.67,0.52,2
0.36,0.56,0.48,0.5,0.43,0.45,0.53,1
0.41,0.43,0.48,0.5,0.45,0.31,0.41,1
0.16,0.51,0.48,0.5,0.33,0.39,0.48,2
0.24,0.34,0.48,0.5,0.38,0.3,0.4,1
0.33,0.47,0.48,0.5,0.53,0.18,0.29,1
0.25,0.37,0.48,0.5,0.41,0.33,0.42,1
0.49,0.61,1,0.5,0.56,0.71,0.74,4
0.48,0.41,0.48,0.5,0.51,0.9,0.88,2
