@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.27,0.42,0.48,0.5,0.37,0.38,0.43,1
0.61,0.6,0.48,0.5,0.44,0.39,0.38,3
0.64,0.76,0.48,0.5,0.45,0.35,0.38,1
0.58,0.55,0.48,0.5,0.57,0.7,0.74,2
0.43,0.4,0.48,0.5,0.58,0.75,0.78,2
0.62,0.78,0.48,0.5,0.47,0.49,0.54,3
0.44,0.52,0.48,0.5,0.43,0.47,0.54,2
0.68,0.63,0.48,0.5,0.73,0.4,0.3,5
0.25,0.26,0.48,0.5,0.39,0.32,0.42,1
0.74,0.56,0.48,0.5,0.47,0.68,0.3,3
0.64,0.72,0.48,0.5,0.49,0.42,0.19,3
0.63,0.5,0.48,0.5,0.59,0.85,0.86,2
0.34,0.67,0.48,0.5,0.52,0.76,0.79,2
0.63,1,0.48,0.5,0.35,0.51,0.49,3
0.44,0.35,0.48,0.5,0.44,0.52,0.59,1
0.68,0.49,1,0.5,0.62,0.55,0.28,6
0.36,0.54,0.48,0.5,0.41,0.38,0.46,1
0.63,0.57,0.48,0.5,0.49,0.7,0.2,3
0.71,0.86,0.48,0.5,0.4,0.54,0.32,3
0.62,0.42,0.48,0.5,0.58,0.79,0.81,4
0.47,0.46,0.48,0.5,0.62,0.74,0.77,4
0.29,0.37,0.48,0.5,0.48,0.44,0.52,1
0.63,0.69,0.48,0.5,0.65,0.41,0.28,5
0.35,0.48,0.48,0.5,0.56,0.4,0.48,1
0.31,0.47,0.48,0.5,0.29,0.28,0.39,1
0.75,0.55,1,1,0.4,0.47,0.3,7
0.69,0.8,0.48,0.5,0.46,0.57,0.26,3
0.79,0.54,0.48,0.5,0.5,0.66,0.68,4
0.3,0.51,0.48,0.5,0.42,0.61,0.34,2
0.69,0.65,0.48,0.5,0.63,0.48,0.41,3
0.07,0.4,0.48,0.5,0.54,0.35,0.44,1
0.65,0.47,0.48,0.5,0.59,0.3,0.4,1
0.22,0.36,0.48,0.5,0.35,0.39,0.47,1
0.85,0.53,0.48,0.5,0.53,0.52,0.35,8
0.76,0.73,0.48,0.5,0.44,0.39,0.39,3
0.51,0.4,0.48,0.5,0.57,0.62,0.67,2
0.44,0.27,0.48,0.5,0.55,0.52,0.58,1
0.6,0.76,1,0.5,0.77,0.59,0.52,5
0.24,0.57,0.48,0.5,0.63,0.34,0.43,1
0.56,0.4,0.48,0.5,0.49,0.37,0.46,1
