@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.38,0.3,0.48,0.5,0.43,0.29,0.39,1
0.67,0.88,0.48,0.5,0.73,0.5,0.25,5
0.88,0.42,0.48,0.5,0.52,0.73,0.75,4
0.63,0.5,0.48,0.5,0.59,0.85,0.86,2
0.34,0.55,0.48,0.5,0.58,0.31,0.41,1
0.63,0.83,0.48,0.5,0.4,0.39,0.19,3
0.7,0.53,0.48,0.5,0.7,0.86,0.87,4
0.27,0.35,0.48,0.5,0.51,0.77,0.79,2
0.27,0.3,0.48,0.5,0.71,0.28,0.39,1
0.21,0.51,0.48,0.5,0.5,0.32,0.41,1
0.33,0.45,0.48,0.5,0.52,0.32,0.41,1
0.24,0.57,0.48,0.5,0.63,0.34,0.43,1
0.24,0.41,0.48,0.5,0.49,0.23,0.34,1
0.86,0.55,0.48,0.5,0.63,0.81,0.83,4
0.12,0.43,0.48,0.5,0.63,0.7,0.74,2
0.64,0.58,0.48,0.5,0.48,0.78,0.73,2
0.23,0.4,0.48,0.5,0.39,0.28,0.38,1
0.59,0.56,0.48,0.5,0.55,0.8,0.82,2
0.29,0.37,0.48,0.5,0.48,0.44,0.52,1
0.4,0.46,0.48,0.5,0.42,0.35,0.44,1
0.84,0.49,0.48,0.5,0.55,0.78,0.74,4
0.52,0.81,0.48,0.5,0.72,0.38,0.38,5
0.63,0.57,0.48,0.5,0.49,0.7,0.2,3
0.69,0.59,0.48,0.5,0.46,0.44,0.52,3
0.68,0.51,0.48,0.5,0.71,0.75,0.78,2
0.63,1,0.48,0.5,0.35,0.51,0.49,3
0.4,0.45,0.48,0.5,0.38,0.22,0,1
0.44,0.52,0.48,0.5,0.43,0.47,0.54,2
0.36,0.54,0.48,0.5,0.41,0.38,0.46,1
0.67,0.81,0.48,0.5,0.25,0.42,0.25,3
0.47,0.46,0.48,0.5,0.62,0.74,0.77,4
0.23,0.32,0.48,0.5,0.55,0.25,0.35,1
0.43,0.59,0.48,0.5,0.52,0.49,0.56,3
0.71,0.86,0.48,0.5,0.4,0.54,0.32,3
0.44,0.35,0.48,0.5,0.44,0.52,0.59,1
0.29,0.3,0.48,0.5,0.45,0.03,0.17,1
0.68,0.49,1,0.5,0.62,0.55,0.28,6
0.61,0.6,0.48,0.5,0.44,0.39,0.38,3
0.51,0.4,0.48,0.5,0.57,0.62,0.67,2
0.21,0.34,0.48,0.5,0.51,0.28,0.39,1
0.44,0.27,0.48,0.5,0.55,0.52,0.58,1
0.35,0.48,0.48,0.5,0.56,0.4,0.48,1
0.35,0.37,0.48,0.5,0.3,0.34,0.43,1
0.35,0.34,0.48,0.5,0.46,0.3,0.27,1
0.47,0.28,0.48,0.5,0.56,0.2,0.25,1
0.24,0.43,0.48,0.5,0.37,0.28,0.38,1
0.38,0.4,0.48,0.5,0.63,0.25,0.35,1
0.76,0.71,0.48,0.5,0.5,0.71,0.75,4
0.5,0.66,0.48,0.5,0.31,0.92,0.92,2
0.62,0.42,0.48,0.5,0.58,0.79,0.81,4
0.64,0.76,0.48,0.5,0.45,0.35,0.38,1
0.31,0.23,0.48,0.5,0.73,0.05,0.14,1
0.6,0.76,1,0.5,0.77,0.59,0.52,5
0.34,0.67,0.48,0.5,0.52,0.76,0.79,2
0.64,0.72,0.48,0.5,0.49,0.42,0.19,3
0.81,0.44,0.48,0.5,0.42,0.67,0.68,4
