@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.41,0.51,0.48,0.5,0.58,0.2,0.31,1
0.39,0.41,0.48,0.5,0.52,0.72,0.75,2
0.43,0.39,0.48,0.5,0.47,0.31,0.41,1
0.34,0.49,0.48,0.5,0.58,0.85,0.8,2
0.59,0.61,0.48,0.5,0.42,0.42,0.37,3
0.65,0.55,0.48,0.5,0.34,0.37,0.28,1
0.34,0.51,0.48,0.5,0.67,0.9,0.9,2
0.72,0.46,0.48,0.5,0.51,0.66,0.7,2
0.43,0.59,0.48,0.5,0.52,0.49,0.56,3
0.31,0.47,0.48,0.5,0.29,0.28,0.39,1
0.36,0.56,0.48,0.5,0.43,0.45,0.53,1
0.66,0.48,0.48,0.5,0.54,0.7,0.74,4
0.58,0.6,0.48,0.5,0.59,0.73,0.76,4
0.36,0.54,0.48,0.5,0.41,0.38,0.46,1
0.58,0.55,0.48,0.5,0.57,0.7,0.74,2
0.29,0.47,0.48,0.5,0.41,0.23,0.34,1
0.79,0.54,0.48,0.5,0.5,0.66,0.68,4
0.67,0.39,0.48,0.5,0.36,0.38,0.46,1
0.17,0.52,0.48,0.5,0.49,0.37,0.46,1
0.81,0.52,0.48,0.5,0.57,0.78,0.8,4
0.74,0.56,0.48,0.5,0.47,0.68,0.3,3
0.25,0.48,0.48,0.5,0.44,0.17,0.29,1
0.52,0.81,0.48,0.5,0.72,0.38,0.38,5
0.2,0.44,0.48,0.5,0.46,0.51,0.57,1
0.65,0.47,0.48,0.5,0.59,0.3,0.4,1
0.68,0.49,1,0.5,0.62,0.55,0.28,6
0.4,0.5,0.48,0.5,0.65,0.82,0.84,2
0.76,0.41,0.48,0.5,0.5,0.59,0.62,4
0.16,0.43,0.48,0.5,0.54,0.27,0.37,1
0.44,0.52,0.48,0.5,0.43,0.47,0.54,2
0.44,0.35,0.48,0.5,0.55,0.55,0.61,1
0.51,0.5,0.48,0.5,0.46,0.32,0.35,1
