@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.7,0.4,0.48,0.5,0.56,0.86,0.83,2
0.7,0.64,0.48,0.5,0.47,0.51,0.47,3
0.84,0.44,0.48,0.5,0.48,0.71,0.74,2
0.44,0.34,0.48,0.5,0.3,0.33,0.43,1
0.41,0.43,0.48,0.5,0.5,0.24,0.25,1
0.47,0.29,0.48,0.5,0.51,0.33,0.43,1
0.41,0.48,0.48,0.5,0.51,0.44,0.51,1
0.42,0.35,0.48,0.5,0.58,0.15,0.27,1
0.75,0.55,1,1,0.4,0.47,0.3,7
0.61,0.47,0.48,0.5,0,0.8,0.32,2
0.52,0.54,0.48,0.5,0.62,0.76,0.79,2
0.68,0.51,0.48,0.5,0.71,0.75,0.78,2
0.44,0.35,0.48,0.5,0.44,0.52,0.59,1
0.71,0.4,0.48,0.5,0.71,0.7,0.74,2
0.74,0.49,0.48,0.5,0.42,0.54,0.36,3
0.38,0.4,0.48,0.5,0.63,0.25,0.35,1
0.32,0.39,0.48,0.5,0.53,0.28,0.38,3
0.86,0.39,0.48,0.5,0.59,0.89,0.9,4
0.71,0.71,0.48,0.5,0.4,0.54,0.39,3
0.68,0.82,0.48,0.5,0.38,0.65,0.56,3
0.73,0.36,0.48,0.5,0.53,0.91,0.92,2
0.33,0.45,0.48,0.5,0.52,0.32,0.41,1
0.84,0.54,0.48,0.5,0.75,0.92,0.7,4
0.11,0.5,0.48,0.5,0.58,0.72,0.68,2
0.22,0.43,0.48,0.5,0.48,0.16,0.28,1
0.85,0.53,0.48,0.5,0.53,0.52,0.35,8
0.75,0.84,0.48,0.5,0.35,0.52,0.33,3
0.79,0.41,0.48,0.5,0.66,0.81,0.83,4
0.21,0.34,0.48,0.5,0.51,0.28,0.39,1
0.21,0.51,0.48,0.5,0.5,0.32,0.41,1
0.38,0.3,0.48,0.5,0.43,0.29,0.39,1
0.42,0.24,0.48,0.5,0.57,0.27,0.37,1
0.29,0.37,0.48,0.5,0.48,0.44,0.52,1
0.28,0.33,0.48,0.5,0.45,0.22,0.33,1
0.59,0.49,0.48,0.5,0.52,0.45,0.36,1
0.43,0.37,0.48,0.5,0.53,0.35,0.44,1
0.33,0.45,0.48,0.5,0.45,0.88,0.89,2
0.18,0.3,0.48,0.5,0.46,0.24,0.35,1
0.63,0.69,0.48,0.5,0.65,0.41,0.28,5
0.33,0.47,0.48,0.5,0.53,0.18,0.29,1
0.17,0.39,0.48,0.5,0.53,0.3,0.39,1
0.77,0.57,0.48,0.5,0.88,0.53,0.2,5
0.54,0.49,0.48,0.5,0.4,0.87,0.88,2
0.7,0.53,0.48,0.5,0.7,0.86,0.87,4
0.25,0.4,0.48,0.5,0.47,0.33,0.42,1
0.84,0.49,0.48,0.5,0.55,0.78,0.74,4
0.23,0.33,0.48,0.5,0.43,0.33,0.43,1
0.39,0.32,0.48,0.5,0.46,0.24,0.35,1
0.23,0.32,0.48,0.5,0.55,0.25,0.35,1
0.23,0.4,0.48,0.5,0.39,0.28,0.38,1
0.74,0.78,0.48,0.5,0.75,0.54,0.15,5
0.63,0.47,0.48,0.5,0.51,0.82,0.84,2
0.81,0.44,0.48,0.5,0.42,0.67,0.68,4
0.73,0.26,0.48,0.5,0.57,0.75,0.78,4
0.47,0.59,0.48,0.5,0.52,0.76,0.79,2
0.5,0.49,0.48,0.5,0.49,0.46,0.53,1
0.24,0.35,0.48,0.5,0.31,0.19,0.31,1
0.65,0.51,0.48,0.5,0.66,0.54,0.33,5
0.56,0.54,0.48,0.5,0.43,0.37,0.3,3
0.63,0.57,0.48,0.5,0.49,0.7,0.2,3
0.66,0.53,0.48,0.5,0.59,0.66,0.66,2
0.63,0.83,0.48,0.5,0.4,0.39,0.19,3
0.88,0.42,0.48,0.5,0.52,0.73,0.75,4
0.69,0.39,0.48,0.5,0.57,0.76,0.79,2
