@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.07,0.4,0.48,0.5,0.54,0.35,0.44,1
0.59,0.61,0.48,0.5,0.42,0.42,0.37,3
0.49,0.29,0.48,0.5,0.56,0.24,0.35,1
0.73,0.36,0.48,0.5,0.53,0.91,0.92,2
0.51,0.5,0.48,0.5,0.46,0.32,0.35,1
0.61,0.66,0.48,0.5,0.46,0.87,0.88,2
0.69,0.39,0.48,0.5,0.57,0.76,0.79,2
0.12,0.43,0.48,0.5,0.63,0.7,0.74,2
0.44,0.49,0.48,0.5,0.39,0.38,0.4,1
0.36,0.54,0.48,0.5,0.41,0.38,0.46,1
0.5,0.57,0.48,0.5,0.71,0.61,0.66,2
0.4,0.42,0.48,0.5,0.37,0.27,0.27,1
0.52,0.44,0.48,0.5,0.37,0.36,0.42,1
0.23,0.48,0.48,0.5,0.59,0.88,0.89,2
0.66,0.48,0.48,0.5,0.54,0.7,0.74,4
0.41,0.57,0.48,0.5,0.39,0.21,0.32,1
0.57,0.59,0.48,0.5,0.39,0.47,0.33,3
0.63,0.5,0.48,0.5,0.59,0.85,0.86,2
0.81,0.53,0.48,0.5,0.57,0.87,0.88,4
0.33,0.47,0.48,0.5,0.53,0.18,0.29,1
0.4,0.5,0.48,0.5,0.65,0.82,0.84,2
0.5,0.49,0.48,0.5,0.49,0.46,0.53,1
0.89,0.55,0.48,0.5,0.51,0.72,0.76,2
0.52,0.39,0.48,0.5,0.65,0.71,0.73,2
0.29,0.3,0.48,0.5,0.45,0.03,0.17,1
0.26,0.5,0.48,0.5,0.44,0.32,0.41,1
0.63,0.42,0.48,0.5,0.48,0.77,0.8,4
0.29,0.28,0.48,0.5,0.44,0.23,0.34,1
0.22,0.34,0.48,0.5,0.42,0.29,0.39,1
0.24,0.43,0.48,0.5,0.37,0.28,0.38,1
0.52,0.81,0.48,0.5,0.72,0.38,0.38,5
0.5,0.66,0.48,0.5,0.31,0.92,0.92,2
0.49,0.42,0.48,0.5,0.53,0.79,0.81,2
0.7,0.53,0.48,0.5,0.7,0.86,0.87,4
0.27,0.42,0.48,0.5,0.37,0.38,0.43,1
0.63,0.54,0.48,0.5,0.65,0.79,0.81,2
0.52,0.36,0.48,0.5,0.41,0.28,0.38,1
0.74,0.49,0.48,0.5,0.42,0.54,0.36,3
0.43,0.59,0.48,0.5,0.52,0.49,0.56,3
0.73,0.26,0.48,0.5,0.57,0.75,0.78,4
0.79,0.54,0.48,0.5,0.5,0.66,0.68,4
0.6,0.5,1,0.5,0.54,0.77,0.8,2
0.63,1,0.48,0.5,0.35,0.51,0.49,3
0.75,0.76,0.48,0.5,0.83,0.57,0.3,5
0.24,0.41,0.48,0.5,0.49,0.23,0.34,1
0.4,0.35,0.48,0.5,0.45,0.33,0.42,1
0.69,0.67,0.48,0.5,0.3,0.39,0.24,3
0.74,0.74,0.48,0.5,0.31,0.53,0.52,3
