@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.47,0.47,0.48,0.5,0.22,0.16,0.26,1
0.61,0.47,0.48,0.5,0,0.8,0.32,2
0.69,0.59,0.48,0.5,0.46,0.44,0.52,3
0.49,0.61,1,0.5,0.56,0.71,0.74,4
0.84,0.44,0.48,0.5,0.48,0.71,0.74,2
0.62,0.78,0.48,0.5,0.47,0.49,0.54,3
0.23,0.33,0.48,0.5,0.43,0.33,0.43,1
0.56,0.68,0.48,0.5,0.77,0.36,0.45,5
0.57,0.38,0.48,0.5,0.06,0.49,0.33,4
0.46,0.59,0.48,0.5,0.36,0.76,0.23,2
0.65,0.51,0.48,0.5,0.66,0.54,0.33,5
0.7,0.39,1,0.5,0.51,0.82,0.84,7
0.72,0.46,0.48,0.5,0.51,0.66,0.7,2
0.23,0.34,0.48,0.5,0.43,0.26,0.37,1
0.74,0.78,0.48,0.5,0.75,0.54,0.15,5
0.43,0.39,0.48,0.5,0.47,0.31,0.41,1
0.44,0.42,0.48,0.5,0.42,0.25,0.2,1
0.85,0.53,0.48,0.5,0.53,0.52,0.35,8
0.6,0.76,1,0.5,0.77,0.59,0.52,5
0.75,0.37,0.48,0.5,0.64,0.7,0.74,4
0.27,0.3,0.48,0.5,0.71,0.28,0.39,1
0.71,0.71,0.48,0.5,0.68,0.43,0.36,5
0.51,0.37,0.48,0.5,0.35,0.36,0.45,1
0.24,0.35,0.48,0.5,0.31,0.19,0.31,1
0.59,0.49,0.48,0.5,0.52,0.45,0.36,1
0.68,0.49,1,0.5,0.62,0.55,0.28,6
0.81,0.44,0.48,0.5,0.42,0.67,0.68,4
0.35,0.34,0.48,0.5,0.46,0.3,0.27,1
0.77,0.57,0.48,0.5,0.88,0.53,0.2,5
0.43,0.37,0.48,0.5,0.53,0.35,0.44,1
0.26,0.26,0.48,0.5,0.34,0.25,0.35,1
0.68,0.67,0.48,0.5,0.49,0.4,0.34,3
0.74,0.56,0.48,0.5,0.47,0.68,0.3,3
0.79,0.41,0.48,0.5,0.66,0.81,0.83,4
0.23,0.32,0.48,0.5,0.55,0.25,0.35,1
0.69,0.65,0.48,0.5,0.63,0.48,0.41,3
0.44,0.34,0.48,0.5,0.3,0.33,0.43,1
0.69,0.8,0.48,0.5,0.46,0.57,0.26,3
0.3,0.45,0.48,0.5,0.36,0.21,0.32,1
0.32,0.33,0.48,0.5,0.6,0.06,0.2,1
0.67,0.37,0.48,0.5,0.54,0.64,0.68,4
0.21,0.34,0.48,0.5,0.51,0.28,0.39,1
0.34,0.28,0.48,0.5,0.41,0.35,0.44,1
0.67,0.81,0.48,0.5,0.25,0.42,0.25,3
0.38,0.44,0.48,0.5,0.43,0.2,0.31,1
0.31,0.23,0.48,0.5,0.73,0.05,0.14,1
0.65,0.47,0.48,0.5,0.59,0.3,0.4,1
0.36,0.47,0.48,0.5,0.51,0.69,0.72,2
0.71,0.4,0.48,0.5,0.71,0.7,0.74,2
0.38,0.3,0.48,0.5,0.43,0.29,0.39,1
0.76,0.73,0.48,0.5,0.44,0.39,0.39,3
0.37,0.52,0.48,0.5,0.42,0.42,0.36,1
0.3,0.16,0.48,0.5,0.56,0.11,0.23,1
0.41,0.51,0.48,0.5,0.58,0.2,0.31,1
0.31,0.5,0.48,0.5,0.57,0.84,0.85,2
0.29,0.28,0.48,0.5,0.5,0.42,0.5,1
