@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.41,0.48,0.48,0.5,0.51,0.44,0.51,1
0.69,0.8,0.48,0.5,0.46,0.57,0.26,3
0.56,0.51,0.48,0.5,0.34,0.37,0.46,1
0.56,0.54,0.48,0.5,0.43,0.37,0.3,3
0.46,0.59,0.48,0.5,0.36,0.76,0.23,2
0.36,0.54,0.48,0.5,0.41,0.38,0.46,1
0.71,0.86,0.48,0.5,0.4,0.54,0.32,3
0.5,0.66,0.48,0.5,0.31,0.92,0.92,2
0.41,0.43,0.48,0.5,0.45,0.31,0.41,1
0.37,0.47,0.48,0.5,0.39,0.76,0.79,2
0.04,0.31,0.48,0.5,0.41,0.29,0.39,1
0.67,0.37,0.48,0.5,0.54,0.64,0.68,4
0.27,0.3,0.48,0.5,0.71,0.28,0.39,1
0.67,0.7,0.48,0.5,0.46,0.45,0.33,3
0.43,0.39,0.48,0.5,0.47,0.31,0.41,1
0.34,0.51,0.48,0.5,0.67,0.9,0.9,2
0.72,0.46,0.48,0.5,0.51,0.66,0.7,2
0.25,0.37,0.48,0.5,0.41,0.33,0.42,1
0.71,0.71,0.48,0.5,0.68,0.43,0.36,5
0.17,0.38,0.48,0.5,0.45,0.42,0.5,1
0.51,0.37,0.48,0.5,0.35,0.36,0.45,1
0.63,0.8,0.48,0.5,0.46,0.31,0.29,3
0.38,0.26,0.48,0.5,0.54,0.16,0.28,1
0.11,0.5,0.48,0.5,0.58,0.72,0.68,2
0.33,0.56,0.48,0.5,0.33,0.78,0.8,2
0.23,0.4,0.48,0.5,0.39,0.28,0.38,1
0.65,0.47,0.48,0.5,0.59,0.3,0.4,1
0.44,0.35,0.48,0.5,0.55,0.55,0.61,1
0.66,0.86,0.48,0.5,0.34,0.41,0.36,3
0.69,0.39,0.48,0.5,0.57,0.76,0.79,2
0.4,0.42,0.48,0.5,0.37,0.27,0.27,1
0.47,0.59,0.48,0.5,0.52,0.76,0.79,2
0.68,0.82,0.48,0.5,0.38,0.65,0.56,3
0.31,0.23,0.48,0.5,0.73,0.05,0.14,1
0.69,0.43,0.48,0.5,0.59,0.74,0.77,4
0.47,0.46,0.48,0.5,0.62,0.74,0.77,4
0.34,0.51,0.48,0.5,0.44,0.37,0.46,1
0.24,0.43,0.48,0.5,0.54,0.52,0.59,1
0.79,0.54,0.48,0.5,0.5,0.66,0.68,4
0.12,0.43,0.48,0.5,0.63,0.7,0.74,2
0.47,0.28,0.48,0.5,0.56,0.2,0.25,1
0.71,0.52,0.48,0.5,0.64,1,0.99,2
0.3,0.45,0.48,0.5,0.36,0.21,0.32,1
0.24,0.34,0.48,0.5,0.38,0.3,0.4,1
0.58,0.55,0.48,0.5,0.57,0.7,0.74,2
0.52,0.39,0.48,0.5,0.65,0.71,0.73,2
0.44,0.34,0.48,0.5,0.3,0.33,0.43,1
0.54,0.57,0.48,0.5,0.56,0.81,0.83,2
0.25,0.51,0.48,0.5,0.37,0.42,0.5,1
0.29,0.52,0.48,0.5,0.42,0.29,0.39,1
0.63,0.75,0.48,0.5,0.64,0.73,0.66,2
0.34,0.28,0.48,0.5,0.41,0.35,0.44,1
0.61,0.45,0.48,0.5,0.48,0.35,0.41,1
0.34,0.35,0.48,0.5,0.51,0.49,0.56,1
0.17,0.52,0.48,0.5,0.49,0.37,0.46,1
0.36,0.45,0.48,0.5,0.38,0.79,0.17,2
0.63,0.54,0.48,0.5,0.65,0.79,0.81,2
0.52,0.54,0.48,0.5,0.62,0.76,0.79,2
0.64,0.81,0.48,0.5,0.37,0.39,0.44,3
0.5,0.37,0.48,0.5,0.66,0.64,0.69,2
0.59,0.49,0.48,0.5,0.52,0.45,0.36,1
0.26,0.4,0.48,0.5,0.36,0.26,0.37,1
0.24,0.35,0.48,0.5,0.31,0.19,0.31,1
0.41,0.43,0.48,0.5,0.5,0.24,0.25,1
0.1,0.49,0.48,0.5,0.41,0.67,0.21,2
0.47,0.47,0.48,0.5,0.22,0.16,0.26,1
0.64,0.58,0.48,0.5,0.48,0.78,0.73,2
0.33,0.45,0.48,0.5,0.52,0.32,0.41,1
0.5,0.51,0.48,0.5,0.27,0.23,0.34,1
0.61,0.52,0.48,0.5,0.54,0.67,0.52,2
0.4,0.5,0.48,0.5,0.45,0.39,0.47,1
0.21,0.34,0.48,0.5,0.51,0.28,0.39,1
0.53,0.42,0.48,0.5,0.16,0.29,0.39,1
0.06,0.61,0.48,0.5,0.49,0.92,0.37,2
