@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.66,0.48,0.48,0.5,0.54,0.7,0.74,4
0.2,0.44,0.48,0.5,0.46,0.51,0.57,1
0.68,0.49,1,0.5,0.62,0.55,0.28,6
0.67,0.88,0.48,0.5,0.73,0.5,0.25,5
0.71,0.71,0.48,0.5,0.4,0.54,0.39,3
0.28,0.33,0.48,0.5,0.45,0.22,0.33,1
0.44,0.49,0.48,0.5,0.39,0.38,0.4,1
0.63,1,0.48,0.5,0.35,0.51,0.49,3
0.21,0.51,0.48,0.5,0.5,0.32,0.41,1
0.42,0.3,0.48,0.5,0.48,0.26,0.36,1
0.44,0.51,0.48,0.5,0.47,0.26,0.36,1
0.68,0.67,0.48,0.5,0.49,0.4,0.34,3
0.4,0.45,0.48,0.5,0.38,0.22,0,1
0.69,0.65,0.48,0.5,0.63,0.48,0.41,3
0.35,0.51,0.48,0.5,0.61,0.71,0.74,2
0.64,0.76,0.48,0.5,0.45,0.35,0.38,1
0.23,0.33,0.48,0.5,0.43,0.33,0.43,1
0.22,0.34,0.48,0.5,0.42,0.29,0.39,1
0.55,0.47,0.48,0.5,0.57,0.78,0.8,2
0.48,0.45,0.48,0.5,0.6,0.78,0.8,2
0.25,0.4,0.48,0.5,0.47,0.33,0.42,1
0.23,0.34,0.48,0.5,0.43,0.26,0.37,1
0.29,0.28,0.48,0.5,0.44,0.23,0.34,1
0.74,0.82,0.48,0.5,0.49,0.49,0.41,3
0.68,0.78,0.48,0.5,0.43,0.44,0.42,3
0.24,0.41,0.48,0.5,0.49,0.23,0.34,1
0.16,0.43,0.48,0.5,0.54,0.27,0.37,1
0.18,0.3,0.48,0.5,0.46,0.24,0.35,1
0.25,0.26,0.48,0.5,0.39,0.32,0.42,1
0.36,0.39,0.48,0.5,0.48,0.22,0.23,1
0.44,0.42,0.48,0.5,0.42,0.25,0.2,1
0.32,0.39,0.48,0.5,0.53,0.28,0.38,3
