@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.44,0.56,0.48,0.5,0.5,0.46,0.54,1
0.67,0.81,0.48,0.5,0.54,0.49,0.23,3
0.66,0.71,0.48,0.5,0.41,0.5,0.35,3
0.31,0.5,0.48,0.5,0.57,0.84,0.85,2
0.61,0.66,0.48,0.5,0.46,0.87,0.88,2
0.68,0.78,0.48,0.5,0.43,0.44,0.42,3
0.12,0.67,0.48,0.5,0.74,0.58,0.63,2
0.7,0.39,1,0.5,0.51,0.82,0.84,7
0.29,0.37,0.48,0.5,0.48,0.44,0.52,1
0.52,0.81,0.48,0.5,0.72,0.38,0.38,5
0.67,0.61,0.48,0.5,0.51,0.37,0.38,3
0.2,0.46,0.48,0.5,0.57,0.78,0.81,2
0.79,0.36,0.48,0.5,0.46,0.82,0.7,4
0.66,0.74,0.48,0.5,0.31,0.38,0.43,3
0.36,0.56,0.48,0.5,0.43,0.45,0.53,1
0.67,0.55,1,0.5,0.66,0.58,0.16,6
0.44,0.27,0.48,0.5,0.55,0.52,0.58,1
0.63,0.71,0.48,0.5,0.6,0.4,0.39,3
0.57,0.59,0.48,0.5,0.39,0.47,0.33,3
0.48,0.41,0.48,0.5,0.51,0.9,0.88,2
0.62,0.42,0.48,0.5,0.58,0.79,0.81,4
0.74,0.74,0.48,0.5,0.31,0.53,0.52,3
0.3,0.51,0.48,0.5,0.42,0.61,0.34,2
0.6,0.76,1,0.5,0.77,0.59,0.52,5
0.3,0.37,0.48,0.5,0.59,0.41,0.49,1
0.61,0.75,0.48,0.5,0.51,0.33,0.33,5
0.71,0.57,0.48,0.5,0.48,0.35,0.32,3
0.23,0.48,0.48,0.5,0.59,0.88,0.89,2
0.74,0.44,0.48,0.5,0.55,0.88,0.89,2
0.24,0.57,0.48,0.5,0.63,0.34,0.43,1
0.24,0.41,0.48,0.5,0.49,0.23,0.34,1
0.54,0.47,0.48,0.5,0.28,0.33,0.42,1
0.35,0.48,0.48,0.5,0.56,0.4,0.48,1
0.62,0.83,0.48,0.5,0.46,0.36,0.4,3
0.64,0.66,0.48,0.5,0.41,0.39,0.2,3
0.34,0.49,0.48,0.5,0.58,0.85,0.8,2
0.54,0.49,0.48,0.5,0.4,0.87,0.88,2
0,0.51,0.48,0.5,0.35,0.67,0.44,2
0.32,0.39,0.48,0.5,0.53,0.28,0.38,3
0.37,0.5,0.48,0.5,0.42,0.36,0.45,1
0.4,0.46,0.48,0.5,0.52,0.49,0.56,1
0.74,0.9,0.48,0.5,0.57,0.53,0.29,5
0.64,0.72,0.48,0.5,0.49,0.42,0.19,3
0.4,0.5,0.48,0.5,0.65,0.82,0.84,2
0.81,0.44,0.48,0.5,0.42,0.67,0.68,4
0.16,0.51,0.48,0.5,0.33,0.39,0.48,2
0.32,0.42,0.48,0.5,0.35,0.28,0.38,1
0.57,0.38,0.48,0.5,0.06,0.49,0.33,4
