@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.57,0.54,0.48,0.5,0.37,0.28,0.33,1
0.51,0.49,0.48,0.5,0.53,0.14,0.26,1
0.71,0.4,0.48,0.5,0.71,0.7,0.74,2
0.3,0.37,0.48,0.5,0.59,0.41,0.49,1
0.4,0.29,0.48,0.5,0.42,0.35,0.44,1
0.49,0.42,0.48,0.5,0.53,0.79,0.81,2
0.38,0.4,0.48,0.5,0.63,0.25,0.35,1
0.23,0.32,0.48,0.5,0.55,0.25,0.35,1
0.41,0.48,0.48,0.5,0.51,0.44,0.51,1
0.66,0.48,0.48,0.5,0.54,0.7,0.74,4
0.74,0.47,0.48,0.5,0.5,0.57,0.42,3
0.62,0.78,0.48,0.5,0.47,0.49,0.54,3
0.44,0.49,0.48,0.5,0.39,0.38,0.4,1
0.42,0.38,0.48,0.5,0.54,0.34,0.43,1
0.48,0.45,0.48,0.5,0.6,0.78,0.8,2
0.77,0.57,0.48,0.5,0.88,0.53,0.2,5
0.26,0.5,0.48,0.5,0.44,0.32,0.41,1
0.52,0.36,0.48,0.5,0.41,0.28,0.38,1
0.21,0.34,0.48,0.5,0.51,0.28,0.39,1
0.74,0.9,0.48,0.5,0.57,0.53,0.29,5
0.24,0.43,0.48,0.5,0.54,0.52,0.59,1
0.87,0.49,0.48,0.5,0.61,0.76,0.79,4
0.4,0.41,0.48,0.5,0.55,0.22,0.33,1
0.37,0.47,0.48,0.5,0.39,0.76,0.79,2
0.76,0.41,0.48,0.5,0.5,0.59,0.62,4
0.58,0.34,0.48,0.5,0.56,0.87,0.81,2
0.63,1,0.48,0.5,0.35,0.51,0.49,3
0.77,0.57,1,0.5,0.37,0.54,0.01,6
0.67,0.61,0.48,0.5,0.51,0.37,0.38,3
0.78,0.33,0.48,0.5,0.57,0.77,0.79,4
0.51,0.37,0.48,0.5,0.35,0.36,0.45,1
0.56,0.54,0.48,0.5,0.43,0.37,0.3,3
0.63,0.42,0.48,0.5,0.48,0.77,0.8,4
0.12,0.43,0.48,0.5,0.63,0.7,0.74,2
0.4,0.45,0.48,0.5,0.38,0.22,0,1
0.78,0.44,0.48,0.5,0.45,0.73,0.68,4
0.24,0.34,0.48,0.5,0.38,0.3,0.4,1
0.32,0.33,0.48,0.5,0.6,0.06,0.2,1
0.4,0.46,0.48,0.5,0.52,0.49,0.56,1
0.34,0.51,0.48,0.5,0.67,0.9,0.9,2
0.79,0.36,0.48,0.5,0.46,0.82,0.7,4
0.72,0.86,0.48,0.5,0.17,0.55,0.21,3
0.81,0.44,0.48,0.5,0.42,0.67,0.68,4
0.71,0.86,0.48,0.5,0.4,0.54,0.32,3
0.71,0.57,0.48,0.5,0.48,0.35,0.32,3
0.28,0.33,0.48,0.5,0.45,0.22,0.33,1
0.83,0.37,0.48,0.5,0.61,0.71,0.74,2
0.37,0.44,0.48,0.5,0.42,0.39,0.47,1
