@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.57,0.38,0.48,0.5,0.06,0.49,0.33,4
0.39,0.41,0.48,0.5,0.52,0.72,0.75,2
0.75,0.55,1,1,0.4,0.47,0.3,7
0.68,0.49,1,0.5,0.62,0.55,0.28,6
0.69,0.65,0.48,0.5,0.63,0.48,0.41,3
0.32,0.42,0.48,0.5,0.35,0.28,0.38,1
0.49,0.43,0.48,0.5,0.49,0.3,0.4,1
0.71,0.71,0.48,0.5,0.4,0.54,0.39,3
0.37,0.5,0.48,0.5,0.42,0.36,0.45,1
0.11,0.5,0.48,0.5,0.58,0.72,0.68,2
0.17,0.38,0.48,0.5,0.45,0.42,0.5,1
0.63,0.86,0.48,0.5,0.39,0.47,0.34,3
0.39,0.32,0.48,0.5,0.46,0.24,0.35,1
0.68,0.76,0.48,0.5,0.84,0.45,0.27,5
0.7,0.46,0.48,0.5,0.56,0.78,0.73,2
0.74,0.49,0.48,0.5,0.42,0.54,0.36,3
0.33,0.45,0.48,0.5,0.52,0.32,0.41,1
0.34,0.46,0.48,0.5,0.52,0.35,0.44,1
0.25,0.37,0.48,0.5,0.41,0.33,0.42,1
0.23,0.4,0.48,0.5,0.39,0.28,0.38,1
0.38,0.3,0.48,0.5,0.43,0.29,0.39,1
0.4,0.35,0.48,0.5,0.45,0.33,0.42,1
0.25,0.37,0.48,0.5,0.43,0.26,0.36,1
0.55,0.47,0.48,0.5,0.57,0.78,0.8,2
0.62,0.42,0.48,0.5,0.58,0.79,0.81,4
0.48,0.42,0.48,0.5,0.45,0.25,0.35,1
0.43,0.4,0.48,0.5,0.39,0.28,0.39,1
0.28,0.38,0.48,0.5,0.5,0.33,0.42,1
0.16,0.43,0.48,0.5,0.54,0.27,0.37,1
0.24,0.41,0.48,0.5,0.49,0.23,0.34,1
0.47,0.29,0.48,0.5,0.51,0.33,0.43,1
0.52,0.54,0.48,0.5,0.62,0.76,0.79,2
