@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.42,0.35,0.48,0.5,0.58,0.15,0.27,1
0.67,0.55,1,0.5,0.66,0.58,0.16,6
0.7,0.61,0.48,0.5,0.56,0.52,0.43,3
0.47,0.46,0.48,0.5,0.62,0.74,0.77,4
0.77,0.55,0.48,0.5,0.51,0.78,0.74,4
0.68,0.67,0.48,0.5,0.49,0.4,0.34,3
0.35,0.48,0.48,0.5,0.56,0.4,0.48,1
0.67,0.84,0.48,0.5,0.74,0.54,0.37,5
0.35,0.34,0.48,0.5,0.46,0.3,0.27,1
0.63,0.49,0.48,0.5,0.79,0.45,0.28,5
0.55,0.47,0.48,0.5,0.57,0.78,0.8,2
0.5,0.57,0.48,0.5,0.71,0.61,0.66,2
0.63,0.71,0.48,0.5,0.6,0.4,0.39,3
0.12,0.67,0.48,0.5,0.74,0.58,0.63,2
0.52,0.81,0.48,0.5,0.72,0.38,0.38,5
0.41,0.57,0.48,0.5,0.39,0.21,0.32,1
