@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.37,0.5,0.48,0.5,0.42,0.36,0.45,1
0.67,0.61,0.48,0.5,0.51,0.37,0.38,3
0.24,0.43,0.48,0.5,0.54,0.52,0.59,1
0.62,0.42,0.48,0.5,0.58,0.79,0.81,4
0.47,0.59,0.48,0.5,0.52,0.76,0.79,2
0.66,0.86,0.48,0.5,0.34,0.41,0.36,3
0.44,0.56,0.48,0.5,0.5,0.46,0.54,1
0.77,0.57,0.48,0.5,0.88,0.53,0.2,5
0.28,0.38,0.48,0.5,0.5,0.33,0.42,1
0.44,0.34,0.48,0.5,0.3,0.33,0.43,1
0.61,0.75,0.48,0.5,0.51,0.33,0.33,5
0.4,0.35,0.48,0.5,0.45,0.33,0.42,1
0.44,0.27,0.48,0.5,0.55,0.52,0.58,1
0,0.38,0.48,0.5,0.42,0.48,0.55,1
0.28,0.33,0.48,0.5,0.45,0.22,0.33,1
0.29,0.3,0.48,0.5,0.45,0.03,0.17,1
0.3,0.51,0.48,0.5,0.42,0.61,0.34,2
0.64,0.66,0.48,0.5,0.41,0.39,0.2,3
0.29,0.47,0.48,0.5,0.71,0.65,0.69,2
0.31,0.36,0.48,0.5,0.58,0.94,0.94,2
0.49,0.61,1,0.5,0.56,0.71,0.74,4
0.72,0.86,0.48,0.5,0.17,0.55,0.21,3
0.5,0.49,0.48,0.5,0.49,0.46,0.53,1
0.67,0.55,1,0.5,0.66,0.58,0.16,6
0.27,0.3,0.48,0.5,0.71,0.28,0.39,1
0.51,0.37,0.48,0.5,0.35,0.36,0.45,1
0.74,0.82,0.48,0.5,0.49,0.49,0.41,3
0.4,0.42,0.48,0.5,0.37,0.27,0.27,1
0.29,0.28,0.48,0.5,0.5,0.42,0.5,1
0.1,0.49,0.48,0.5,0.41,0.67,0.21,2
0.33,0.47,0.48,0.5,0.53,0.18,0.29,1
0.4,0.45,0.48,0.5,0.38,0.22,0,1
0.56,0.51,0.48,0.5,0.34,0.37,0.46,1
0.65,0.51,0.48,0.5,0.66,0.54,0.33,5
0.33,0.37,0.48,0.5,0.46,0.65,0.69,2
0.84,0.54,0.48,0.5,0.75,0.92,0.7,4
0.74,0.7,0.48,0.5,0.66,0.65,0.69,2
0.71,0.86,0.48,0.5,0.4,0.54,0.32,3
0.43,0.59,0.48,0.5,0.52,0.49,0.56,3
0.75,0.76,0.48,0.5,0.83,0.57,0.3,5
0.17,0.52,0.48,0.5,0.49,0.37,0.46,1
0.74,0.9,0.48,0.5,0.57,0.53,0.29,5
0.4,0.41,0.48,0.5,0.55,0.22,0.33,1
0.11,0.5,0.48,0.5,0.58,0.72,0.68,2
0.24,0.35,0.48,0.5,0.31,0.19,0.31,1
0.31,0.47,0.48,0.5,0.29,0.28,0.39,1
