@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.5,0.51,0.48,0.5,0.27,0.23,0.34,1
0.69,0.66,0.48,0.5,0.41,0.5,0.25,3
0.69,0.8,0.48,0.5,0.46,0.57,0.26,3
0.1,0.49,0.48,0.5,0.41,0.67,0.21,2
0.54,0.57,0.48,0.5,0.56,0.81,0.83,2
0.68,0.82,0.48,0.5,0.38,0.65,0.56,3
0.4,0.46,0.48,0.5,0.52,0.49,0.56,1
0.71,0.46,1,0.5,0.52,0.59,0.3,6
0.34,0.55,0.48,0.5,0.58,0.31,0.41,1
0.21,0.34,0.48,0.5,0.51,0.28,0.39,1
0.7,0.46,0.48,0.5,0.56,0.78,0.73,2
0.43,0.39,0.48,0.5,0.47,0.31,0.41,1
0.51,0.54,0.48,0.5,0.41,0.34,0.43,1
0.34,0.42,0.48,0.5,0.41,0.34,0.43,1
0.4,0.29,0.48,0.5,0.42,0.35,0.44,1
0.22,0.36,0.48,0.5,0.35,0.39,0.47,1
0.57,0.38,0.48,0.5,0.06,0.49,0.33,4
0.59,0.61,0.48,0.5,0.42,0.42,0.37,3
0.52,0.81,0.48,0.5,0.72,0.38,0.38,5
0.51,0.4,0.48,0.5,0.57,0.62,0.67,2
0.76,0.71,0.48,0.5,0.5,0.71,0.75,4
0.11,0.5,0.48,0.5,0.58,0.72,0.68,2
0.7,0.39,1,0.5,0.51,0.82,0.84,7
0.69,0.59,0.48,0.5,0.77,0.39,0.21,5
0.42,0.4,0.48,0.5,0.56,0.18,0.3,1
0.66,0.53,0.48,0.5,0.59,0.66,0.66,2
0.3,0.37,0.48,0.5,0.59,0.41,0.49,1
0.61,0.45,0.48,0.5,0.48,0.35,0.41,1
0.3,0.45,0.48,0.5,0.36,0.21,0.32,1
0.25,0.26,0.48,0.5,0.39,0.32,0.42,1
0,0.38,0.48,0.5,0.42,0.48,0.55,1
0.44,0.42,0.48,0.5,0.42,0.25,0.2,1
