@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.73,0.84,0.48,0.5,0.86,0.58,0.29,5
0.33,0.45,0.48,0.5,0.45,0.88,0.89,2
0.74,0.44,0.48,0.5,0.55,0.88,0.89,2
0.78,0.44,0.48,0.5,0.45,0.73,0.68,4
0.43,0.39,0.48,0.5,0.47,0.31,0.41,1
0.74,0.56,0.48,0.5,0.47,0.68,0.3,3
0.24,0.34,0.48,0.5,0.38,0.3,0.4,1
0.42,0.38,0.48,0.5,0.54,0.34,0.43,1
0.71,0.52,0.48,0.5,0.64,1,0.99,2
0.84,0.54,0.48,0.5,0.75,0.92,0.7,4
0.29,0.37,0.48,0.5,0.48,0.44,0.52,1
0.26,0.4,0.48,0.5,0.36,0.26,0.37,1
0.69,0.59,0.48,0.5,0.77,0.39,0.21,5
0.61,0.6,0.48,0.5,0.44,0.39,0.38,3
0.76,0.71,0.48,0.5,0.5,0.71,0.75,4
0.75,0.37,0.48,0.5,0.64,0.7,0.74,4
0.44,0.49,0.48,0.5,0.39,0.38,0.4,1
0.41,0.43,0.48,0.5,0.45,0.31,0.41,1
0.62,0.78,0.48,0.5,0.47,0.49,0.54,3
0.37,0.5,0.48,0.5,0.42,0.36,0.45,1
0.24,0.43,0.48,0.5,0.37,0.28,0.38,1
0.84,0.49,0.48,0.5,0.55,0.78,0.74,4
0.49,0.42,0.48,0.5,0.53,0.79,0.81,2
0.5,0.51,0.48,0.5,0.27,0.23,0.34,1
0.6,0.46,0.48,0.5,0.45,0.81,0.83,2
0.24,0.41,0.48,0.5,0.49,0.23,0.34,1
0,0.38,0.48,0.5,0.42,0.48,0.55,1
0.3,0.45,0.48,0.5,0.36,0.21,0.32,1
0.21,0.34,0.48,0.5,0.51,0.28,0.39,1
0.39,0.41,0.48,0.5,0.52,0.72,0.75,2
0.54,0.57,0.48,0.5,0.56,0.81,0.83,2
0.66,0.53,0.48,0.5,0.59,0.66,0.66,2
