@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.38,0.44,0.48,0.5,0.43,0.2,0.31,1
0.7,0.61,0.48,0.5,0.56,0.52,0.43,3
0.68,0.78,0.48,0.5,0.43,0.44,0.42,3
0.43,0.4,0.48,0.5,0.58,0.75,0.78,2
0.63,0.49,0.48,0.5,0.54,0.76,0.79,8
0.69,0.67,0.48,0.5,0.3,0.39,0.24,3
0.29,0.28,0.48,0.5,0.5,0.42,0.5,1
0.77,0.57,1,0.5,0.37,0.54,0.01,6
0.4,0.45,0.48,0.5,0.38,0.22,0,1
0.63,0.65,0.48,0.5,0.66,0.67,0.71,2
0.73,0.78,0.48,0.5,0.58,0.51,0.31,3
0.12,0.43,0.48,0.5,0.63,0.7,0.74,2
0.5,0.66,0.48,0.5,0.31,0.92,0.92,2
0.63,0.65,0.48,0.5,0.39,0.44,0.35,3
0.43,0.32,0.48,0.5,0.33,0.45,0.52,1
0.75,0.55,1,1,0.4,0.47,0.3,7
0.41,0.57,0.48,0.5,0.39,0.21,0.32,1
0.74,0.47,0.48,0.5,0.5,0.57,0.42,3
0.64,0.72,0.48,0.5,0.49,0.42,0.19,3
0.5,0.37,0.48,0.5,0.66,0.64,0.69,2
0.61,0.66,0.48,0.5,0.46,0.87,0.88,2
0.57,0.54,0.48,0.5,0.37,0.28,0.33,1
0.44,0.27,0.48,0.5,0.55,0.52,0.58,1
0.6,0.76,1,0.5,0.77,0.59,0.52,5
0.3,0.37,0.48,0.5,0.43,0.18,0.3,1
0.69,0.65,0.48,0.5,0.63,0.48,0.41,3
0.64,0.81,0.48,0.5,0.37,0.39,0.44,3
0.47,0.59,0.48,0.5,0.52,0.76,0.79,2
0.86,0.55,0.48,0.5,0.63,0.81,0.83,4
0.67,0.81,0.48,0.5,0.25,0.42,0.25,3
0.2,0.44,0.48,0.5,0.46,0.51,0.57,1
0.12,0.67,0.48,0.5,0.74,0.58,0.63,2
