@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.38,0.4,0.48,0.5,0.63,0.25,0.35,1
0.44,0.27,0.48,0.5,0.55,0.52,0.58,1
0.33,0.47,0.48,0.5,0.53,0.18,0.29,1
0.4,0.5,0.48,0.5,0.45,0.39,0.47,1
0.3,0.37,0.48,0.5,0.43,0.18,0.3,1
0.64,0.45,0.48,0.5,0.67,0.61,0.66,4
0.47,0.28,0.48,0.5,0.56,0.2,0.25,1
0.74,0.82,0.48,0.5,0.49,0.49,0.41,3
0.77,0.57,1,0.5,0.37,0.54,0.01,6
0.38,0.3,0.48,0.5,0.43,0.29,0.39,1
0.81,0.53,0.48,0.5,0.57,0.87,0.88,4
0.5,0.66,0.48,0.5,0.31,0.92,0.92,2
0.63,0.51,0.48,0.5,0.64,0.72,0.76,4
0.32,0.33,0.48,0.5,0.6,0.06,0.2,1
0.04,0.31,0.48,0.5,0.41,0.29,0.39,1
0.26,0.5,0.48,0.5,0.44,0.32,0.41,1
0.29,0.28,0.48,0.5,0.44,0.23,0.34,1
0.42,0.35,0.48,0.5,0.58,0.15,0.27,1
0.81,0.52,0.48,0.5,0.57,0.78,0.8,4
0.57,0.54,0.48,0.5,0.37,0.28,0.33,1
0.17,0.52,0.48,0.5,0.49,0.37,0.46,1
0.46,0.59,0.48,0.5,0.36,0.76,0.23,2
0.65,0.57,0.48,0.5,0.47,0.47,0.51,3
0.67,0.81,0.48,0.5,0.25,0.42,0.25,3
0.43,0.4,0.48,0.5,0.39,0.28,0.39,1
0.4,0.45,0.48,0.5,0.38,0.22,0,1
0.52,0.39,0.48,0.5,0.65,0.71,0.73,2
0.59,0.56,0.48,0.5,0.55,0.8,0.82,2
0.55,0.47,0.48,0.5,0.57,0.78,0.8,2
0.73,0.78,0.48,0.5,0.58,0.51,0.31,3
0.31,0.47,0.48,0.5,0.29,0.28,0.39,1
0.23,0.32,0.48,0.5,0.55,0.25,0.35,1
0.63,0.65,0.48,0.5,0.39,0.44,0.35,3
0.27,0.35,0.48,0.5,0.51,0.77,0.79,2
0.38,0.44,0.48,0.5,0.43,0.2,0.31,1
0.28,0.33,0.48,0.5,0.45,0.22,0.33,1
0.61,0.66,0.48,0.5,0.46,0.87,0.88,2
0.36,0.47,0.48,0.5,0.51,0.69,0.72,2
0.36,0.54,0.48,0.5,0.41,0.38,0.46,1
0.29,0.28,0.48,0.5,0.5,0.42,0.5,1
