@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.84,0.49,0.48,0.5,0.55,0.78,0.74,4
0.63,0.5,0.48,0.5,0.59,0.85,0.86,2
0.66,0.49,1,0.5,0.54,0.56,0.36,6
0.52,0.81,0.48,0.5,0.72,0.38,0.38,5
0.67,0.88,0.48,0.5,0.73,0.5,0.25,5
0.25,0.37,0.48,0.5,0.43,0.26,0.36,1
0.38,0.46,0.48,0.5,0.48,0.22,0.29,1
0.76,0.73,0.48,0.5,0.44,0.39,0.39,3
0.41,0.48,0.48,0.5,0.51,0.44,0.51,1
0.38,0.3,0.48,0.5,0.43,0.29,0.39,1
0.27,0.42,0.48,0.5,0.37,0.38,0.43,1
0.69,0.66,0.48,0.5,0.41,0.5,0.25,3
0.24,0.43,0.48,0.5,0.54,0.52,0.59,1
0.68,0.63,0.48,0.5,0.73,0.4,0.3,5
0.52,0.54,0.48,0.5,0.62,0.76,0.79,2
0.72,0.86,0.48,0.5,0.17,0.55,0.21,3
0.4,0.46,0.48,0.5,0.42,0.35,0.44,1
0.34,0.42,0.48,0.5,0.41,0.34,0.43,1
0.66,0.48,0.48,0.5,0.54,0.7,0.74,4
0.64,0.46,0.48,0.5,0.48,0.73,0.76,4
0.63,0.49,0.48,0.5,0.54,0.76,0.79,8
0.25,0.4,0.48,0.5,0.46,0.44,0.52,1
0.29,0.41,0.48,0.5,0.48,0.38,0.46,1
0.35,0.37,0.48,0.5,0.3,0.34,0.43,1
0.34,0.33,0.48,0.5,0.38,0.35,0.44,1
0.25,0.26,0.48,0.5,0.39,0.32,0.42,1
0.34,0.28,0.48,0.5,0.41,0.35,0.44,1
0.7,0.46,0.48,0.5,0.56,0.78,0.73,2
0.69,0.43,0.48,0.5,0.59,0.74,0.77,4
0.39,0.31,0.48,0.5,0.38,0.34,0.43,1
0.36,0.41,0.48,0.5,0.48,0.47,0.54,1
0.63,0.51,0.48,0.5,0.64,0.72,0.76,4
