@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.29,0.28,0.48,0.5,0.5,0.42,0.5,1
0.64,0.66,0.48,0.5,0.41,0.39,0.2,3
0.49,0.61,1,0.5,0.56,0.71,0.74,4
0.63,0.75,0.48,0.5,0.64,0.73,0.66,2
0.89,0.55,0.48,0.5,0.51,0.72,0.76,2
0.63,0.8,0.48,0.5,0.46,0.31,0.29,3
0.43,0.32,0.48,0.5,0.33,0.45,0.52,1
0.56,0.68,0.48,0.5,0.77,0.36,0.45,5
0.42,0.38,0.48,0.5,0.54,0.34,0.43,1
0.3,0.37,0.48,0.5,0.43,0.18,0.3,1
0.48,0.41,0.48,0.5,0.51,0.9,0.88,2
0.4,0.5,0.48,0.5,0.45,0.39,0.47,1
0.3,0.16,0.48,0.5,0.56,0.11,0.23,1
0,0.38,0.48,0.5,0.42,0.48,0.55,1
0.34,0.42,0.48,0.5,0.41,0.34,0.43,1
0.44,0.42,0.48,0.5,0.42,0.25,0.2,1
0.3,0.37,0.48,0.5,0.59,0.41,0.49,1
0.63,0.57,0.48,0.5,0.49,0.7,0.2,3
0.75,0.55,1,1,0.4,0.47,0.3,7
0.55,0.47,0.48,0.5,0.57,0.78,0.8,2
0.63,0.49,0.48,0.5,0.54,0.76,0.79,8
0.74,0.9,0.48,0.5,0.57,0.53,0.29,5
0.39,0.31,0.48,0.5,0.38,0.34,0.43,1
0.68,0.76,0.48,0.5,0.84,0.45,0.27,5
0.51,0.37,0.48,0.5,0.35,0.36,0.45,1
0.23,0.4,0.48,0.5,0.39,0.28,0.38,1
0.34,0.49,0.48,0.5,0.58,0.85,0.8,2
0.36,0.56,0.48,0.5,0.43,0.45,0.53,1
0.29,0.3,0.48,0.5,0.45,0.03,0.17,1
0.1,0.49,0.48,0.5,0.41,0.67,0.21,2
0.36,0.41,0.48,0.5,0.48,0.47,0.54,1
0.42,0.4,0.48,0.5,0.56,0.18,0.3,1
