@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.3,0.37,0.48,0.5,0.59,0.41,0.49,1
0.59,0.61,0.48,0.5,0.42,0.42,0.37,3
0.71,0.46,1,0.5,0.52,0.59,0.3,6
0.59,0.56,0.48,0.5,0.55,0.8,0.82,2
0.69,0.43,0.48,0.5,0.59,0.74,0.77,4
0.71,0.86,0.48,0.5,0.4,0.54,0.32,3
0.34,0.33,0.48,0.5,0.38,0.35,0.44,1
0.71,0.71,0.48,0.5,0.68,0.43,0.36,5
0.47,0.29,0.48,0.5,0.51,0.33,0.43,1
0.23,0.4,0.48,0.5,0.39,0.28,0.38,1
0.43,0.4,0.48,0.5,0.58,0.75,0.78,2
0.36,0.56,0.48,0.5,0.43,0.45,0.53,1
0.29,0.3,0.48,0.5,0.45,0.03,0.17,1
0.17,0.39,0.48,0.5,0.53,0.3,0.39,1
0.29,0.41,0.48,0.5,0.48,0.38,0.46,1
0.4,0.41,0.48,0.5,0.55,0.22,0.33,1
0.27,0.3,0.48,0.5,0.71,0.28,0.39,1
0.61,0.47,0.48,0.5,0,0.8,0.32,2
0.75,0.55,1,1,0.4,0.47,0.3,7
0.63,0.54,0.48,0.5,0.65,0.79,0.81,2
0.63,0.49,0.48,0.5,0.54,0.76,0.79,8
0.73,0.78,0.48,0.5,0.58,0.51,0.31,3
0.43,0.32,0.48,0.5,0.33,0.45,0.52,1
0.74,0.78,0.48,0.5,0.75,0.54,0.15,5
0.65,0.47,0.48,0.5,0.59,0.3,0.4,1
0.41,0.57,0.48,0.5,0.39,0.21,0.32,1
0.44,0.35,0.48,0.5,0.55,0.55,0.61,1
0.56,0.51,0.48,0.5,0.34,0.37,0.46,1
0.3,0.16,0.48,0.5,0.56,0.11,0.23,1
0.1,0.49,0.48,0.5,0.41,0.67,0.21,2
0.4,0.46,0.48,0.5,0.42,0.35,0.44,1
0.34,0.55,0.48,0.5,0.58,0.31,0.41,1
