@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.59,0.29,0.48,0.5,0.64,0.75,0.77,4
0.47,0.59,0.48,0.5,0.52,0.76,0.79,2
0.71,0.46,1,0.5,0.52,0.59,0.3,6
0.69,0.65,0.48,0.5,0.63,0.48,0.41,3
0.61,0.6,0.48,0.5,0.44,0.39,0.38,3
0.25,0.4,0.48,0.5,0.47,0.33,0.42,1
0.38,0.3,0.48,0.5,0.43,0.29,0.39,1
0.63,0.71,0.48,0.5,0.6,0.4,0.39,3
0.54,0.47,0.48,0.5,0.28,0.33,0.42,1
0.4,0.46,0.48,0.5,0.42,0.35,0.44,1
0.36,0.39,0.48,0.5,0.48,0.22,0.23,1
0.64,0.78,0.48,0.5,0.5,0.36,0.38,3
0.2,0.44,0.48,0.5,0.46,0.51,0.57,1
0.78,0.68,0.48,0.5,0.83,0.4,0.29,5
0.84,0.49,0.48,0.5,0.55,0.78,0.74,4
0.71,0.86,0.48,0.5,0.4,0.54,0.32,3
0.43,0.39,0.48,0.5,0.47,0.31,0.41,1
0.41,0.43,0.48,0.5,0.45,0.31,0.41,1
0.36,0.42,0.48,0.5,0.53,0.32,0.41,1
0.32,0.39,0.48,0.5,0.53,0.28,0.38,3
0.55,0.47,0.48,0.5,0.57,0.78,0.8,2
0.62,0.42,0.48,0.5,0.58,0.79,0.81,4
0.73,0.26,0.48,0.5,0.57,0.75,0.78,4
0.78,0.33,0.48,0.5,0.57,0.77,0.79,4
0.37,0.52,0.48,0.5,0.42,0.42,0.36,1
0.44,0.49,0.48,0.5,0.39,0.38,0.4,1
0.18,0.3,0.48,0.5,0.46,0.24,0.35,1
0.69,0.39,0.48,0.5,0.57,0.76,0.79,2
0.36,0.54,0.48,0.5,0.41,0.38,0.46,1
0.34,0.42,0.48,0.5,0.41,0.34,0.43,1
0.34,0.33,0.48,0.5,0.38,0.35,0.44,1
0.25,0.26,0.48,0.5,0.39,0.32,0.42,1
0.26,0.26,0.48,0.5,0.34,0.25,0.35,1
0.63,0.54,0.48,0.5,0.65,0.79,0.81,2
0.29,0.28,0.48,0.5,0.44,0.23,0.34,1
0.25,0.37,0.48,0.5,0.43,0.26,0.36,1
0.34,0.46,0.48,0.5,0.52,0.35,0.44,1
0.3,0.37,0.48,0.5,0.43,0.18,0.3,1
0.64,0.57,0.48,0.5,0.7,0.33,0.26,5
0.69,0.59,0.48,0.5,0.77,0.39,0.21,5
