@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.69,0.43,0.48,0.5,0.59,0.74,0.77,4
0.81,0.52,0.48,0.5,0.57,0.78,0.8,4
0.68,0.49,1,0.5,0.62,0.55,0.28,6
0.63,0.71,0.48,0.5,0.6,0.4,0.39,3
0.69,0.8,0.48,0.5,0.46,0.57,0.26,3
0.4,0.35,0.48,0.5,0.45,0.33,0.42,1
0.23,0.34,0.48,0.5,0.43,0.26,0.37,1
0.68,0.78,0.48,0.5,0.43,0.44,0.42,3
0.39,0.32,0.48,0.5,0.46,0.24,0.35,1
0.4,0.46,0.48,0.5,0.52,0.49,0.56,1
0.38,0.44,0.48,0.5,0.43,0.2,0.31,1
0.72,0.86,0.48,0.5,0.17,0.55,0.21,3
0.2,0.44,0.48,0.5,0.46,0.51,0.57,1
0.75,0.76,0.48,0.5,0.83,0.57,0.3,5
0.31,0.5,0.48,0.5,0.57,0.84,0.85,2
0.63,1,0.48,0.5,0.35,0.51,0.49,3
0.36,0.42,0.48,0.5,0.53,0.32,0.41,1
0.32,0.39,0.48,0.5,0.53,0.28,0.38,3
0.33,0.45,0.48,0.5,0.52,0.32,0.41,1
0.72,0.42,0.48,0.5,0.65,0.77,0.79,4
0.79,0.41,0.48,0.5,0.66,0.81,0.83,4
0.3,0.44,0.48,0.5,0.49,0.22,0.33,1
0.38,0.46,0.48,0.5,0.48,0.22,0.29,1
0.51,0.5,0.48,0.5,0.46,0.32,0.35,1
0.44,0.51,0.48,0.5,0.47,0.26,0.36,1
0.51,0.4,0.48,0.5,0.57,0.62,0.67,2
0.5,0.37,0.48,0.5,0.66,0.64,0.69,2
0.25,0.4,0.48,0.5,0.47,0.33,0.42,1
0.4,0.29,0.48,0.5,0.42,0.35,0.44,1
0.44,0.28,0.48,0.5,0.43,0.27,0.37,1
0.34,0.55,0.48,0.5,0.58,0.31,0.41,1
0.24,0.57,0.48,0.5,0.63,0.34,0.43,1
0.47,0.29,0.48,0.5,0.51,0.33,0.43,1
0.42,0.4,0.48,0.5,0.56,0.18,0.3,1
0.4,0.5,0.48,0.5,0.45,0.39,0.47,1
0.44,0.52,0.48,0.5,0.43,0.47,0.54,2
0.39,0.31,0.48,0.5,0.38,0.34,0.43,1
0.35,0.48,0.48,0.5,0.56,0.4,0.48,1
0.52,0.36,0.48,0.5,0.41,0.28,0.38,1
0.42,0.24,0.48,0.5,0.57,0.27,0.37,1
0.43,0.4,0.48,0.5,0.39,0.28,0.39,1
0.4,0.42,0.48,0.5,0.37,0.27,0.27,1
0.25,0.51,0.48,0.5,0.37,0.42,0.5,1
0.36,0.54,0.48,0.5,0.41,0.38,0.46,1
0.34,0.28,0.48,0.5,0.41,0.35,0.44,1
0.29,0.28,0.48,0.5,0.5,0.42,0.5,1
0.49,0.42,0.48,0.5,0.53,0.79,0.81,2
0.34,0.33,0.48,0.5,0.38,0.35,0.44,1
