@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.33,0.45,0.48,0.5,0.52,0.32,0.41,1
0.66,0.86,0.48,0.5,0.34,0.41,0.36,3
0.69,0.65,0.48,0.5,0.63,0.48,0.41,3
0.51,0.4,0.48,0.5,0.57,0.62,0.67,2
0.61,0.47,0.48,0.5,0,0.8,0.32,2
0.63,0.8,0.48,0.5,0.46,0.31,0.29,3
0.44,0.28,0.48,0.5,0.43,0.27,0.37,1
0.6,0.76,1,0.5,0.77,0.59,0.52,5
0.5,0.49,0.48,0.5,0.49,0.46,0.53,1
0.29,0.28,0.48,0.5,0.5,0.42,0.5,1
0.57,0.59,0.48,0.5,0.39,0.47,0.33,3
0.4,0.42,0.48,0.5,0.37,0.27,0.27,1
0.3,0.37,0.48,0.5,0.43,0.18,0.3,1
0.17,0.38,0.48,0.5,0.45,0.42,0.5,1
0.49,0.42,0.48,0.5,0.53,0.79,0.81,2
0.3,0.51,0.48,0.5,0.42,0.61,0.34,2
0.37,0.52,0.48,0.5,0.42,0.42,0.36,1
0.74,0.74,0.48,0.5,0.31,0.53,0.52,3
0.77,0.57,0.48,0.5,0.88,0.53,0.2,5
0.5,0.37,0.48,0.5,0.66,0.64,0.69,2
0.64,0.72,0.48,0.5,0.49,0.42,0.19,3
0.52,0.36,0.48,0.5,0.41,0.28,0.38,1
0.75,0.55,1,1,0.4,0.47,0.3,7
0.65,0.47,0.48,0.5,0.59,0.3,0.4,1
0.44,0.27,0.48,0.5,0.55,0.52,0.58,1
0.36,0.45,0.48,0.5,0.38,0.79,0.17,2
0.51,0.5,0.48,0.5,0.46,0.32,0.35,1
0.26,0.26,0.48,0.5,0.34,0.25,0.35,1
0.24,0.43,0.48,0.5,0.54,0.52,0.59,1
0.33,0.37,0.48,0.5,0.46,0.65,0.69,2
0.12,0.67,0.48,0.5,0.74,0.58,0.63,2
0.36,0.42,0.48,0.5,0.53,0.32,0.41,1
