@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.69,0.43,0.48,0.5,0.59,0.74,0.77,4
0.41,0.51,0.48,0.5,0.53,0.75,0.78,2
0.71,0.46,1,0.5,0.52,0.59,0.3,6
0.71,0.71,0.48,0.5,0.68,0.43,0.36,5
0.63,0.83,0.48,0.5,0.4,0.39,0.19,3
0.49,0.43,0.48,0.5,0.49,0.3,0.4,1
0.4,0.35,0.48,0.5,0.45,0.33,0.42,1
0.68,0.78,0.48,0.5,0.43,0.44,0.42,3
0.25,0.51,0.48,0.5,0.37,0.42,0.5,1
0.17,0.52,0.48,0.5,0.49,0.37,0.46,1
0.34,0.45,0.48,0.5,0.38,0.24,0.35,1
0.5,0.49,0.48,0.5,0.49,0.46,0.53,1
0.32,0.39,0.48,0.5,0.53,0.28,0.38,3
0.68,0.76,0.48,0.5,0.84,0.45,0.27,5
0.1,0.49,0.48,0.5,0.41,0.67,0.21,2
0.74,0.56,0.48,0.5,0.47,0.68,0.3,3
0.38,0.3,0.48,0.5,0.43,0.29,0.39,1
0.39,0.32,0.48,0.5,0.46,0.24,0.35,1
0.37,0.5,0.48,0.5,0.42,0.36,0.45,1
0.44,0.49,0.48,0.5,0.39,0.38,0.4,1
0.25,0.4,0.48,0.5,0.46,0.44,0.52,1
0.29,0.39,0.48,0.5,0.52,0.4,0.48,3
0.29,0.41,0.48,0.5,0.48,0.38,0.46,1
0.37,0.52,0.48,0.5,0.42,0.42,0.36,1
0.3,0.37,0.48,0.5,0.43,0.18,0.3,1
0.3,0.44,0.48,0.5,0.49,0.22,0.33,1
0.23,0.33,0.48,0.5,0.43,0.33,0.43,1
0.23,0.4,0.48,0.5,0.39,0.28,0.38,1
0.26,0.26,0.48,0.5,0.34,0.25,0.35,1
0.29,0.28,0.48,0.5,0.44,0.23,0.34,1
0.17,0.39,0.48,0.5,0.53,0.3,0.39,1
0.52,0.54,0.48,0.5,0.62,0.76,0.79,2
0.63,0.51,0.48,0.5,0.64,0.72,0.76,4
0.51,0.46,0.48,0.5,0.58,0.31,0.41,1
0.42,0.38,0.48,0.5,0.54,0.34,0.43,1
0.29,0.28,0.48,0.5,0.5,0.42,0.5,1
0.18,0.3,0.48,0.5,0.46,0.24,0.35,1
0.29,0.52,0.48,0.5,0.42,0.29,0.39,1
0.26,0.4,0.48,0.5,0.36,0.26,0.37,1
0.38,0.4,0.48,0.5,0.63,0.25,0.35,1
0.67,0.61,0.48,0.5,0.51,0.37,0.38,3
0.67,0.7,0.48,0.5,0.46,0.45,0.33,3
0.64,0.72,0.48,0.5,0.49,0.42,0.19,3
0.66,0.86,0.48,0.5,0.34,0.41,0.36,3
0.67,0.81,0.48,0.5,0.25,0.42,0.25,3
0.52,0.36,0.48,0.5,0.41,0.28,0.38,1
0.68,0.63,0.48,0.5,0.73,0.4,0.3,5
0.78,0.68,0.48,0.5,0.83,0.4,0.29,5
0.56,0.4,0.48,0.5,0.49,0.37,0.46,1
0.4,0.29,0.48,0.5,0.42,0.35,0.44,1
0.64,0.66,0.48,0.5,0.41,0.39,0.2,3
0.4,0.42,0.48,0.5,0.37,0.27,0.27,1
0.74,0.49,0.48,0.5,0.42,0.54,0.36,3
0.85,0.53,0.48,0.5,0.53,0.52,0.35,8
0.5,0.37,0.48,0.5,0.66,0.64,0.69,2
0.64,0.45,0.48,0.5,0.67,0.61,0.66,4
0.63,0.5,0.48,0.5,0.59,0.85,0.86,2
0.76,0.73,0.48,0.5,0.44,0.39,0.39,3
0.63,0.71,0.48,0.5,0.6,0.4,0.39,3
0.59,0.49,0.48,0.5,0.52,0.45,0.36,1
0.5,0.57,0.48,0.5,0.71,0.61,0.66,2
0.47,0.59,0.48,0.5,0.52,0.76,0.79,2
0.59,0.29,0.48,0.5,0.64,0.75,0.77,4
0.6,0.61,0.48,0.5,0.54,0.67,0.71,2
0.65,0.47,0.48,0.5,0.59,0.3,0.4,1
0.68,0.51,0.48,0.5,0.71,0.75,0.78,2
0.44,0.56,0.48,0.5,0.5,0.46,0.54,1
0.41,0.51,0.48,0.5,0.58,0.2,0.31,1
0.75,0.84,0.48,0.5,0.35,0.52,0.33,3
0.24,0.57,0.48,0.5,0.63,0.34,0.43,1
0.44,0.27,0.48,0.5,0.55,0.52,0.58,1
0.64,0.57,0.48,0.5,0.7,0.33,0.26,5
0.07,0.4,0.48,0.5,0.54,0.35,0.44,1
0.47,0.47,0.48,0.5,0.22,0.16,0.26,1
0.53,0.42,0.48,0.5,0.16,0.29,0.39,1
0.3,0.51,0.48,0.5,0.42,0.61,0.34,2
0.43,0.59,0.48,0.5,0.52,0.49,0.56,3
0.62,0.78,0.48,0.5,0.47,0.49,0.54,3
0.27,0.3,0.48,0.5,0.71,0.28,0.39,1
0.23,0.58,0.48,0.5,0.37,0.53,0.59,1
