@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.7,0.46,0.48,0.5,0.56,0.78,0.73,2
0.68,0.49,1,0.5,0.62,0.55,0.28,6
0.75,0.55,1,1,0.4,0.47,0.3,7
0.69,0.59,0.48,0.5,0.77,0.39,0.21,5
0.61,0.75,0.48,0.5,0.51,0.33,0.33,5
0.04,0.31,0.48,0.5,0.41,0.29,0.39,1
0.44,0.34,0.48,0.5,0.3,0.33,0.43,1
0.71,0.86,0.48,0.5,0.4,0.54,0.32,3
0.48,0.42,0.48,0.5,0.45,0.25,0.35,1
0.41,0.48,0.48,0.5,0.51,0.44,0.51,1
0.47,0.28,0.48,0.5,0.56,0.2,0.25,1
0.65,0.57,0.48,0.5,0.47,0.47,0.51,3
0.25,0.37,0.48,0.5,0.43,0.26,0.36,1
0.74,0.78,0.48,0.5,0.75,0.54,0.15,5
0.31,0.5,0.48,0.5,0.57,0.84,0.85,2
0.66,0.71,0.48,0.5,0.41,0.5,0.35,3
0.51,0.54,0.48,0.5,0.41,0.34,0.43,1
0.51,0.5,0.48,0.5,0.46,0.32,0.35,1
0.56,0.54,0.48,0.5,0.43,0.37,0.3,3
0.37,0.44,0.48,0.5,0.42,0.39,0.47,1
0.36,0.39,0.48,0.5,0.48,0.22,0.23,1
0.35,0.34,0.48,0.5,0.46,0.3,0.27,1
0.64,0.81,0.48,0.5,0.37,0.39,0.44,3
0.62,0.83,0.48,0.5,0.46,0.36,0.4,3
0.69,0.8,0.48,0.5,0.46,0.57,0.26,3
0.67,0.81,0.48,0.5,0.54,0.49,0.23,3
0.3,0.45,0.48,0.5,0.36,0.21,0.32,1
0.38,0.44,0.48,0.5,0.43,0.2,0.31,1
0.39,0.31,0.48,0.5,0.38,0.34,0.43,1
0.44,0.28,0.48,0.5,0.43,0.27,0.37,1
0.41,0.43,0.48,0.5,0.45,0.31,0.41,1
0.33,0.45,0.48,0.5,0.52,0.32,0.41,1
0.42,0.35,0.48,0.5,0.58,0.15,0.27,1
0.4,0.41,0.48,0.5,0.55,0.22,0.33,1
0.25,0.48,0.48,0.5,0.44,0.17,0.29,1
0.27,0.42,0.48,0.5,0.37,0.38,0.43,1
0.61,0.6,0.48,0.5,0.44,0.39,0.38,3
0.35,0.37,0.48,0.5,0.3,0.34,0.43,1
0.52,0.44,0.48,0.5,0.37,0.36,0.42,1
0.47,0.55,0.48,0.5,0.58,0.71,0.75,2
