@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.28,0.33,0.48,0.5,0.45,0.22,0.33,1
0.72,0.86,0.48,0.5,0.17,0.55,0.21,3
0.69,0.66,0.48,0.5,0.41,0.5,0.25,3
0.63,0.42,0.48,0.5,0.48,0.77,0.8,4
0.33,0.56,0.48,0.5,0.33,0.78,0.8,2
0.67,0.81,0.48,0.5,0.54,0.49,0.23,3
0.35,0.34,0.48,0.5,0.46,0.3,0.27,1
0.73,0.84,0.48,0.5,0.86,0.58,0.29,5
0.23,0.34,0.48,0.5,0.43,0.26,0.37,1
0.64,0.81,0.48,0.5,0.37,0.39,0.44,3
0.73,0.36,0.48,0.5,0.53,0.91,0.92,2
0.12,0.67,0.48,0.5,0.74,0.58,0.63,2
0.68,0.67,0.48,0.5,0.49,0.4,0.34,3
0.43,0.37,0.48,0.5,0.53,0.35,0.44,1
0.77,0.57,0.48,0.5,0.88,0.53,0.2,5
0.44,0.42,0.48,0.5,0.42,0.25,0.2,1
0.22,0.43,0.48,0.5,0.48,0.16,0.28,1
0.74,0.74,0.48,0.5,0.31,0.53,0.52,3
0.84,0.54,0.48,0.5,0.75,0.92,0.7,4
0.48,0.45,0.48,0.5,0.6,0.78,0.8,2
0.62,0.83,0.48,0.5,0.46,0.36,0.4,3
0.35,0.37,0.48,0.5,0.3,0.34,0.43,1
0.63,0.49,0.48,0.5,0.79,0.45,0.28,5
0.4,0.41,0.48,0.5,0.55,0.22,0.33,1
0.24,0.43,0.48,0.5,0.37,0.28,0.38,1
0.71,0.71,0.48,0.5,0.4,0.54,0.39,3
0.7,0.71,0.48,0.5,0.42,0.84,0.85,3
0.12,0.43,0.48,0.5,0.63,0.7,0.74,2
0.52,0.81,0.48,0.5,0.72,0.38,0.38,5
0.49,0.29,0.48,0.5,0.56,0.24,0.35,1
0.53,0.38,0.48,0.5,0.44,0.26,0.36,1
0.31,0.23,0.48,0.5,0.73,0.05,0.14,1
0.25,0.26,0.48,0.5,0.39,0.32,0.42,1
0.66,0.74,0.48,0.5,0.31,0.38,0.43,3
0.71,0.52,0.48,0.5,0.64,1,0.99,2
0.49,0.42,0.48,0.5,0.53,0.79,0.81,2
0.63,0.8,0.48,0.5,0.46,0.31,0.29,3
0.43,0.39,0.48,0.5,0.47,0.31,0.41,1
0.36,0.39,0.48,0.5,0.48,0.22,0.23,1
0.77,0.57,1,0.5,0.37,0.54,0.01,6
