@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.41,0.51,0.48,0.5,0.53,0.75,0.78,2
0.81,0.52,0.48,0.5,0.57,0.78,0.8,4
0.71,0.46,1,0.5,0.52,0.59,0.3,6
0.69,0.59,0.48,0.5,0.77,0.39,0.21,5
0.7,0.61,0.48,0.5,0.56,0.52,0.43,3
0.34,0.51,0.48,0.5,0.44,0.37,0.46,1
0.38,0.3,0.48,0.5,0.43,0.29,0.39,1
0.67,0.7,0.48,0.5,0.46,0.45,0.33,3
0.36,0.41,0.48,0.5,0.48,0.47,0.54,1
0.38,0.44,0.48,0.5,0.43,0.2,0.31,1
0.38,0.26,0.48,0.5,0.54,0.16,0.28,1
0.72,0.86,0.48,0.5,0.17,0.55,0.21,3
0.52,0.44,0.48,0.5,0.37,0.36,0.42,1
0.71,0.71,0.48,0.5,0.68,0.43,0.36,5
0.78,0.33,0.48,0.5,0.57,0.77,0.79,4
0.71,0.86,0.48,0.5,0.4,0.54,0.32,3
0.4,0.46,0.48,0.5,0.42,0.35,0.44,1
0.37,0.44,0.48,0.5,0.42,0.39,0.47,1
0.4,0.46,0.48,0.5,0.52,0.49,0.56,1
0.41,0.48,0.48,0.5,0.51,0.44,0.51,1
0.34,0.42,0.48,0.5,0.41,0.34,0.43,1
0.3,0.44,0.48,0.5,0.49,0.22,0.33,1
0.24,0.41,0.48,0.5,0.49,0.23,0.34,1
0.4,0.5,0.48,0.5,0.45,0.39,0.47,1
0.29,0.39,0.48,0.5,0.52,0.4,0.48,3
0.3,0.45,0.48,0.5,0.36,0.21,0.32,1
0.32,0.42,0.48,0.5,0.35,0.28,0.38,1
0.33,0.45,0.48,0.5,0.52,0.32,0.41,1
0.32,0.39,0.48,0.5,0.53,0.28,0.38,3
0.44,0.49,0.48,0.5,0.39,0.38,0.4,1
0.37,0.52,0.48,0.5,0.42,0.42,0.36,1
0.43,0.4,0.48,0.5,0.39,0.28,0.39,1
0.43,0.39,0.48,0.5,0.47,0.31,0.41,1
0.29,0.47,0.48,0.5,0.41,0.23,0.34,1
0.24,0.43,0.48,0.5,0.37,0.28,0.38,1
0.4,0.42,0.48,0.5,0.37,0.27,0.27,1
0.4,0.41,0.48,0.5,0.55,0.22,0.33,1
0.36,0.39,0.48,0.5,0.48,0.22,0.23,1
0.35,0.34,0.48,0.5,0.46,0.3,0.27,1
0.28,0.38,0.48,0.5,0.5,0.33,0.42,1
0.86,0.55,0.48,0.5,0.63,0.81,0.83,4
0.83,0.48,0.48,0.5,0.65,0.76,0.79,4
0.36,0.54,0.48,0.5,0.41,0.38,0.46,1
0.42,0.35,0.48,0.5,0.58,0.15,0.27,1
0.63,0.51,0.48,0.5,0.64,0.72,0.76,4
0.63,0.49,0.48,0.5,0.54,0.76,0.79,8
0.61,0.52,0.48,0.5,0.54,0.67,0.52,2
0.63,0.69,0.48,0.5,0.65,0.41,0.28,5
