@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.29,0.47,0.48,0.5,0.41,0.23,0.34,1
0.69,0.59,0.48,0.5,0.46,0.44,0.52,3
0.7,0.53,0.48,0.5,0.7,0.86,0.87,4
0.23,0.48,0.48,0.5,0.59,0.88,0.89,2
0.3,0.51,0.48,0.5,0.42,0.61,0.34,2
0.76,0.71,0.48,0.5,0.5,0.71,0.75,4
0.47,0.47,0.48,0.5,0.22,0.16,0.26,1
0.68,0.63,0.48,0.5,0.73,0.4,0.3,5
0.39,0.31,0.48,0.5,0.38,0.34,0.43,1
0.44,0.42,0.48,0.5,0.42,0.25,0.2,1
0.76,0.73,0.48,0.5,0.44,0.39,0.39,3
0.43,0.59,0.48,0.5,0.52,0.49,0.56,3
0.29,0.39,0.48,0.5,0.52,0.4,0.48,3
0.61,0.36,0.48,0.5,0.49,0.35,0.44,1
0.42,0.35,0.48,0.5,0.58,0.15,0.27,1
0.4,0.5,0.48,0.5,0.45,0.39,0.47,1
0.3,0.45,0.48,0.5,0.36,0.21,0.32,1
0.77,0.57,1,0.5,0.37,0.54,0.01,6
0.63,0.51,0.48,0.5,0.64,0.72,0.76,4
0.12,0.43,0.48,0.5,0.63,0.7,0.74,2
0.1,0.49,0.48,0.5,0.41,0.67,0.21,2
0.58,0.6,0.48,0.5,0.59,0.73,0.76,4
0.5,0.51,0.48,0.5,0.27,0.23,0.34,1
0.63,0.71,0.48,0.5,0.6,0.4,0.39,3
0.04,0.31,0.48,0.5,0.41,0.29,0.39,1
0.42,0.3,0.48,0.5,0.48,0.26,0.36,1
0.64,0.81,0.48,0.5,0.37,0.39,0.44,3
0.24,0.57,0.48,0.5,0.63,0.34,0.43,1
0.28,0.38,0.48,0.5,0.5,0.33,0.42,1
0.67,0.39,0.48,0.5,0.36,0.38,0.46,1
0.4,0.41,0.48,0.5,0.55,0.22,0.33,1
0.56,0.51,0.48,0.5,0.34,0.37,0.46,1
