@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.29,0.47,0.48,0.5,0.71,0.65,0.69,2
0.41,0.48,0.48,0.5,0.51,0.44,0.51,1
0.71,0.4,0.48,0.5,0.71,0.7,0.74,2
0.29,0.47,0.48,0.5,0.41,0.23,0.34,1
0.7,0.71,0.48,0.5,0.42,0.84,0.85,3
0.44,0.27,0.48,0.5,0.55,0.52,0.58,1
0.23,0.48,0.48,0.5,0.59,0.88,0.89,2
0.79,0.36,0.48,0.5,0.46,0.82,0.7,4
0.68,0.82,0.48,0.5,0.38,0.65,0.56,3
0.5,0.51,0.48,0.5,0.27,0.23,0.34,1
0.89,0.55,0.48,0.5,0.51,0.72,0.76,2
0.71,0.57,0.48,0.5,0.48,0.35,0.32,3
0.79,0.54,0.48,0.5,0.5,0.66,0.68,4
0.6,0.61,0.48,0.5,0.54,0.67,0.71,2
0.49,0.61,1,0.5,0.56,0.71,0.74,4
0.63,0.47,0.48,0.5,0.51,0.82,0.84,2
0.64,0.81,0.48,0.5,0.37,0.39,0.44,3
0.48,0.41,0.48,0.5,0.51,0.9,0.88,2
0.24,0.41,0.48,0.5,0.49,0.23,0.34,1
0.84,0.44,0.48,0.5,0.48,0.71,0.74,2
0.48,0.45,0.48,0.5,0.6,0.78,0.8,2
0.74,0.47,0.48,0.5,0.5,0.57,0.42,3
0.48,0.49,0.48,0.5,0.52,0.77,0.71,2
0.66,0.53,0.48,0.5,0.59,0.66,0.66,2
0.69,0.59,0.48,0.5,0.46,0.44,0.52,3
0.24,0.43,0.48,0.5,0.37,0.28,0.38,1
0.25,0.51,0.48,0.5,0.37,0.42,0.5,1
0.32,0.42,0.48,0.5,0.35,0.28,0.38,1
0.43,0.4,0.48,0.5,0.39,0.28,0.39,1
0.12,0.43,0.48,0.5,0.63,0.7,0.74,2
0.29,0.37,0.48,0.5,0.48,0.44,0.52,1
0.43,0.59,0.48,0.5,0.52,0.49,0.56,3
0.71,0.52,0.48,0.5,0.64,1,0.99,2
0.64,0.66,0.48,0.5,0.41,0.39,0.2,3
0.3,0.45,0.48,0.5,0.36,0.21,0.32,1
0.36,0.54,0.48,0.5,0.41,0.38,0.46,1
0.27,0.3,0.48,0.5,0.71,0.28,0.39,1
0.78,0.44,0.48,0.5,0.45,0.73,0.68,4
0.36,0.47,0.48,0.5,0.51,0.69,0.72,2
0.74,0.44,0.48,0.5,0.55,0.88,0.89,2
0.29,0.39,0.48,0.5,0.52,0.4,0.48,3
0.43,0.39,0.48,0.5,0.47,0.31,0.41,1
0.63,0.57,0.48,0.5,0.49,0.7,0.2,3
0.44,0.28,0.48,0.5,0.43,0.27,0.37,1
0.64,0.57,0.48,0.5,0.7,0.33,0.26,5
0.42,0.35,0.48,0.5,0.58,0.15,0.27,1
0.45,0.4,0.48,0.5,0.61,0.74,0.77,2
0.86,0.55,0.48,0.5,0.63,0.81,0.83,4
