@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.69,0.39,0.48,0.5,0.57,0.76,0.79,2
0.59,0.56,0.48,0.5,0.55,0.8,0.82,2
0.75,0.55,1,1,0.4,0.47,0.3,7
0.68,0.76,0.48,0.5,0.84,0.45,0.27,5
0.59,0.61,0.48,0.5,0.42,0.42,0.37,3
0.38,0.46,0.48,0.5,0.48,0.22,0.29,1
0.32,0.33,0.48,0.5,0.6,0.06,0.2,1
0.64,0.84,0.48,0.5,0.37,0.45,0.4,3
0.51,0.37,0.48,0.5,0.35,0.36,0.45,1
0.42,0.38,0.48,0.5,0.54,0.34,0.43,1
0.2,0.44,0.48,0.5,0.46,0.51,0.57,1
0.63,1,0.48,0.5,0.35,0.51,0.49,3
0.25,0.37,0.48,0.5,0.41,0.33,0.42,1
0.67,0.55,1,0.5,0.66,0.58,0.16,6
0.34,0.49,0.48,0.5,0.58,0.85,0.8,2
0.67,0.81,0.48,0.5,0.54,0.49,0.23,3
0.52,0.36,0.48,0.5,0.41,0.28,0.38,1
0.53,0.38,0.48,0.5,0.44,0.26,0.36,1
0.4,0.35,0.48,0.5,0.45,0.33,0.42,1
0.4,0.29,0.48,0.5,0.42,0.35,0.44,1
0.34,0.46,0.48,0.5,0.52,0.35,0.44,1
0.35,0.48,0.48,0.5,0.56,0.4,0.48,1
0.48,0.42,0.48,0.5,0.45,0.25,0.35,1
0.49,0.43,0.48,0.5,0.49,0.3,0.4,1
0.34,0.33,0.48,0.5,0.38,0.35,0.44,1
0.72,0.46,0.48,0.5,0.51,0.66,0.7,2
0.66,0.48,0.48,0.5,0.54,0.7,0.74,4
0.41,0.43,0.48,0.5,0.45,0.31,0.41,1
0.29,0.41,0.48,0.5,0.48,0.38,0.46,1
0.26,0.4,0.48,0.5,0.36,0.26,0.37,1
0.34,0.45,0.48,0.5,0.38,0.24,0.35,1
0.56,0.54,0.48,0.5,0.43,0.37,0.3,3
