@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.69,0.43,0.48,0.5,0.59,0.74,0.77,4
0,0.51,0.48,0.5,0.35,0.67,0.44,2
0.75,0.55,1,1,0.4,0.47,0.3,7
0.68,0.63,0.48,0.5,0.73,0.4,0.3,5
0.7,0.61,0.48,0.5,0.56,0.52,0.43,3
0.42,0.4,0.48,0.5,0.56,0.18,0.3,1
0.52,0.36,0.48,0.5,0.41,0.28,0.38,1
0.64,0.84,0.48,0.5,0.37,0.45,0.4,3
0.29,0.52,0.48,0.5,0.42,0.29,0.39,1
0.36,0.56,0.48,0.5,0.43,0.45,0.53,1
0.22,0.34,0.48,0.5,0.42,0.29,0.39,1
0.71,0.46,1,0.5,0.52,0.59,0.3,6
0.4,0.42,0.48,0.5,0.37,0.27,0.27,1
0.67,0.88,0.48,0.5,0.73,0.5,0.25,5
0.48,0.45,0.48,0.5,0.6,0.78,0.8,2
0.63,0.57,0.48,0.5,0.49,0.7,0.2,3
0.34,0.51,0.48,0.5,0.44,0.37,0.46,1
0.37,0.5,0.48,0.5,0.42,0.36,0.45,1
0.4,0.5,0.48,0.5,0.45,0.39,0.47,1
0.3,0.44,0.48,0.5,0.49,0.22,0.33,1
0.24,0.41,0.48,0.5,0.49,0.23,0.34,1
0.17,0.52,0.48,0.5,0.49,0.37,0.46,1
0.21,0.51,0.48,0.5,0.5,0.32,0.41,1
0.17,0.38,0.48,0.5,0.45,0.42,0.5,1
0.25,0.4,0.48,0.5,0.46,0.44,0.52,1
0.27,0.42,0.48,0.5,0.37,0.38,0.43,1
0.34,0.42,0.48,0.5,0.41,0.34,0.43,1
0.29,0.41,0.48,0.5,0.48,0.38,0.46,1
0.4,0.41,0.48,0.5,0.55,0.22,0.33,1
0.41,0.43,0.48,0.5,0.5,0.24,0.25,1
0.36,0.42,0.48,0.5,0.53,0.32,0.41,1
0.28,0.38,0.48,0.5,0.5,0.33,0.42,1
