@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.43,0.59,0.48,0.5,0.52,0.49,0.56,3
0.24,0.43,0.48,0.5,0.37,0.28,0.38,1
0.47,0.47,0.48,0.5,0.22,0.16,0.26,1
0.51,0.37,0.48,0.5,0.35,0.36,0.45,1
0.7,0.53,0.48,0.5,0.7,0.86,0.87,4
0.61,0.47,0.48,0.5,0,0.8,0.32,2
0.38,0.4,0.48,0.5,0.63,0.25,0.35,1
0.2,0.46,0.48,0.5,0.57,0.78,0.81,2
0.17,0.38,0.48,0.5,0.45,0.42,0.5,1
0.51,0.4,0.48,0.5,0.57,0.62,0.67,2
0.59,0.49,0.48,0.5,0.52,0.45,0.36,1
0.52,0.39,0.48,0.5,0.65,0.71,0.73,2
0.36,0.41,0.48,0.5,0.48,0.47,0.54,1
0.63,0.49,0.48,0.5,0.79,0.45,0.28,5
0.63,1,0.48,0.5,0.35,0.51,0.49,3
0.69,0.8,0.48,0.5,0.46,0.57,0.26,3
0.52,0.54,0.48,0.5,0.62,0.76,0.79,2
0.07,0.4,0.48,0.5,0.54,0.35,0.44,1
0.41,0.57,0.48,0.5,0.39,0.21,0.32,1
0.29,0.3,0.48,0.5,0.45,0.03,0.17,1
0.59,0.56,0.48,0.5,0.55,0.8,0.82,2
0.3,0.44,0.48,0.5,0.49,0.22,0.33,1
0.4,0.46,0.48,0.5,0.52,0.49,0.56,1
0.57,0.54,0.48,0.5,0.37,0.28,0.33,1
0.74,0.56,0.48,0.5,0.47,0.68,0.3,3
0.73,0.84,0.48,0.5,0.86,0.58,0.29,5
0.34,0.42,0.48,0.5,0.41,0.34,0.43,1
0.23,0.58,0.48,0.5,0.37,0.53,0.59,1
0.25,0.37,0.48,0.5,0.43,0.26,0.36,1
0.47,0.59,0.48,0.5,0.52,0.76,0.79,2
0.37,0.5,0.48,0.5,0.42,0.36,0.45,1
0.29,0.41,0.48,0.5,0.48,0.38,0.46,1
0.6,0.46,0.48,0.5,0.45,0.81,0.83,2
0.4,0.29,0.48,0.5,0.42,0.35,0.44,1
0.47,0.28,0.48,0.5,0.56,0.2,0.25,1
0.61,0.52,0.48,0.5,0.54,0.67,0.52,2
0.78,0.68,0.48,0.5,0.83,0.4,0.29,5
0.4,0.41,0.48,0.5,0.55,0.22,0.33,1
0.41,0.43,0.48,0.5,0.5,0.24,0.25,1
0.35,0.37,0.48,0.5,0.3,0.34,0.43,1
0.85,0.53,0.48,0.5,0.53,0.52,0.35,8
0.86,0.39,0.48,0.5,0.59,0.89,0.9,4
0.53,0.38,0.48,0.5,0.44,0.26,0.36,1
0.69,0.39,0.48,0.5,0.57,0.76,0.79,2
0.21,0.34,0.48,0.5,0.51,0.28,0.39,1
0.65,0.51,0.48,0.5,0.66,0.54,0.33,5
0.44,0.56,0.48,0.5,0.5,0.46,0.54,1
0.33,0.45,0.48,0.5,0.45,0.88,0.89,2
0.72,0.86,0.48,0.5,0.17,0.55,0.21,3
0.34,0.51,0.48,0.5,0.44,0.37,0.46,1
0.62,0.83,0.48,0.5,0.46,0.36,0.4,3
0.67,0.37,0.48,0.5,0.54,0.64,0.68,4
0.21,0.51,0.48,0.5,0.5,0.32,0.41,1
0.71,0.86,0.48,0.5,0.4,0.54,0.32,3
0.43,0.39,0.48,0.5,0.47,0.31,0.41,1
0.5,0.66,0.48,0.5,0.31,0.92,0.92,2
0.4,0.45,0.48,0.5,0.38,0.22,0,1
0.64,0.46,0.48,0.5,0.48,0.73,0.76,4
0.34,0.67,0.48,0.5,0.52,0.76,0.79,2
0.35,0.51,0.48,0.5,0.61,0.71,0.74,2
0.25,0.4,0.48,0.5,0.46,0.44,0.52,1
0.31,0.36,0.48,0.5,0.58,0.94,0.94,2
0.51,0.49,0.48,0.5,0.53,0.14,0.26,1
0.28,0.38,0.48,0.5,0.5,0.33,0.42,1
