@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.16,0.51,0.48,0.5,0.33,0.39,0.48,2
0.61,0.52,0.48,0.5,0.54,0.67,0.52,2
0.63,0.86,0.48,0.5,0.39,0.47,0.34,3
0.63,0.49,0.48,0.5,0.54,0.76,0.79,8
0.47,0.59,0.48,0.5,0.52,0.76,0.79,2
0.77,0.57,1,0.5,0.37,0.54,0.01,6
0.17,0.39,0.48,0.5,0.53,0.3,0.39,1
0.68,0.76,0.48,0.5,0.84,0.45,0.27,5
0.1,0.49,0.48,0.5,0.41,0.67,0.21,2
0.64,0.45,0.48,0.5,0.67,0.61,0.66,4
0.72,0.86,0.48,0.5,0.17,0.55,0.21,3
0.79,0.54,0.48,0.5,0.5,0.66,0.68,4
0.58,0.6,0.48,0.5,0.59,0.73,0.76,4
0.27,0.3,0.48,0.5,0.71,0.28,0.39,1
0.77,0.57,0.48,0.5,0.88,0.53,0.2,5
0.53,0.42,0.48,0.5,0.16,0.29,0.39,1
0.04,0.31,0.48,0.5,0.41,0.29,0.39,1
0.74,0.56,0.48,0.5,0.47,0.68,0.3,3
0.63,1,0.48,0.5,0.35,0.51,0.49,3
0.7,0.39,1,0.5,0.51,0.82,0.84,7
0.61,0.66,0.48,0.5,0.46,0.87,0.88,2
0.07,0.4,0.48,0.5,0.54,0.35,0.44,1
0.64,0.57,0.48,0.5,0.7,0.33,0.26,5
0.43,0.32,0.48,0.5,0.33,0.45,0.52,1
0.23,0.58,0.48,0.5,0.37,0.53,0.59,1
0.7,0.61,0.48,0.5,0.56,0.52,0.43,3
0.74,0.74,0.48,0.5,0.31,0.53,0.52,3
0.72,0.46,0.48,0.5,0.51,0.66,0.7,2
0.31,0.36,0.48,0.5,0.58,0.94,0.94,2
0.24,0.57,0.48,0.5,0.63,0.34,0.43,1
0.52,0.81,0.48,0.5,0.72,0.38,0.38,5
0.67,0.39,0.48,0.5,0.36,0.38,0.46,1
0.27,0.42,0.48,0.5,0.37,0.38,0.43,1
0.66,0.74,0.48,0.5,0.31,0.38,0.43,3
0.64,0.58,0.48,0.5,0.48,0.78,0.73,2
0.2,0.46,0.48,0.5,0.57,0.78,0.81,2
0.3,0.37,0.48,0.5,0.59,0.41,0.49,1
0.67,0.88,0.48,0.5,0.73,0.5,0.25,5
0.46,0.59,0.48,0.5,0.36,0.76,0.23,2
0.63,0.71,0.48,0.5,0.6,0.4,0.39,3
0.17,0.38,0.48,0.5,0.45,0.42,0.5,1
0.71,0.86,0.48,0.5,0.4,0.54,0.32,3
0.81,0.53,0.48,0.5,0.57,0.87,0.88,4
0.27,0.35,0.48,0.5,0.51,0.77,0.79,2
0.26,0.5,0.48,0.5,0.44,0.32,0.41,1
0.69,0.59,0.48,0.5,0.46,0.44,0.52,3
0.73,0.78,0.48,0.5,0.58,0.51,0.31,3
0.29,0.3,0.48,0.5,0.45,0.03,0.17,1
0.25,0.51,0.48,0.5,0.37,0.42,0.5,1
0.71,0.4,0.48,0.5,0.71,0.7,0.74,2
0.52,0.39,0.48,0.5,0.65,0.71,0.73,2
0.17,0.52,0.48,0.5,0.49,0.37,0.46,1
0.74,0.49,0.48,0.5,0.42,0.54,0.36,3
0.63,0.8,0.48,0.5,0.46,0.31,0.29,3
0.42,0.35,0.48,0.5,0.58,0.15,0.27,1
0.24,0.43,0.48,0.5,0.54,0.52,0.59,1
0.74,0.44,0.48,0.5,0.55,0.88,0.89,2
0.37,0.47,0.48,0.5,0.39,0.76,0.79,2
0.24,0.41,0.48,0.5,0.49,0.23,0.34,1
0.59,0.49,0.48,0.5,0.52,0.45,0.36,1
0.62,0.83,0.48,0.5,0.46,0.36,0.4,3
0.3,0.16,0.48,0.5,0.56,0.11,0.23,1
0.06,0.61,0.48,0.5,0.49,0.92,0.37,2
0.24,0.35,0.48,0.5,0.31,0.19,0.31,1
