@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.42,0.24,0.48,0.5,0.57,0.27,0.37,1
0.7,0.61,0.48,0.5,0.56,0.52,0.43,3
0.6,0.61,0.48,0.5,0.54,0.67,0.71,2
0.83,0.48,0.48,0.5,0.65,0.76,0.79,4
0.33,0.37,0.48,0.5,0.46,0.65,0.69,2
0.63,0.71,0.48,0.5,0.6,0.4,0.39,3
0.51,0.49,0.48,0.5,0.53,0.14,0.26,1
0.78,0.68,0.48,0.5,0.83,0.4,0.29,5
0.44,0.28,0.48,0.5,0.43,0.27,0.37,1
0.85,0.53,0.48,0.5,0.53,0.52,0.35,8
0.66,0.71,0.48,0.5,0.41,0.5,0.35,3
0.73,0.36,0.48,0.5,0.53,0.91,0.92,2
0.34,0.49,0.48,0.5,0.58,0.85,0.8,2
0.62,0.83,0.48,0.5,0.46,0.36,0.4,3
0.63,0.49,0.48,0.5,0.79,0.45,0.28,5
0.41,0.43,0.48,0.5,0.5,0.24,0.25,1
0.49,0.29,0.48,0.5,0.56,0.24,0.35,1
0.74,0.7,0.48,0.5,0.66,0.65,0.69,2
0.76,0.71,0.48,0.5,0.5,0.71,0.75,4
0.88,0.42,0.48,0.5,0.52,0.73,0.75,4
0.34,0.51,0.48,0.5,0.67,0.9,0.9,2
0.74,0.9,0.48,0.5,0.57,0.53,0.29,5
0.77,0.57,0.48,0.5,0.88,0.53,0.2,5
0.38,0.4,0.48,0.5,0.63,0.25,0.35,1
0.63,0.57,0.48,0.5,0.49,0.7,0.2,3
0.66,0.74,0.48,0.5,0.31,0.38,0.43,3
0.63,0.54,0.48,0.5,0.65,0.79,0.81,2
0.29,0.47,0.48,0.5,0.71,0.65,0.69,2
0.63,0.69,0.48,0.5,0.65,0.41,0.28,5
0.32,0.39,0.48,0.5,0.53,0.28,0.38,3
0.41,0.43,0.48,0.5,0.45,0.31,0.41,1
0.46,0.59,0.48,0.5,0.36,0.76,0.23,2
0.61,0.52,0.48,0.5,0.54,0.67,0.52,2
0.7,0.64,0.48,0.5,0.47,0.51,0.47,3
0.71,0.52,0.48,0.5,0.64,1,0.99,2
0.51,0.4,0.48,0.5,0.57,0.62,0.67,2
0.63,0.8,0.48,0.5,0.46,0.31,0.29,3
0.42,0.4,0.48,0.5,0.56,0.18,0.3,1
0.34,0.28,0.48,0.5,0.41,0.35,0.44,1
0.65,0.55,0.48,0.5,0.34,0.37,0.28,1
0.74,0.49,0.48,0.5,0.42,0.54,0.36,3
0.68,0.82,0.48,0.5,0.38,0.65,0.56,3
0.78,0.44,0.48,0.5,0.45,0.73,0.68,4
0.31,0.44,0.48,0.5,0.5,0.79,0.82,2
0.67,0.88,0.48,0.5,0.73,0.5,0.25,5
0.39,0.31,0.48,0.5,0.38,0.34,0.43,1
0.61,0.6,0.48,0.5,0.44,0.39,0.38,3
0.34,0.51,0.48,0.5,0.44,0.37,0.46,1
