@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.4,0.35,0.48,0.5,0.45,0.33,0.42,1
0.44,0.28,0.48,0.5,0.43,0.27,0.37,1
0.26,0.5,0.48,0.5,0.44,0.32,0.41,1
0.4,0.45,0.48,0.5,0.38,0.22,0,1
0.25,0.4,0.48,0.5,0.46,0.44,0.52,1
0.4,0.46,0.48,0.5,0.42,0.35,0.44,1
0.51,0.49,0.48,0.5,0.53,0.14,0.26,1
0.34,0.55,0.48,0.5,0.58,0.31,0.41,1
0.31,0.44,0.48,0.5,0.5,0.79,0.82,2
0.23,0.33,0.48,0.5,0.43,0.33,0.43,1
0.74,0.9,0.48,0.5,0.57,0.53,0.29,5
0.64,0.58,0.48,0.5,0.48,0.78,0.73,2
0.5,0.49,0.48,0.5,0.49,0.46,0.53,1
0.63,0.49,0.48,0.5,0.79,0.45,0.28,5
0.34,0.51,0.48,0.5,0.67,0.9,0.9,2
0.59,0.29,0.48,0.5,0.64,0.75,0.77,4
0.26,0.26,0.48,0.5,0.34,0.25,0.35,1
0.79,0.36,0.48,0.5,0.46,0.82,0.7,4
0.36,0.41,0.48,0.5,0.48,0.47,0.54,1
0.46,0.59,0.48,0.5,0.36,0.76,0.23,2
0.74,0.7,0.48,0.5,0.66,0.65,0.69,2
0.62,0.83,0.48,0.5,0.46,0.36,0.4,3
0.6,0.61,0.48,0.5,0.54,0.67,0.71,2
0.83,0.48,0.48,0.5,0.65,0.76,0.79,4
0.42,0.4,0.48,0.5,0.56,0.18,0.3,1
0.51,0.4,0.48,0.5,0.57,0.62,0.67,2
0.17,0.52,0.48,0.5,0.49,0.37,0.46,1
0.6,0.76,1,0.5,0.77,0.59,0.52,5
0.7,0.61,0.48,0.5,0.56,0.52,0.43,3
0.79,0.54,0.48,0.5,0.5,0.66,0.68,4
0.64,0.66,0.48,0.5,0.41,0.39,0.2,3
0.71,0.57,0.48,0.5,0.48,0.35,0.32,3
0.68,0.51,0.48,0.5,0.71,0.75,0.78,2
0.68,0.82,0.48,0.5,0.38,0.65,0.56,3
0.4,0.42,0.48,0.5,0.37,0.27,0.27,1
0.57,0.38,0.48,0.5,0.06,0.49,0.33,4
0.16,0.43,0.48,0.5,0.54,0.27,0.37,1
0.29,0.3,0.48,0.5,0.45,0.03,0.17,1
0.34,0.28,0.48,0.5,0.41,0.35,0.44,1
0.88,0.42,0.48,0.5,0.52,0.73,0.75,4
