@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.43,0.4,0.48,0.5,0.58,0.75,0.78,2
0.3,0.51,0.48,0.5,0.42,0.61,0.34,2
0.75,0.55,1,1,0.4,0.47,0.3,7
0.68,0.49,1,0.5,0.62,0.55,0.28,6
0.64,0.76,0.48,0.5,0.45,0.35,0.38,1
0.3,0.16,0.48,0.5,0.56,0.11,0.23,1
0.34,0.46,0.48,0.5,0.52,0.35,0.44,1
0.7,0.64,0.48,0.5,0.47,0.51,0.47,3
0.24,0.34,0.48,0.5,0.38,0.3,0.4,1
0.43,0.59,0.48,0.5,0.52,0.49,0.56,3
0.42,0.3,0.48,0.5,0.48,0.26,0.36,1
0.74,0.49,0.48,0.5,0.42,0.54,0.36,3
0.56,0.54,0.48,0.5,0.43,0.37,0.3,3
0.63,0.69,0.48,0.5,0.65,0.41,0.28,5
0.81,0.52,0.48,0.5,0.57,0.78,0.8,4
0.53,0.42,0.48,0.5,0.16,0.29,0.39,1
0.39,0.31,0.48,0.5,0.38,0.34,0.43,1
0.34,0.33,0.48,0.5,0.38,0.35,0.44,1
0.34,0.28,0.48,0.5,0.41,0.35,0.44,1
0.34,0.42,0.48,0.5,0.41,0.34,0.43,1
0.27,0.42,0.48,0.5,0.37,0.38,0.43,1
0.43,0.39,0.48,0.5,0.47,0.31,0.41,1
0.43,0.4,0.48,0.5,0.39,0.28,0.39,1
0.54,0.47,0.48,0.5,0.28,0.33,0.42,1
0.56,0.51,0.48,0.5,0.34,0.37,0.46,1
0.49,0.43,0.48,0.5,0.49,0.3,0.4,1
0.51,0.5,0.48,0.5,0.46,0.32,0.35,1
0.34,0.51,0.48,0.5,0.44,0.37,0.46,1
0.36,0.56,0.48,0.5,0.43,0.45,0.53,1
0.35,0.37,0.48,0.5,0.3,0.34,0.43,1
0.28,0.38,0.48,0.5,0.5,0.33,0.42,1
0.44,0.49,0.48,0.5,0.39,0.38,0.4,1
0.47,0.29,0.48,0.5,0.51,0.33,0.43,1
0.42,0.38,0.48,0.5,0.54,0.34,0.43,1
0.52,0.36,0.48,0.5,0.41,0.28,0.38,1
0.41,0.51,0.48,0.5,0.58,0.2,0.31,1
0.38,0.46,0.48,0.5,0.48,0.22,0.29,1
0.37,0.5,0.48,0.5,0.42,0.36,0.45,1
0.25,0.51,0.48,0.5,0.37,0.42,0.5,1
0.61,0.45,0.48,0.5,0.48,0.35,0.41,1
0.29,0.37,0.48,0.5,0.48,0.44,0.52,1
0.3,0.37,0.48,0.5,0.59,0.41,0.49,1
0.63,0.5,0.48,0.5,0.59,0.85,0.86,2
0.54,0.57,0.48,0.5,0.56,0.81,0.83,2
0.63,0.54,0.48,0.5,0.65,0.79,0.81,2
0.43,0.32,0.48,0.5,0.33,0.45,0.52,1
0.58,0.34,0.48,0.5,0.56,0.87,0.81,2
0.7,0.4,0.48,0.5,0.56,0.86,0.83,2
