@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.43,0.4,0.48,0.5,0.39,0.28,0.39,1
0.67,0.81,0.48,0.5,0.25,0.42,0.25,3
0.71,0.52,0.48,0.5,0.64,1,0.99,2
0.27,0.35,0.48,0.5,0.51,0.77,0.79,2
0.1,0.49,0.48,0.5,0.41,0.67,0.21,2
0.66,0.49,1,0.5,0.54,0.56,0.36,6
0.57,0.38,0.48,0.5,0.06,0.49,0.33,4
0.7,0.61,0.48,0.5,0.56,0.52,0.43,3
0.25,0.51,0.48,0.5,0.37,0.42,0.5,1
0.23,0.34,0.48,0.5,0.43,0.26,0.37,1
0.67,0.84,0.48,0.5,0.74,0.54,0.37,5
0.24,0.35,0.48,0.5,0.31,0.19,0.31,1
0.3,0.37,0.48,0.5,0.59,0.41,0.49,1
0.42,0.35,0.48,0.5,0.58,0.15,0.27,1
0.5,0.49,0.48,0.5,0.49,0.46,0.53,1
0.56,0.51,0.48,0.5,0.34,0.37,0.46,1
0.49,0.43,0.48,0.5,0.49,0.3,0.4,1
0.64,0.66,0.48,0.5,0.41,0.39,0.2,3
0.88,0.42,0.48,0.5,0.52,0.73,0.75,4
0.52,0.39,0.48,0.5,0.65,0.71,0.73,2
0.43,0.32,0.48,0.5,0.33,0.45,0.52,1
0.85,0.53,0.48,0.5,0.53,0.52,0.35,8
0.35,0.37,0.48,0.5,0.3,0.34,0.43,1
0.28,0.38,0.48,0.5,0.5,0.33,0.42,1
0.62,0.83,0.48,0.5,0.46,0.36,0.4,3
0.29,0.3,0.48,0.5,0.45,0.03,0.17,1
0.29,0.37,0.48,0.5,0.48,0.44,0.52,1
0.34,0.55,0.48,0.5,0.58,0.31,0.41,1
0.44,0.56,0.48,0.5,0.5,0.46,0.54,1
0.61,0.45,0.48,0.5,0.48,0.35,0.41,1
0.39,0.31,0.48,0.5,0.38,0.34,0.43,1
0.64,0.84,0.48,0.5,0.37,0.45,0.4,3
