@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.75,0.76,0.48,0.5,0.83,0.57,0.3,5
0.24,0.43,0.48,0.5,0.37,0.28,0.38,1
0.65,0.51,0.48,0.5,0.66,0.54,0.33,5
0.21,0.51,0.48,0.5,0.5,0.32,0.41,1
0.41,0.57,0.48,0.5,0.39,0.21,0.32,1
0.5,0.57,0.48,0.5,0.71,0.61,0.66,2
0.51,0.46,0.48,0.5,0.58,0.31,0.41,1
0.34,0.42,0.48,0.5,0.41,0.34,0.43,1
0.6,0.46,0.48,0.5,0.45,0.81,0.83,2
0.3,0.37,0.48,0.5,0.59,0.41,0.49,1
0.64,0.46,0.48,0.5,0.48,0.73,0.76,4
0.63,0.86,0.48,0.5,0.39,0.47,0.34,3
0.66,0.86,0.48,0.5,0.34,0.41,0.36,3
0.23,0.58,0.48,0.5,0.37,0.53,0.59,1
0.81,0.44,0.48,0.5,0.42,0.67,0.68,4
0.4,0.46,0.48,0.5,0.52,0.49,0.56,1
0.62,0.83,0.48,0.5,0.46,0.36,0.4,3
0.59,0.29,0.48,0.5,0.64,0.75,0.77,4
0.27,0.42,0.48,0.5,0.37,0.38,0.43,1
0.36,0.56,0.48,0.5,0.43,0.45,0.53,1
0.86,0.55,0.48,0.5,0.63,0.81,0.83,4
0.89,0.55,0.48,0.5,0.51,0.72,0.76,2
0.35,0.34,0.48,0.5,0.46,0.3,0.27,1
0.48,0.41,0.48,0.5,0.51,0.9,0.88,2
0.56,0.51,0.48,0.5,0.34,0.37,0.46,1
0.68,0.63,0.48,0.5,0.73,0.4,0.3,5
0.61,0.45,0.48,0.5,0.48,0.35,0.41,1
0.57,0.59,0.48,0.5,0.39,0.47,0.33,3
0.39,0.31,0.48,0.5,0.38,0.34,0.43,1
0.2,0.46,0.48,0.5,0.57,0.78,0.81,2
0.64,0.72,0.48,0.5,0.49,0.42,0.19,3
0.42,0.35,0.48,0.5,0.58,0.15,0.27,1
