@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.23,0.32,0.48,0.5,0.55,0.25,0.35,1
0.48,0.42,0.48,0.5,0.45,0.25,0.35,1
0.58,0.55,0.48,0.5,0.57,0.7,0.74,2
0.73,0.78,0.48,0.5,0.58,0.51,0.31,3
0.33,0.45,0.48,0.5,0.52,0.32,0.41,1
0.24,0.34,0.48,0.5,0.38,0.3,0.4,1
0.41,0.48,0.48,0.5,0.51,0.44,0.51,1
0.74,0.74,0.48,0.5,0.31,0.53,0.52,3
0.84,0.49,0.48,0.5,0.55,0.78,0.74,4
0.53,0.38,0.48,0.5,0.44,0.26,0.36,1
0.24,0.43,0.48,0.5,0.54,0.52,0.59,1
0.29,0.41,0.48,0.5,0.48,0.38,0.46,1
0.54,0.49,0.48,0.5,0.4,0.87,0.88,2
0.22,0.43,0.48,0.5,0.48,0.16,0.28,1
0.5,0.51,0.48,0.5,0.27,0.23,0.34,1
0.61,0.36,0.48,0.5,0.49,0.35,0.44,1
0.23,0.34,0.48,0.5,0.43,0.26,0.37,1
0.35,0.34,0.48,0.5,0.46,0.3,0.27,1
0.56,0.51,0.48,0.5,0.34,0.37,0.46,1
0.48,0.41,0.48,0.5,0.51,0.9,0.88,2
0.29,0.3,0.48,0.5,0.45,0.03,0.17,1
0.35,0.37,0.48,0.5,0.3,0.34,0.43,1
0.42,0.38,0.48,0.5,0.54,0.34,0.43,1
0.71,0.86,0.48,0.5,0.4,0.54,0.32,3
0.76,0.41,0.48,0.5,0.5,0.59,0.62,4
0.38,0.4,0.48,0.5,0.63,0.25,0.35,1
0.4,0.29,0.48,0.5,0.42,0.35,0.44,1
0.32,0.39,0.48,0.5,0.53,0.28,0.38,3
0.36,0.41,0.48,0.5,0.48,0.47,0.54,1
0.59,0.56,0.48,0.5,0.55,0.8,0.82,2
0.23,0.48,0.48,0.5,0.59,0.88,0.89,2
0.83,0.37,0.48,0.5,0.61,0.71,0.74,2
0.64,0.58,0.48,0.5,0.48,0.78,0.73,2
0.38,0.44,0.48,0.5,0.43,0.2,0.31,1
0.52,0.81,0.48,0.5,0.72,0.38,0.38,5
0.63,0.8,0.48,0.5,0.46,0.31,0.29,3
0.25,0.4,0.48,0.5,0.46,0.44,0.52,1
0.54,0.57,0.48,0.5,0.56,0.81,0.83,2
0.7,0.39,1,0.5,0.51,0.82,0.84,7
0.74,0.7,0.48,0.5,0.66,0.65,0.69,2
0.34,0.45,0.48,0.5,0.38,0.24,0.35,1
0.29,0.37,0.48,0.5,0.48,0.44,0.52,1
0.42,0.24,0.48,0.5,0.57,0.27,0.37,1
0.31,0.5,0.48,0.5,0.57,0.84,0.85,2
0.3,0.37,0.48,0.5,0.59,0.41,0.49,1
0.63,0.83,0.48,0.5,0.4,0.39,0.19,3
0.34,0.33,0.48,0.5,0.38,0.35,0.44,1
0.29,0.28,0.48,0.5,0.44,0.23,0.34,1
0.63,0.65,0.48,0.5,0.66,0.67,0.71,2
0.41,0.57,0.48,0.5,0.39,0.21,0.32,1
0.33,0.45,0.48,0.5,0.45,0.88,0.89,2
0.42,0.4,0.48,0.5,0.56,0.18,0.3,1
0.39,0.41,0.48,0.5,0.52,0.72,0.75,2
0.79,0.41,0.48,0.5,0.66,0.81,0.83,4
0.79,0.54,0.48,0.5,0.5,0.66,0.68,4
0.63,0.51,0.48,0.5,0.64,0.72,0.76,4
