@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.81,0.52,0.48,0.5,0.57,0.78,0.8,4
0.47,0.46,0.48,0.5,0.62,0.74,0.77,4
0.75,0.55,1,1,0.4,0.47,0.3,7
0.68,0.76,0.48,0.5,0.84,0.45,0.27,5
0.36,0.41,0.48,0.5,0.48,0.47,0.54,1
0.22,0.34,0.48,0.5,0.42,0.29,0.39,1
0.23,0.58,0.48,0.5,0.37,0.53,0.59,1
0.6,0.5,1,0.5,0.54,0.77,0.8,2
0.4,0.46,0.48,0.5,0.42,0.35,0.44,1
0.48,0.42,0.48,0.5,0.45,0.25,0.35,1
0.38,0.26,0.48,0.5,0.54,0.16,0.28,1
0.67,0.61,0.48,0.5,0.51,0.37,0.38,3
0.4,0.29,0.48,0.5,0.42,0.35,0.44,1
0.67,0.55,1,0.5,0.66,0.58,0.16,6
0.61,0.47,0.48,0.5,0,0.8,0.32,2
0.66,0.71,0.48,0.5,0.41,0.5,0.35,3
0.28,0.38,0.48,0.5,0.5,0.33,0.42,1
0.29,0.41,0.48,0.5,0.48,0.38,0.46,1
0.36,0.42,0.48,0.5,0.53,0.32,0.41,1
0.29,0.39,0.48,0.5,0.52,0.4,0.48,3
0.51,0.5,0.48,0.5,0.46,0.32,0.35,1
0.56,0.54,0.48,0.5,0.43,0.37,0.3,3
0.3,0.37,0.48,0.5,0.43,0.18,0.3,1
0.38,0.44,0.48,0.5,0.43,0.2,0.31,1
0.34,0.51,0.48,0.5,0.44,0.37,0.46,1
0.26,0.5,0.48,0.5,0.44,0.32,0.41,1
0.41,0.48,0.48,0.5,0.51,0.44,0.51,1
0.4,0.5,0.48,0.5,0.45,0.39,0.47,1
0.28,0.33,0.48,0.5,0.45,0.22,0.33,1
0.39,0.32,0.48,0.5,0.46,0.24,0.35,1
0.42,0.38,0.48,0.5,0.54,0.34,0.43,1
0.47,0.29,0.48,0.5,0.51,0.33,0.43,1
