@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.69,0.43,0.48,0.5,0.59,0.74,0.77,4
0.63,0.5,0.48,0.5,0.59,0.85,0.86,2
0.71,0.46,1,0.5,0.52,0.59,0.3,6
0.67,0.81,0.48,0.5,0.54,0.49,0.23,3
0.63,0.65,0.48,0.5,0.39,0.44,0.35,3
0.42,0.3,0.48,0.5,0.48,0.26,0.36,1
0.3,0.45,0.48,0.5,0.36,0.21,0.32,1
0.75,0.84,0.48,0.5,0.35,0.52,0.33,3
0.11,0.5,0.48,0.5,0.58,0.72,0.68,2
0.56,0.51,0.48,0.5,0.34,0.37,0.46,1
0.25,0.37,0.48,0.5,0.41,0.33,0.42,1
0.74,0.49,0.48,0.5,0.42,0.54,0.36,3
0.34,0.46,0.48,0.5,0.52,0.35,0.44,1
0.69,0.59,0.48,0.5,0.77,0.39,0.21,5
0.43,0.4,0.48,0.5,0.58,0.75,0.78,2
0.68,0.82,0.48,0.5,0.38,0.65,0.56,3
0.24,0.43,0.48,0.5,0.37,0.28,0.38,1
0.23,0.4,0.48,0.5,0.39,0.28,0.38,1
0.26,0.4,0.48,0.5,0.36,0.26,0.37,1
0.21,0.34,0.48,0.5,0.51,0.28,0.39,1
0.23,0.32,0.48,0.5,0.55,0.25,0.35,1
0.38,0.3,0.48,0.5,0.43,0.29,0.39,1
0.39,0.31,0.48,0.5,0.38,0.34,0.43,1
0.34,0.28,0.48,0.5,0.41,0.35,0.44,1
0.64,0.84,0.48,0.5,0.37,0.45,0.4,3
0.68,0.78,0.48,0.5,0.43,0.44,0.42,3
0.23,0.34,0.48,0.5,0.43,0.26,0.37,1
0.74,0.82,0.48,0.5,0.49,0.49,0.41,3
0.64,0.78,0.48,0.5,0.5,0.36,0.38,3
0.59,0.56,0.48,0.5,0.55,0.8,0.82,2
0.58,0.55,0.48,0.5,0.57,0.7,0.74,2
0.44,0.28,0.48,0.5,0.43,0.27,0.37,1
0.3,0.44,0.48,0.5,0.49,0.22,0.33,1
0.33,0.45,0.48,0.5,0.52,0.32,0.41,1
0.49,0.43,0.48,0.5,0.49,0.3,0.4,1
0.43,0.37,0.48,0.5,0.53,0.35,0.44,1
0.34,0.33,0.48,0.5,0.38,0.35,0.44,1
0.34,0.42,0.48,0.5,0.41,0.34,0.43,1
0.35,0.37,0.48,0.5,0.3,0.34,0.43,1
0.64,0.72,0.48,0.5,0.49,0.42,0.19,3
