@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.53,0.42,0.48,0.5,0.16,0.29,0.39,1
0.7,0.39,1,0.5,0.51,0.82,0.84,7
0.64,0.78,0.48,0.5,0.5,0.36,0.38,3
0.29,0.47,0.48,0.5,0.71,0.65,0.69,2
0.48,0.45,0.48,0.5,0.6,0.78,0.8,2
0.68,0.78,0.48,0.5,0.43,0.44,0.42,3
0.41,0.57,0.48,0.5,0.39,0.21,0.32,1
0.71,0.71,0.48,0.5,0.68,0.43,0.36,5
0.57,0.38,0.48,0.5,0.06,0.49,0.33,4
0.68,0.49,1,0.5,0.62,0.55,0.28,6
0.67,0.88,0.48,0.5,0.73,0.5,0.25,5
0.12,0.67,0.48,0.5,0.74,0.58,0.63,2
0.45,0.4,0.48,0.5,0.61,0.74,0.77,2
0.74,0.82,0.48,0.5,0.49,0.49,0.41,3
0.47,0.47,0.48,0.5,0.22,0.16,0.26,1
0.74,0.7,0.48,0.5,0.66,0.65,0.69,2
0.54,0.47,0.48,0.5,0.28,0.33,0.42,1
0.68,0.67,0.48,0.5,0.49,0.4,0.34,3
0.06,0.61,0.48,0.5,0.49,0.92,0.37,2
0.66,0.86,0.48,0.5,0.34,0.41,0.36,3
0.77,0.57,0.48,0.5,0.88,0.53,0.2,5
0.33,0.37,0.48,0.5,0.46,0.65,0.69,2
0.32,0.33,0.48,0.5,0.6,0.06,0.2,1
0.59,0.61,0.48,0.5,0.42,0.42,0.37,3
0.67,0.7,0.48,0.5,0.46,0.45,0.33,3
0.31,0.5,0.48,0.5,0.57,0.84,0.85,2
0.56,0.68,0.48,0.5,0.77,0.36,0.45,5
0.44,0.27,0.48,0.5,0.55,0.52,0.58,1
0.38,0.3,0.48,0.5,0.43,0.29,0.39,1
0.65,0.57,0.48,0.5,0.47,0.47,0.51,3
0.4,0.45,0.48,0.5,0.38,0.22,0,1
0.67,0.39,0.48,0.5,0.36,0.38,0.46,1
0.36,0.47,0.48,0.5,0.51,0.69,0.72,2
0.3,0.37,0.48,0.5,0.59,0.41,0.49,1
0.44,0.28,0.48,0.5,0.43,0.27,0.37,1
0.46,0.59,0.48,0.5,0.36,0.76,0.23,2
0.33,0.45,0.48,0.5,0.52,0.32,0.41,1
0.43,0.37,0.48,0.5,0.53,0.35,0.44,1
0.23,0.32,0.48,0.5,0.55,0.25,0.35,1
0.74,0.47,0.48,0.5,0.5,0.57,0.42,3
0.34,0.49,0.48,0.5,0.58,0.85,0.8,2
0.42,0.24,0.48,0.5,0.57,0.27,0.37,1
0.37,0.5,0.48,0.5,0.42,0.36,0.45,1
0.44,0.42,0.48,0.5,0.42,0.25,0.2,1
0.39,0.31,0.48,0.5,0.38,0.34,0.43,1
0.85,0.53,0.48,0.5,0.53,0.52,0.35,8
0.1,0.49,0.48,0.5,0.41,0.67,0.21,2
0.35,0.34,0.48,0.5,0.46,0.3,0.27,1
