@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.53,0.42,0.48,0.5,0.16,0.29,0.39,1
0.62,0.42,0.48,0.5,0.58,0.79,0.81,4
0.66,0.74,0.48,0.5,0.31,0.38,0.43,3
0.66,0.86,0.48,0.5,0.34,0.41,0.36,3
0.38,0.3,0.48,0.5,0.43,0.29,0.39,1
0.06,0.61,0.48,0.5,0.49,0.92,0.37,2
0.75,0.37,0.48,0.5,0.64,0.7,0.74,4
0.23,0.34,0.48,0.5,0.43,0.26,0.37,1
0.34,0.49,0.48,0.5,0.58,0.85,0.8,2
0.32,0.33,0.48,0.5,0.6,0.06,0.2,1
0.36,0.54,0.48,0.5,0.41,0.38,0.46,1
0.1,0.49,0.48,0.5,0.41,0.67,0.21,2
0.29,0.47,0.48,0.5,0.41,0.23,0.34,1
0.33,0.45,0.48,0.5,0.52,0.32,0.41,1
0.12,0.67,0.48,0.5,0.74,0.58,0.63,2
0.23,0.4,0.48,0.5,0.39,0.28,0.38,1
0.71,0.4,0.48,0.5,0.71,0.7,0.74,2
0.58,0.55,0.48,0.5,0.57,0.7,0.74,2
0.44,0.27,0.48,0.5,0.55,0.52,0.58,1
0.71,0.71,0.48,0.5,0.68,0.43,0.36,5
0.79,0.36,0.48,0.5,0.46,0.82,0.7,4
0.31,0.5,0.48,0.5,0.57,0.84,0.85,2
0.7,0.4,0.48,0.5,0.56,0.86,0.83,2
0.47,0.28,0.48,0.5,0.56,0.2,0.25,1
0.68,0.67,0.48,0.5,0.49,0.4,0.34,3
0.68,0.51,0.48,0.5,0.71,0.75,0.78,2
0.83,0.37,0.48,0.5,0.61,0.71,0.74,2
0.29,0.37,0.48,0.5,0.48,0.44,0.52,1
0.34,0.45,0.48,0.5,0.38,0.24,0.35,1
0.43,0.37,0.48,0.5,0.53,0.35,0.44,1
0.68,0.78,0.48,0.5,0.43,0.44,0.42,3
0.77,0.57,0.48,0.5,0.88,0.53,0.2,5
