@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.22,0.43,0.48,0.5,0.48,0.16,0.28,1
0.75,0.55,1,1,0.4,0.47,0.3,7
0.64,0.76,0.48,0.5,0.45,0.35,0.38,1
0.71,0.4,0.48,0.5,0.71,0.7,0.74,2
0.74,0.7,0.48,0.5,0.66,0.65,0.69,2
0.73,0.78,0.48,0.5,0.58,0.51,0.31,3
0.46,0.59,0.48,0.5,0.36,0.76,0.23,2
0.63,0.49,0.48,0.5,0.79,0.45,0.28,5
0.37,0.44,0.48,0.5,0.42,0.39,0.47,1
0.4,0.5,0.48,0.5,0.45,0.39,0.47,1
0.63,0.83,0.48,0.5,0.4,0.39,0.19,3
0.53,0.42,0.48,0.5,0.16,0.29,0.39,1
0.38,0.26,0.48,0.5,0.54,0.16,0.28,1
0.34,0.42,0.48,0.5,0.41,0.34,0.43,1
0.44,0.28,0.48,0.5,0.43,0.27,0.37,1
0.67,0.61,0.48,0.5,0.51,0.37,0.38,3
0.34,0.45,0.48,0.5,0.38,0.24,0.35,1
0.62,0.78,0.48,0.5,0.47,0.49,0.54,3
0.64,0.46,0.48,0.5,0.48,0.73,0.76,4
0.5,0.37,0.48,0.5,0.66,0.64,0.69,2
0.63,0.69,0.48,0.5,0.65,0.41,0.28,5
0.52,0.57,0.48,0.5,0.42,0.47,0.54,1
0.67,0.55,1,0.5,0.66,0.58,0.16,6
0.17,0.38,0.48,0.5,0.45,0.42,0.5,1
0.34,0.55,0.48,0.5,0.58,0.31,0.41,1
0.62,0.83,0.48,0.5,0.46,0.36,0.4,3
0.57,0.38,0.48,0.5,0.06,0.49,0.33,4
0.42,0.4,0.48,0.5,0.56,0.18,0.3,1
0.18,0.3,0.48,0.5,0.46,0.24,0.35,1
0.43,0.39,0.48,0.5,0.47,0.31,0.41,1
0.65,0.47,0.48,0.5,0.59,0.3,0.4,1
0.25,0.48,0.48,0.5,0.44,0.17,0.29,1
