@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.38,0.44,0.48,0.5,0.43,0.2,0.31,1
0.75,0.55,1,1,0.4,0.47,0.3,7
0.76,0.73,0.48,0.5,0.44,0.39,0.39,3
0.55,0.47,0.48,0.5,0.57,0.78,0.8,2
0.58,0.55,0.48,0.5,0.57,0.7,0.74,2
0.63,0.69,0.48,0.5,0.65,0.41,0.28,5
0.44,0.52,0.48,0.5,0.43,0.47,0.54,2
0.63,0.49,0.48,0.5,0.79,0.45,0.28,5
0.25,0.4,0.48,0.5,0.46,0.44,0.52,1
0.26,0.5,0.48,0.5,0.44,0.32,0.41,1
0.66,0.86,0.48,0.5,0.34,0.41,0.36,3
0.53,0.42,0.48,0.5,0.16,0.29,0.39,1
0.42,0.4,0.48,0.5,0.56,0.18,0.3,1
0.24,0.43,0.48,0.5,0.37,0.28,0.38,1
0.43,0.39,0.48,0.5,0.47,0.31,0.41,1
0.61,0.45,0.48,0.5,0.48,0.35,0.41,1
0.41,0.57,0.48,0.5,0.39,0.21,0.32,1
0.63,0.71,0.48,0.5,0.6,0.4,0.39,3
0.5,0.66,0.48,0.5,0.31,0.92,0.92,2
0.76,0.41,0.48,0.5,0.5,0.59,0.62,4
0.56,0.68,0.48,0.5,0.77,0.36,0.45,5
0.3,0.51,0.48,0.5,0.42,0.61,0.34,2
0.67,0.55,1,0.5,0.66,0.58,0.16,6
0.33,0.37,0.48,0.5,0.46,0.65,0.69,2
0.4,0.5,0.48,0.5,0.45,0.39,0.47,1
0.69,0.8,0.48,0.5,0.46,0.57,0.26,3
0.67,0.39,0.48,0.5,0.36,0.38,0.46,1
0.38,0.26,0.48,0.5,0.54,0.16,0.28,1
0.24,0.35,0.48,0.5,0.31,0.19,0.31,1
0.29,0.28,0.48,0.5,0.44,0.23,0.34,1
0.67,0.61,0.48,0.5,0.51,0.37,0.38,3
0.22,0.43,0.48,0.5,0.48,0.16,0.28,1
