@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.69,0.43,0.48,0.5,0.59,0.74,0.77,4
0.52,0.54,0.48,0.5,0.62,0.76,0.79,2
0.71,0.46,1,0.5,0.52,0.59,0.3,6
0.67,0.88,0.48,0.5,0.73,0.5,0.25,5
0.59,0.61,0.48,0.5,0.42,0.42,0.37,3
0.25,0.37,0.48,0.5,0.43,0.26,0.36,1
0.48,0.42,0.48,0.5,0.45,0.25,0.35,1
0.71,0.86,0.48,0.5,0.4,0.54,0.32,3
0.3,0.16,0.48,0.5,0.56,0.11,0.23,1
0.41,0.48,0.48,0.5,0.51,0.44,0.51,1
0.07,0.4,0.48,0.5,0.54,0.35,0.44,1
0.63,0.57,0.48,0.5,0.49,0.7,0.2,3
0.25,0.37,0.48,0.5,0.41,0.33,0.42,1
0.68,0.63,0.48,0.5,0.73,0.4,0.3,5
0.31,0.44,0.48,0.5,0.5,0.79,0.82,2
0.67,0.7,0.48,0.5,0.46,0.45,0.33,3
0.36,0.42,0.48,0.5,0.53,0.32,0.41,1
0.32,0.39,0.48,0.5,0.53,0.28,0.38,3
0.24,0.34,0.48,0.5,0.38,0.3,0.4,1
0.23,0.34,0.48,0.5,0.43,0.26,0.37,1
0.36,0.39,0.48,0.5,0.48,0.22,0.23,1
0.41,0.43,0.48,0.5,0.5,0.24,0.25,1
0.42,0.38,0.48,0.5,0.54,0.34,0.43,1
0.28,0.38,0.48,0.5,0.5,0.33,0.42,1
0.38,0.46,0.48,0.5,0.48,0.22,0.29,1
0.33,0.47,0.48,0.5,0.53,0.18,0.29,1
0.33,0.45,0.48,0.5,0.52,0.32,0.41,1
0.23,0.33,0.48,0.5,0.43,0.33,0.43,1
0.29,0.47,0.48,0.5,0.41,0.23,0.34,1
0.29,0.52,0.48,0.5,0.42,0.29,0.39,1
0.54,0.47,0.48,0.5,0.28,0.33,0.42,1
0.56,0.51,0.48,0.5,0.34,0.37,0.46,1
0.59,0.56,0.48,0.5,0.55,0.8,0.82,2
0.63,0.49,0.48,0.5,0.54,0.76,0.79,8
0.41,0.51,0.48,0.5,0.58,0.2,0.31,1
0.16,0.43,0.48,0.5,0.54,0.27,0.37,1
0.24,0.41,0.48,0.5,0.49,0.23,0.34,1
0.44,0.42,0.48,0.5,0.42,0.25,0.2,1
0.45,0.4,0.48,0.5,0.61,0.74,0.77,2
0.39,0.41,0.48,0.5,0.52,0.72,0.75,2
0.35,0.48,0.48,0.5,0.56,0.4,0.48,1
0.17,0.39,0.48,0.5,0.53,0.3,0.39,1
0.23,0.32,0.48,0.5,0.55,0.25,0.35,1
0.26,0.26,0.48,0.5,0.34,0.25,0.35,1
0.3,0.45,0.48,0.5,0.36,0.21,0.32,1
0.31,0.47,0.48,0.5,0.29,0.28,0.39,1
0.7,0.53,0.48,0.5,0.7,0.86,0.87,4
0.21,0.51,0.48,0.5,0.5,0.32,0.41,1
