@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.29,0.28,0.48,0.5,0.5,0.42,0.5,1
0.61,0.47,0.48,0.5,0,0.8,0.32,2
0.61,0.75,0.48,0.5,0.51,0.33,0.33,5
0.67,0.37,0.48,0.5,0.54,0.64,0.68,4
0.73,0.36,0.48,0.5,0.53,0.91,0.92,2
0.7,0.61,0.48,0.5,0.56,0.52,0.43,3
0.77,0.57,1,0.5,0.37,0.54,0.01,6
0.67,0.84,0.48,0.5,0.74,0.54,0.37,5
0.4,0.46,0.48,0.5,0.52,0.49,0.56,1
0.72,0.86,0.48,0.5,0.17,0.55,0.21,3
0.68,0.78,0.48,0.5,0.43,0.44,0.42,3
0.79,0.41,0.48,0.5,0.66,0.81,0.83,4
0.74,0.44,0.48,0.5,0.55,0.88,0.89,2
0.66,0.71,0.48,0.5,0.41,0.5,0.35,3
0.68,0.76,0.48,0.5,0.84,0.45,0.27,5
0.61,0.36,0.48,0.5,0.49,0.35,0.44,1
0.42,0.38,0.48,0.5,0.54,0.34,0.43,1
0.64,0.66,0.48,0.5,0.41,0.39,0.2,3
0.86,0.39,0.48,0.5,0.59,0.89,0.9,4
0.58,0.34,0.48,0.5,0.56,0.87,0.81,2
0.74,0.56,0.48,0.5,0.47,0.68,0.3,3
0.71,0.71,0.48,0.5,0.68,0.43,0.36,5
0.4,0.29,0.48,0.5,0.42,0.35,0.44,1
0.47,0.55,0.48,0.5,0.58,0.71,0.75,2
0.44,0.27,0.48,0.5,0.55,0.52,0.58,1
0.64,0.72,0.48,0.5,0.49,0.42,0.19,3
0.83,0.37,0.48,0.5,0.61,0.71,0.74,2
0.48,0.41,0.48,0.5,0.51,0.9,0.88,2
0.71,0.71,0.48,0.5,0.4,0.54,0.39,3
0.6,0.76,1,0.5,0.77,0.59,0.52,5
0.26,0.26,0.48,0.5,0.34,0.25,0.35,1
0.52,0.39,0.48,0.5,0.65,0.71,0.73,2
0.44,0.35,0.48,0.5,0.44,0.52,0.59,1
0.71,0.57,0.48,0.5,0.48,0.35,0.32,3
0.81,0.44,0.48,0.5,0.42,0.67,0.68,4
0.7,0.53,0.48,0.5,0.7,0.86,0.87,4
0.57,0.59,0.48,0.5,0.39,0.47,0.33,3
0.34,0.33,0.48,0.5,0.38,0.35,0.44,1
0.64,0.45,0.48,0.5,0.67,0.61,0.66,4
0.29,0.47,0.48,0.5,0.41,0.23,0.34,1
0.36,0.41,0.48,0.5,0.48,0.47,0.54,1
0.63,1,0.48,0.5,0.35,0.51,0.49,3
0.72,0.46,0.48,0.5,0.51,0.66,0.7,2
0.7,0.39,1,0.5,0.51,0.82,0.84,7
0.68,0.82,0.48,0.5,0.38,0.65,0.56,3
0.34,0.28,0.48,0.5,0.41,0.35,0.44,1
0.5,0.57,0.48,0.5,0.71,0.61,0.66,2
0.65,0.55,0.48,0.5,0.34,0.37,0.28,1
0.74,0.9,0.48,0.5,0.57,0.53,0.29,5
0.88,0.42,0.48,0.5,0.52,0.73,0.75,4
0.63,0.49,0.48,0.5,0.54,0.76,0.79,8
0.69,0.59,0.48,0.5,0.46,0.44,0.52,3
0.38,0.3,0.48,0.5,0.43,0.29,0.39,1
0.66,0.53,0.48,0.5,0.59,0.66,0.66,2
0.31,0.47,0.48,0.5,0.29,0.28,0.39,1
0.21,0.51,0.48,0.5,0.5,0.32,0.41,1
0.66,0.74,0.48,0.5,0.31,0.38,0.43,3
0.87,0.49,0.48,0.5,0.61,0.76,0.79,4
0.62,0.42,0.48,0.5,0.58,0.79,0.81,4
0.68,0.51,0.48,0.5,0.71,0.75,0.78,2
0.5,0.51,0.48,0.5,0.27,0.23,0.34,1
0.29,0.52,0.48,0.5,0.42,0.29,0.39,1
0.33,0.47,0.48,0.5,0.53,0.18,0.29,1
0.33,0.45,0.48,0.5,0.45,0.88,0.89,2
