@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.72,0.42,0.48,0.5,0.65,0.77,0.79,4
0.63,0.49,0.48,0.5,0.54,0.76,0.79,8
0.71,0.46,1,0.5,0.52,0.59,0.3,6
0.68,0.63,0.48,0.5,0.73,0.4,0.3,5
0.61,0.6,0.48,0.5,0.44,0.39,0.38,3
0.2,0.44,0.48,0.5,0.46,0.51,0.57,1
0.32,0.33,0.48,0.5,0.6,0.06,0.2,1
0.75,0.84,0.48,0.5,0.35,0.52,0.33,3
0.43,0.37,0.48,0.5,0.53,0.35,0.44,1
0.44,0.51,0.48,0.5,0.47,0.26,0.36,1
0.25,0.37,0.48,0.5,0.43,0.26,0.36,1
0.63,0.86,0.48,0.5,0.39,0.47,0.34,3
0.34,0.51,0.48,0.5,0.44,0.37,0.46,1
0.64,0.76,0.48,0.5,0.45,0.35,0.38,1
0.31,0.44,0.48,0.5,0.5,0.79,0.82,2
0.46,0.59,0.48,0.5,0.36,0.76,0.23,2
0.63,0.65,0.48,0.5,0.39,0.44,0.35,3
0.59,0.61,0.48,0.5,0.42,0.42,0.37,3
0.44,0.49,0.48,0.5,0.39,0.38,0.4,1
0.4,0.46,0.48,0.5,0.42,0.35,0.44,1
0.43,0.39,0.48,0.5,0.47,0.31,0.41,1
0.49,0.43,0.48,0.5,0.49,0.3,0.4,1
0.44,0.28,0.48,0.5,0.43,0.27,0.37,1
0.39,0.32,0.48,0.5,0.46,0.24,0.35,1
0.43,0.4,0.48,0.5,0.39,0.28,0.39,1
0.29,0.47,0.48,0.5,0.41,0.23,0.34,1
0.29,0.52,0.48,0.5,0.42,0.29,0.39,1
0.5,0.49,0.48,0.5,0.49,0.46,0.53,1
0.44,0.52,0.48,0.5,0.43,0.47,0.54,2
0.57,0.59,0.48,0.5,0.39,0.47,0.33,3
0.51,0.46,0.48,0.5,0.58,0.31,0.41,1
0.49,0.29,0.48,0.5,0.56,0.24,0.35,1
0.47,0.28,0.48,0.5,0.56,0.2,0.25,1
0.33,0.47,0.48,0.5,0.53,0.18,0.29,1
0.41,0.51,0.48,0.5,0.58,0.2,0.31,1
0.36,0.54,0.48,0.5,0.41,0.38,0.46,1
0.7,0.4,0.48,0.5,0.56,0.86,0.83,2
0.63,0.47,0.48,0.5,0.51,0.82,0.84,2
0.39,0.31,0.48,0.5,0.38,0.34,0.43,1
0.29,0.28,0.48,0.5,0.5,0.42,0.5,1
0.34,0.35,0.48,0.5,0.51,0.49,0.56,1
0.69,0.39,0.48,0.5,0.57,0.76,0.79,2
0.66,0.48,0.48,0.5,0.54,0.7,0.74,4
0.68,0.78,0.48,0.5,0.43,0.44,0.42,3
0.71,0.71,0.48,0.5,0.4,0.54,0.39,3
0.61,0.45,0.48,0.5,0.48,0.35,0.41,1
0.51,0.5,0.48,0.5,0.46,0.32,0.35,1
0.71,0.4,0.48,0.5,0.71,0.7,0.74,2
0.68,0.51,0.48,0.5,0.71,0.75,0.78,2
0.4,0.42,0.48,0.5,0.37,0.27,0.27,1
0.36,0.39,0.48,0.5,0.48,0.22,0.23,1
0.47,0.59,0.48,0.5,0.52,0.76,0.79,2
0.58,0.6,0.48,0.5,0.59,0.73,0.76,4
0.65,0.47,0.48,0.5,0.59,0.3,0.4,1
0.6,0.46,0.48,0.5,0.45,0.81,0.83,2
0.49,0.42,0.48,0.5,0.53,0.79,0.81,2
0.42,0.35,0.48,0.5,0.58,0.15,0.27,1
0.58,0.34,0.48,0.5,0.56,0.87,0.81,2
0.25,0.26,0.48,0.5,0.39,0.32,0.42,1
0.67,0.61,0.48,0.5,0.51,0.37,0.38,3
0.76,0.73,0.48,0.5,0.44,0.39,0.39,3
0.47,0.29,0.48,0.5,0.51,0.33,0.43,1
0.67,0.37,0.48,0.5,0.54,0.64,0.68,4
0.57,0.54,0.48,0.5,0.37,0.28,0.33,1
0.78,0.44,0.48,0.5,0.45,0.73,0.68,4
0.36,0.56,0.48,0.5,0.43,0.45,0.53,1
0.17,0.52,0.48,0.5,0.49,0.37,0.46,1
0.61,0.75,0.48,0.5,0.51,0.33,0.33,5
0.71,0.57,0.48,0.5,0.48,0.35,0.32,3
0.65,0.57,0.48,0.5,0.47,0.47,0.51,3
0.51,0.49,0.48,0.5,0.53,0.14,0.26,1
0.64,0.78,0.48,0.5,0.5,0.36,0.38,3
0.59,0.29,0.48,0.5,0.64,0.75,0.77,4
0.73,0.26,0.48,0.5,0.57,0.75,0.78,4
0.04,0.31,0.48,0.5,0.41,0.29,0.39,1
0.44,0.27,0.48,0.5,0.55,0.52,0.58,1
0.64,0.57,0.48,0.5,0.7,0.33,0.26,5
0.81,0.53,0.48,0.5,0.57,0.87,0.88,4
0.24,0.57,0.48,0.5,0.63,0.34,0.43,1
0.89,0.55,0.48,0.5,0.51,0.72,0.76,2
0.76,0.71,0.48,0.5,0.5,0.71,0.75,4
0.46,0.61,0.48,0.5,0.48,0.86,0.87,2
0.69,0.65,0.48,0.5,0.63,0.48,0.41,3
0.74,0.56,0.48,0.5,0.47,0.68,0.3,3
0.67,0.39,0.48,0.5,0.36,0.38,0.46,1
0.84,0.54,0.48,0.5,0.75,0.92,0.7,4
0.74,0.9,0.48,0.5,0.57,0.53,0.29,5
0.63,1,0.48,0.5,0.35,0.51,0.49,3
