@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.36,0.56,0.48,0.5,0.43,0.45,0.53,1
0.43,0.37,0.48,0.5,0.53,0.35,0.44,1
0.29,0.28,0.48,0.5,0.5,0.42,0.5,1
0.39,0.32,0.48,0.5,0.46,0.24,0.35,1
0.43,0.39,0.48,0.5,0.47,0.31,0.41,1
0.52,0.44,0.48,0.5,0.37,0.36,0.42,1
0.42,0.38,0.48,0.5,0.54,0.34,0.43,1
0.07,0.4,0.48,0.5,0.54,0.35,0.44,1
0.38,0.46,0.48,0.5,0.48,0.22,0.29,1
0.42,0.3,0.48,0.5,0.48,0.26,0.36,1
0.44,0.56,0.48,0.5,0.5,0.46,0.54,1
0.21,0.51,0.48,0.5,0.5,0.32,0.41,1
0.36,0.54,0.48,0.5,0.41,0.38,0.46,1
0.41,0.43,0.48,0.5,0.45,0.31,0.41,1
0.34,0.46,0.48,0.5,0.52,0.35,0.44,1
0.22,0.36,0.48,0.5,0.35,0.39,0.47,1
0.34,0.55,0.48,0.5,0.58,0.31,0.41,1
0.25,0.48,0.48,0.5,0.44,0.17,0.29,1
0.37,0.44,0.48,0.5,0.42,0.39,0.47,1
0.56,0.51,0.48,0.5,0.34,0.37,0.46,1
0.51,0.5,0.48,0.5,0.46,0.32,0.35,1
0.4,0.35,0.48,0.5,0.45,0.33,0.42,1
0.37,0.5,0.48,0.5,0.42,0.36,0.45,1
0.34,0.42,0.48,0.5,0.41,0.34,0.43,1
0.23,0.34,0.48,0.5,0.43,0.26,0.37,1
0.25,0.26,0.48,0.5,0.39,0.32,0.42,1
0.34,0.35,0.48,0.5,0.51,0.49,0.56,1
0.74,0.7,0.48,0.5,0.66,0.65,0.69,2
0.43,0.4,0.48,0.5,0.58,0.75,0.78,2
0.48,0.49,0.48,0.5,0.52,0.77,0.71,2
0.63,0.54,0.48,0.5,0.65,0.79,0.81,2
0.16,0.51,0.48,0.5,0.33,0.39,0.48,2
0.58,0.55,0.48,0.5,0.57,0.7,0.74,2
0.49,0.42,0.48,0.5,0.53,0.79,0.81,2
0.68,0.51,0.48,0.5,0.71,0.75,0.78,2
0.3,0.51,0.48,0.5,0.42,0.61,0.34,2
0.06,0.61,0.48,0.5,0.49,0.92,0.37,2
0.44,0.52,0.48,0.5,0.43,0.47,0.54,2
0.33,0.45,0.48,0.5,0.45,0.88,0.89,2
0.89,0.55,0.48,0.5,0.51,0.72,0.76,2
0.54,0.57,0.48,0.5,0.56,0.81,0.83,2
0.7,0.4,0.48,0.5,0.56,0.86,0.83,2
0.63,0.65,0.48,0.5,0.39,0.44,0.35,3
0.32,0.39,0.48,0.5,0.53,0.28,0.38,3
0.68,0.67,0.48,0.5,0.49,0.4,0.34,3
0.67,0.81,0.48,0.5,0.54,0.49,0.23,3
0.67,0.81,0.48,0.5,0.25,0.42,0.25,3
0.61,0.6,0.48,0.5,0.44,0.39,0.38,3
0.66,0.71,0.48,0.5,0.41,0.5,0.35,3
0.7,0.64,0.48,0.5,0.47,0.51,0.47,3
0.71,0.71,0.48,0.5,0.4,0.54,0.39,3
0.74,0.56,0.48,0.5,0.47,0.68,0.3,3
0.75,0.37,0.48,0.5,0.64,0.7,0.74,4
0.49,0.61,1,0.5,0.56,0.71,0.74,4
0.63,0.42,0.48,0.5,0.48,0.77,0.8,4
0.62,0.42,0.48,0.5,0.58,0.79,0.81,4
0.79,0.41,0.48,0.5,0.66,0.81,0.83,4
0.66,0.48,0.48,0.5,0.54,0.7,0.74,4
0.87,0.49,0.48,0.5,0.61,0.76,0.79,4
0.68,0.76,0.48,0.5,0.84,0.45,0.27,5
0.65,0.51,0.48,0.5,0.66,0.54,0.33,5
0.78,0.68,0.48,0.5,0.83,0.4,0.29,5
0.73,0.84,0.48,0.5,0.86,0.58,0.29,5
0.77,0.57,1,0.5,0.37,0.54,0.01,6
