@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.44,0.35,0.48,0.5,0.55,0.55,0.61,1
0.41,0.48,0.48,0.5,0.51,0.44,0.51,1
0.29,0.41,0.48,0.5,0.48,0.38,0.46,1
0.32,0.42,0.48,0.5,0.35,0.28,0.38,1
0.35,0.48,0.48,0.5,0.56,0.4,0.48,1
0.3,0.16,0.48,0.5,0.56,0.11,0.23,1
0.67,0.39,0.48,0.5,0.36,0.38,0.46,1
0.25,0.4,0.48,0.5,0.46,0.44,0.52,1
0.23,0.34,0.48,0.5,0.43,0.26,0.37,1
0.27,0.3,0.48,0.5,0.71,0.28,0.39,1
0.51,0.37,0.48,0.5,0.35,0.36,0.45,1
0.29,0.3,0.48,0.5,0.45,0.03,0.17,1
0.21,0.51,0.48,0.5,0.5,0.32,0.41,1
0.26,0.26,0.48,0.5,0.34,0.25,0.35,1
0.53,0.38,0.48,0.5,0.44,0.26,0.36,1
0.51,0.49,0.48,0.5,0.53,0.14,0.26,1
0.34,0.35,0.48,0.5,0.51,0.49,0.56,1
0.42,0.3,0.48,0.5,0.48,0.26,0.36,1
0.59,0.49,0.48,0.5,0.52,0.45,0.36,1
0.34,0.51,0.48,0.5,0.44,0.37,0.46,1
0.24,0.35,0.48,0.5,0.31,0.19,0.31,1
0.51,0.46,0.48,0.5,0.58,0.31,0.41,1
0.3,0.44,0.48,0.5,0.49,0.22,0.33,1
0.34,0.28,0.48,0.5,0.41,0.35,0.44,1
0.29,0.47,0.48,0.5,0.41,0.23,0.34,1
0.52,0.57,0.48,0.5,0.42,0.47,0.54,1
0.47,0.29,0.48,0.5,0.51,0.33,0.43,1
0.31,0.36,0.48,0.5,0.58,0.94,0.94,2
0.36,0.45,0.48,0.5,0.38,0.79,0.17,2
0.29,0.47,0.48,0.5,0.71,0.65,0.69,2
0.06,0.61,0.48,0.5,0.49,0.92,0.37,2
0.33,0.37,0.48,0.5,0.46,0.65,0.69,2
0.31,0.5,0.48,0.5,0.57,0.84,0.85,2
0.37,0.47,0.48,0.5,0.39,0.76,0.79,2
0.45,0.4,0.48,0.5,0.61,0.74,0.77,2
0.61,0.52,0.48,0.5,0.54,0.67,0.52,2
0.64,0.58,0.48,0.5,0.48,0.78,0.73,2
0.58,0.34,0.48,0.5,0.56,0.87,0.81,2
0.34,0.67,0.48,0.5,0.52,0.76,0.79,2
0.6,0.61,0.48,0.5,0.54,0.67,0.71,2
0.41,0.51,0.48,0.5,0.53,0.75,0.78,2
0.5,0.57,0.48,0.5,0.71,0.61,0.66,2
0.69,0.59,0.48,0.5,0.46,0.44,0.52,3
0.63,0.86,0.48,0.5,0.39,0.47,0.34,3
0.66,0.86,0.48,0.5,0.34,0.41,0.36,3
0.63,0.83,0.48,0.5,0.4,0.39,0.19,3
0.67,0.61,0.48,0.5,0.51,0.37,0.38,3
0.63,0.8,0.48,0.5,0.46,0.31,0.29,3
0.67,0.81,0.48,0.5,0.54,0.49,0.23,3
0.63,1,0.48,0.5,0.35,0.51,0.49,3
0.7,0.71,0.48,0.5,0.42,0.84,0.85,3
0.32,0.39,0.48,0.5,0.53,0.28,0.38,3
0.76,0.41,0.48,0.5,0.5,0.59,0.62,4
0.47,0.46,0.48,0.5,0.62,0.74,0.77,4
0.79,0.54,0.48,0.5,0.5,0.66,0.68,4
0.88,0.42,0.48,0.5,0.52,0.73,0.75,4
0.59,0.29,0.48,0.5,0.64,0.75,0.77,4
0.78,0.33,0.48,0.5,0.57,0.77,0.79,4
0.58,0.6,0.48,0.5,0.59,0.73,0.76,4
0.63,0.69,0.48,0.5,0.65,0.41,0.28,5
0.75,0.76,0.48,0.5,0.83,0.57,0.3,5
0.74,0.9,0.48,0.5,0.57,0.53,0.29,5
0.71,0.71,0.48,0.5,0.68,0.43,0.36,5
0.66,0.49,1,0.5,0.54,0.56,0.36,6
