@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.25,0.4,0.48,0.5,0.46,0.44,0.52,1
0.44,0.35,0.48,0.5,0.55,0.55,0.61,1
0.41,0.57,0.48,0.5,0.39,0.21,0.32,1
0.51,0.46,0.48,0.5,0.58,0.31,0.41,1
0.34,0.28,0.48,0.5,0.41,0.35,0.44,1
0.24,0.43,0.48,0.5,0.54,0.52,0.59,1
0,0.38,0.48,0.5,0.42,0.48,0.55,1
0.07,0.4,0.48,0.5,0.54,0.35,0.44,1
0.16,0.43,0.48,0.5,0.54,0.27,0.37,1
0.25,0.48,0.48,0.5,0.44,0.17,0.29,1
0.17,0.38,0.48,0.5,0.45,0.42,0.5,1
0.44,0.51,0.48,0.5,0.47,0.26,0.36,1
0.29,0.28,0.48,0.5,0.5,0.42,0.5,1
0.31,0.47,0.48,0.5,0.29,0.28,0.39,1
0.42,0.24,0.48,0.5,0.57,0.27,0.37,1
0.23,0.32,0.48,0.5,0.55,0.25,0.35,1
0.29,0.52,0.48,0.5,0.42,0.29,0.39,1
0.28,0.33,0.48,0.5,0.45,0.22,0.33,1
0.23,0.34,0.48,0.5,0.43,0.26,0.37,1
0.22,0.43,0.48,0.5,0.48,0.16,0.28,1
0.61,0.45,0.48,0.5,0.48,0.35,0.41,1
0.17,0.39,0.48,0.5,0.53,0.3,0.39,1
0.3,0.37,0.48,0.5,0.43,0.18,0.3,1
0.44,0.35,0.48,0.5,0.44,0.52,0.59,1
0.65,0.55,0.48,0.5,0.34,0.37,0.28,1
0.37,0.5,0.48,0.5,0.42,0.36,0.45,1
0.51,0.49,0.48,0.5,0.53,0.14,0.26,1
0.46,0.61,0.48,0.5,0.48,0.86,0.87,2
0.5,0.37,0.48,0.5,0.66,0.64,0.69,2
0.52,0.39,0.48,0.5,0.65,0.71,0.73,2
0.47,0.59,0.48,0.5,0.52,0.76,0.79,2
0.36,0.45,0.48,0.5,0.38,0.79,0.17,2
0.52,0.54,0.48,0.5,0.62,0.76,0.79,2
0.63,0.5,0.48,0.5,0.59,0.85,0.86,2
0.27,0.35,0.48,0.5,0.51,0.77,0.79,2
0.54,0.49,0.48,0.5,0.4,0.87,0.88,2
0.58,0.34,0.48,0.5,0.56,0.87,0.81,2
0.7,0.46,0.48,0.5,0.56,0.78,0.73,2
0.58,0.55,0.48,0.5,0.57,0.7,0.74,2
0.61,0.47,0.48,0.5,0,0.8,0.32,2
0.68,0.51,0.48,0.5,0.71,0.75,0.78,2
0.31,0.44,0.48,0.5,0.5,0.79,0.82,2
0.74,0.82,0.48,0.5,0.49,0.49,0.41,3
0.62,0.83,0.48,0.5,0.46,0.36,0.4,3
0.66,0.71,0.48,0.5,0.41,0.5,0.35,3
0.64,0.78,0.48,0.5,0.5,0.36,0.38,3
0.65,0.57,0.48,0.5,0.47,0.47,0.51,3
0.57,0.59,0.48,0.5,0.39,0.47,0.33,3
0.71,0.71,0.48,0.5,0.4,0.54,0.39,3
0.69,0.66,0.48,0.5,0.41,0.5,0.25,3
0.63,0.65,0.48,0.5,0.39,0.44,0.35,3
0.73,0.78,0.48,0.5,0.58,0.51,0.31,3
0.73,0.26,0.48,0.5,0.57,0.75,0.78,4
0.84,0.54,0.48,0.5,0.75,0.92,0.7,4
0.69,0.43,0.48,0.5,0.59,0.74,0.77,4
0.87,0.49,0.48,0.5,0.61,0.76,0.79,4
0.57,0.38,0.48,0.5,0.06,0.49,0.33,4
0.81,0.53,0.48,0.5,0.57,0.87,0.88,4
0.72,0.42,0.48,0.5,0.65,0.77,0.79,4
0.73,0.84,0.48,0.5,0.86,0.58,0.29,5
0.61,0.75,0.48,0.5,0.51,0.33,0.33,5
0.6,0.76,1,0.5,0.77,0.59,0.52,5
0.56,0.68,0.48,0.5,0.77,0.36,0.45,5
0.68,0.49,1,0.5,0.62,0.55,0.28,6
