@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.37,0.44,0.48,0.5,0.42,0.39,0.47,1
0.34,0.45,0.48,0.5,0.38,0.24,0.35,1
0.42,0.38,0.48,0.5,0.54,0.34,0.43,1
0.52,0.57,0.48,0.5,0.42,0.47,0.54,1
0.22,0.36,0.48,0.5,0.35,0.39,0.47,1
0.49,0.43,0.48,0.5,0.49,0.3,0.4,1
0.32,0.42,0.48,0.5,0.35,0.28,0.38,1
0.4,0.46,0.48,0.5,0.52,0.49,0.56,1
0.36,0.56,0.48,0.5,0.43,0.45,0.53,1
0.33,0.45,0.48,0.5,0.52,0.32,0.41,1
0.34,0.46,0.48,0.5,0.52,0.35,0.44,1
0.36,0.41,0.48,0.5,0.48,0.47,0.54,1
0.41,0.51,0.48,0.5,0.58,0.2,0.31,1
0.54,0.47,0.48,0.5,0.28,0.33,0.42,1
0.44,0.35,0.48,0.5,0.44,0.52,0.59,1
0.51,0.54,0.48,0.5,0.41,0.34,0.43,1
0.44,0.27,0.48,0.5,0.55,0.52,0.58,1
0.52,0.44,0.48,0.5,0.37,0.36,0.42,1
0.35,0.48,0.48,0.5,0.56,0.4,0.48,1
0.35,0.34,0.48,0.5,0.46,0.3,0.27,1
0.36,0.42,0.48,0.5,0.53,0.32,0.41,1
0,0.38,0.48,0.5,0.42,0.48,0.55,1
0.5,0.51,0.48,0.5,0.27,0.23,0.34,1
0.3,0.45,0.48,0.5,0.36,0.21,0.32,1
0.53,0.38,0.48,0.5,0.44,0.26,0.36,1
0.39,0.32,0.48,0.5,0.46,0.24,0.35,1
0.57,0.54,0.48,0.5,0.37,0.28,0.33,1
0.35,0.51,0.48,0.5,0.61,0.71,0.74,2
0.63,0.65,0.48,0.5,0.66,0.67,0.71,2
0.33,0.45,0.48,0.5,0.45,0.88,0.89,2
0.63,0.47,0.48,0.5,0.51,0.82,0.84,2
0.5,0.66,0.48,0.5,0.31,0.92,0.92,2
0.54,0.49,0.48,0.5,0.4,0.87,0.88,2
0.7,0.4,0.48,0.5,0.56,0.86,0.83,2
0.7,0.46,0.48,0.5,0.56,0.78,0.73,2
0.74,0.7,0.48,0.5,0.66,0.65,0.69,2
0.34,0.49,0.48,0.5,0.58,0.85,0.8,2
0.11,0.5,0.48,0.5,0.58,0.72,0.68,2
0.52,0.54,0.48,0.5,0.62,0.76,0.79,2
0.36,0.45,0.48,0.5,0.38,0.79,0.17,2
0.5,0.37,0.48,0.5,0.66,0.64,0.69,2
0.69,0.39,0.48,0.5,0.57,0.76,0.79,2
0.76,0.73,0.48,0.5,0.44,0.39,0.39,3
0.68,0.82,0.48,0.5,0.38,0.65,0.56,3
0.74,0.82,0.48,0.5,0.49,0.49,0.41,3
0.64,0.72,0.48,0.5,0.49,0.42,0.19,3
0.66,0.86,0.48,0.5,0.34,0.41,0.36,3
0.67,0.61,0.48,0.5,0.51,0.37,0.38,3
0.64,0.84,0.48,0.5,0.37,0.45,0.4,3
0.69,0.65,0.48,0.5,0.63,0.48,0.41,3
0.7,0.64,0.48,0.5,0.47,0.51,0.47,3
0.71,0.71,0.48,0.5,0.4,0.54,0.39,3
0.86,0.55,0.48,0.5,0.63,0.81,0.83,4
0.81,0.52,0.48,0.5,0.57,0.78,0.8,4
0.77,0.55,0.48,0.5,0.51,0.78,0.74,4
0.57,0.38,0.48,0.5,0.06,0.49,0.33,4
0.76,0.71,0.48,0.5,0.5,0.71,0.75,4
0.88,0.42,0.48,0.5,0.52,0.73,0.75,4
0.49,0.61,1,0.5,0.56,0.71,0.74,4
0.69,0.59,0.48,0.5,0.77,0.39,0.21,5
0.6,0.76,1,0.5,0.77,0.59,0.52,5
0.74,0.78,0.48,0.5,0.75,0.54,0.15,5
0.65,0.51,0.48,0.5,0.66,0.54,0.33,5
0.66,0.49,1,0.5,0.54,0.56,0.36,6
