@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.36,0.56,0.48,0.5,0.43,0.45,0.53,1
0.56,0.51,0.48,0.5,0.34,0.37,0.46,1
0.24,0.43,0.48,0.5,0.54,0.52,0.59,1
0.04,0.31,0.48,0.5,0.41,0.29,0.39,1
0.29,0.28,0.48,0.5,0.44,0.23,0.34,1
0.26,0.4,0.48,0.5,0.36,0.26,0.37,1
0.36,0.39,0.48,0.5,0.48,0.22,0.23,1
0.43,0.39,0.48,0.5,0.47,0.31,0.41,1
0.44,0.35,0.48,0.5,0.55,0.55,0.61,1
0.43,0.32,0.48,0.5,0.33,0.45,0.52,1
0.47,0.47,0.48,0.5,0.22,0.16,0.26,1
0.36,0.54,0.48,0.5,0.41,0.38,0.46,1
0.47,0.28,0.48,0.5,0.56,0.2,0.25,1
0.33,0.45,0.48,0.5,0.52,0.32,0.41,1
0.39,0.32,0.48,0.5,0.46,0.24,0.35,1
0.3,0.37,0.48,0.5,0.43,0.18,0.3,1
0.34,0.45,0.48,0.5,0.38,0.24,0.35,1
0.29,0.52,0.48,0.5,0.42,0.29,0.39,1
0.44,0.51,0.48,0.5,0.47,0.26,0.36,1
0.21,0.34,0.48,0.5,0.51,0.28,0.39,1
0.38,0.46,0.48,0.5,0.48,0.22,0.29,1
0.49,0.43,0.48,0.5,0.49,0.3,0.4,1
0.65,0.47,0.48,0.5,0.59,0.3,0.4,1
0.51,0.46,0.48,0.5,0.58,0.31,0.41,1
0.24,0.57,0.48,0.5,0.63,0.34,0.43,1
0.32,0.42,0.48,0.5,0.35,0.28,0.38,1
0.41,0.57,0.48,0.5,0.39,0.21,0.32,1
0.12,0.43,0.48,0.5,0.63,0.7,0.74,2
0.31,0.36,0.48,0.5,0.58,0.94,0.94,2
0.4,0.5,0.48,0.5,0.65,0.82,0.84,2
0.43,0.4,0.48,0.5,0.58,0.75,0.78,2
0.6,0.46,0.48,0.5,0.45,0.81,0.83,2
0.41,0.51,0.48,0.5,0.53,0.75,0.78,2
0.35,0.51,0.48,0.5,0.61,0.71,0.74,2
0.34,0.67,0.48,0.5,0.52,0.76,0.79,2
0.5,0.37,0.48,0.5,0.66,0.64,0.69,2
0.63,0.75,0.48,0.5,0.64,0.73,0.66,2
0.5,0.57,0.48,0.5,0.71,0.61,0.66,2
0.3,0.51,0.48,0.5,0.42,0.61,0.34,2
0.47,0.59,0.48,0.5,0.52,0.76,0.79,2
0.83,0.37,0.48,0.5,0.61,0.71,0.74,2
0.89,0.55,0.48,0.5,0.51,0.72,0.76,2
0.62,0.78,0.48,0.5,0.47,0.49,0.54,3
0.69,0.66,0.48,0.5,0.41,0.5,0.25,3
0.68,0.78,0.48,0.5,0.43,0.44,0.42,3
0.74,0.56,0.48,0.5,0.47,0.68,0.3,3
0.64,0.81,0.48,0.5,0.37,0.39,0.44,3
0.71,0.71,0.48,0.5,0.4,0.54,0.39,3
0.63,0.65,0.48,0.5,0.39,0.44,0.35,3
0.57,0.59,0.48,0.5,0.39,0.47,0.33,3
0.67,0.81,0.48,0.5,0.54,0.49,0.23,3
0.63,0.83,0.48,0.5,0.4,0.39,0.19,3
0.47,0.46,0.48,0.5,0.62,0.74,0.77,4
0.66,0.48,0.48,0.5,0.54,0.7,0.74,4
0.63,0.51,0.48,0.5,0.64,0.72,0.76,4
0.87,0.49,0.48,0.5,0.61,0.76,0.79,4
0.78,0.33,0.48,0.5,0.57,0.77,0.79,4
0.77,0.55,0.48,0.5,0.51,0.78,0.74,4
0.49,0.61,1,0.5,0.56,0.71,0.74,4
0.75,0.76,0.48,0.5,0.83,0.57,0.3,5
0.64,0.57,0.48,0.5,0.7,0.33,0.26,5
0.67,0.84,0.48,0.5,0.74,0.54,0.37,5
0.69,0.59,0.48,0.5,0.77,0.39,0.21,5
0.67,0.55,1,0.5,0.66,0.58,0.16,6
