@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.32,0.42,0.48,0.5,0.35,0.28,0.38,1
0.4,0.5,0.48,0.5,0.45,0.39,0.47,1
0.53,0.42,0.48,0.5,0.16,0.29,0.39,1
0.4,0.41,0.48,0.5,0.55,0.22,0.33,1
0.41,0.48,0.48,0.5,0.51,0.44,0.51,1
0.47,0.28,0.48,0.5,0.56,0.2,0.25,1
0,0.38,0.48,0.5,0.42,0.48,0.55,1
0.42,0.35,0.48,0.5,0.58,0.15,0.27,1
0.38,0.44,0.48,0.5,0.43,0.2,0.31,1
0.44,0.27,0.48,0.5,0.55,0.52,0.58,1
0.41,0.43,0.48,0.5,0.5,0.24,0.25,1
0.44,0.49,0.48,0.5,0.39,0.38,0.4,1
0.4,0.45,0.48,0.5,0.38,0.22,0,1
0.44,0.51,0.48,0.5,0.47,0.26,0.36,1
0.38,0.26,0.48,0.5,0.54,0.16,0.28,1
0.34,0.51,0.48,0.5,0.44,0.37,0.46,1
0.49,0.29,0.48,0.5,0.56,0.24,0.35,1
0.3,0.45,0.48,0.5,0.36,0.21,0.32,1
0.43,0.32,0.48,0.5,0.33,0.45,0.52,1
0.31,0.23,0.48,0.5,0.73,0.05,0.14,1
0.24,0.34,0.48,0.5,0.38,0.3,0.4,1
0.67,0.39,0.48,0.5,0.36,0.38,0.46,1
0.29,0.52,0.48,0.5,0.42,0.29,0.39,1
0.38,0.4,0.48,0.5,0.63,0.25,0.35,1
0.57,0.54,0.48,0.5,0.37,0.28,0.33,1
0.34,0.45,0.48,0.5,0.38,0.24,0.35,1
0.24,0.43,0.48,0.5,0.54,0.52,0.59,1
0.52,0.54,0.48,0.5,0.62,0.76,0.79,2
0.6,0.46,0.48,0.5,0.45,0.81,0.83,2
0.2,0.46,0.48,0.5,0.57,0.78,0.81,2
0.59,0.56,0.48,0.5,0.55,0.8,0.82,2
0.51,0.4,0.48,0.5,0.57,0.62,0.67,2
0.3,0.51,0.48,0.5,0.42,0.61,0.34,2
0.84,0.44,0.48,0.5,0.48,0.71,0.74,2
0.52,0.39,0.48,0.5,0.65,0.71,0.73,2
0.48,0.49,0.48,0.5,0.52,0.77,0.71,2
0.34,0.51,0.48,0.5,0.67,0.9,0.9,2
0.61,0.47,0.48,0.5,0,0.8,0.32,2
0.33,0.45,0.48,0.5,0.45,0.88,0.89,2
0.4,0.5,0.48,0.5,0.65,0.82,0.84,2
0.47,0.55,0.48,0.5,0.58,0.71,0.75,2
0.45,0.4,0.48,0.5,0.61,0.74,0.77,2
0.63,0.8,0.48,0.5,0.46,0.31,0.29,3
0.72,0.86,0.48,0.5,0.17,0.55,0.21,3
0.7,0.61,0.48,0.5,0.56,0.52,0.43,3
0.62,0.83,0.48,0.5,0.46,0.36,0.4,3
0.63,1,0.48,0.5,0.35,0.51,0.49,3
0.62,0.78,0.48,0.5,0.47,0.49,0.54,3
0.59,0.61,0.48,0.5,0.42,0.42,0.37,3
0.66,0.86,0.48,0.5,0.34,0.41,0.36,3
0.29,0.39,0.48,0.5,0.52,0.4,0.48,3
0.57,0.59,0.48,0.5,0.39,0.47,0.33,3
0.58,0.6,0.48,0.5,0.59,0.73,0.76,4
0.49,0.61,1,0.5,0.56,0.71,0.74,4
0.63,0.51,0.48,0.5,0.64,0.72,0.76,4
0.76,0.41,0.48,0.5,0.5,0.59,0.62,4
0.83,0.48,0.48,0.5,0.65,0.76,0.79,4
0.57,0.38,0.48,0.5,0.06,0.49,0.33,4
0.87,0.49,0.48,0.5,0.61,0.76,0.79,4
0.67,0.88,0.48,0.5,0.73,0.5,0.25,5
0.68,0.76,0.48,0.5,0.84,0.45,0.27,5
0.78,0.68,0.48,0.5,0.83,0.4,0.29,5
0.52,0.81,0.48,0.5,0.72,0.38,0.38,5
0.66,0.49,1,0.5,0.54,0.56,0.36,6
